index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
9635,170521.8,217.350501,211.857519,-17.792062,-17.966343000000002,0.769074736495998,1.9019529462482865e-07
9636,170539.5,217.380347,211.887446,-17.795675,-17.978666,0.7690177932088019,1.903526615221196e-07
9637,170557.2,217.410017,211.916453,-17.809837,-17.990435,0.7689625554616766,1.9050542626741773e-07
9638,170574.9,217.439261,211.945978,-17.822387,-18.000593,0.7689062857504083,1.906611590829499e-07
9639,170592.6,217.469183,211.976195,-17.830941,-18.009134,0.7688486495561258,1.9082079227850102e-07
9640,170610.3,217.49845,212.005373,-17.837952,-18.009789,0.7687929493477759,1.909751775053259e-07
9641,170628.0,217.527331,212.035323,-17.833038,-17.992773,0.7687357285203918,1.911338947668817e-07
9642,170645.7,217.557272,212.065001,-17.804945,-17.96883,0.7686789804344016,1.9129141726192955e-07
9643,170663.4,217.586981,212.095217,-17.774457,-17.937537000000003,0.768621155557956,1.9145204854797981e-07
9644,170681.1,217.616381,212.124628,-17.753916,-17.909851,0.7685648245733185,1.9160864683787082e-07
9645,170698.8,217.646285,212.154845,-17.732354,-17.897391000000002,0.7685069018487798,1.9176978910406817e-07
9646,170716.5,217.675223,212.18487,-17.725267,-17.905942,0.7684492988998558,1.9193016231877635e-07
9647,170734.2,217.705763,212.214087,-17.734859,-17.954545,0.7683931998367685,1.9208646373503058e-07
9648,170751.9,217.735144,212.244189,-17.730939,-17.971605,0.7683353537001325,1.9224775293924523e-07
9649,170769.6,217.765238,212.2741,-17.740501,-17.991052,0.7682778264745275,1.9240827281441497e-07
9650,170787.3,217.794486,212.303412,-17.750482,-18.003589,0.7682214046768615,1.925658237866834e-07
9651,170805.0,217.82408,212.333014,-17.764016,-18.020273000000003,0.7681643777611296,1.9272518275714745e-07
9652,170822.7,217.853713,212.363501,-17.783845,-18.039489,0.768105596583659,1.9288956609742058e-07
9653,170840.4,217.883036,212.392718,-17.814423,-18.072424,0.7680492169950044,1.9304735104919146e-07
