T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K,std,std_%
183.0,0.5409481001664207,0.3149832854473216,26.835970484429108,3.110757893180859,0.8076712750661812,55.1608387386675,3.1108905204346686,0.07202926935100809,2.3154894024026937
184.0,0.5396134903713449,0.31320254444824397,26.724014278017226,3.105967815856212,0.808020537730907,55.07875200083481,3.1062684619370247,0.07221527144785338,2.3250489293285233
185.0,0.5375663309477136,0.3114179699198057,26.5529170957558,3.107669994730053,0.8083264217912158,55.11333540584531,3.1079208857402834,0.07144092676995796,2.298858208597006
186.0,0.5349457916158723,0.30962896458586003,26.33620628169487,3.1093415368137802,0.8086798271525805,55.148569991815975,3.109445279220153,0.07191912205268229,2.313001682226894
187.0,0.5322074219937178,0.30783493519741156,26.113502120009322,3.104891982434147,0.8092777648900532,55.07543623140216,3.10667074886123,0.07262821271871447,2.3391542485087036
188.0,0.5294677148049506,0.3060352908928012,25.894477797345896,3.1223923848425565,0.8084585043865437,55.391601064324355,3.1220416964574387,0.0774109938106139,2.4792205549309037
189.0,0.5266887131847765,0.3042294416247227,25.675946153726326,3.1395700506442856,0.8078449464892428,55.70210036758879,3.137244231798967,0.07727406041429849,2.461294354570643
190.0,0.5238235813714962,0.30241679664133225,25.454514144278775,3.1344157317622083,0.808313860012172,55.616454285204135,3.1339872631729575,0.07850661761648162,2.5046651221452425
191.0,0.5209532350082634,0.3005967630098679,25.236524368536625,3.1320741532928773,0.8084831782152447,55.58067392935781,3.1313082361175266,0.08119895339274212,2.592497795985269
192.0,0.5180369965084181,0.2987687441721445,25.018751746607656,3.134042771557537,0.8088446848974167,55.62141318643577,3.13389606104624,0.0792982658900913,2.5302228358128676
193.0,0.5150273689391467,0.2969321385221438,24.797962925058226,3.131667060389635,0.8094190882777236,55.585234331780946,3.131921772948971,0.07626487603749338,2.4352804613912142
194.0,0.5120091998653864,0.29508633799652173,24.580474696178154,3.129112264934449,0.8100027819399848,55.5458293516234,3.1310556337902966,0.07741460423690012,2.4740117222518974
195.0,0.5088925793788195,0.29323072666942335,24.359811345145538,3.140318908049387,0.8099552186486054,55.750740816677194,3.1416419162951867,0.0798957173158096,2.544191200168168
196.0,0.5057675792608807,0.29136467934340693,24.142452397429572,3.1581610373382523,0.8095676658053444,56.073486775327986,3.1581628829344472,0.08020077480161243,2.5394770517847594
197.0,0.5025827988403743,0.2894875601285893,23.924992402574286,3.165521229706713,0.8093278562613745,56.21016567626369,3.1644997103168335,0.07592303998239841,2.398437239020909
198.0,0.4992886093280735,0.2875987210023984,23.70410227148856,3.1597631447942374,0.810267619740763,56.11402271860306,3.160962752076049,0.08051978385697486,2.5482854304960343
199.0,0.4959281890980369,0.2856975003424541,23.48294000889836,3.158745053597839,0.8104565765939672,56.102129409281865,3.1570645795843664,0.08023328351196166,2.540036696553754
200.0,0.49254817421127894,0.2837832214252322,23.26456461124691,3.1515539159590142,0.8109193791567852,55.98049108999854,3.1510076731168444,0.08392315532088167,2.6629135200862954
201.0,0.4890944412921117,0.28185519088317856,23.04568802408762,3.1513719101496838,0.8111185663709861,55.98352564625896,3.1509585871110053,0.08626604819548586,2.7374124874835353
202.0,0.48551478089912514,0.27991269711297245,22.82308661638037,3.153795172226697,0.8112126367054855,56.0329290133832,3.1546047477498536,0.08702700067132442,2.759437310251195
203.0,0.4819114980251533,0.2779550086275582,22.60326475218802,3.1730147206832346,0.8103280198423983,56.380736413351315,3.1711414206362982,0.09128517404245946,2.8769224878604827
204.0,0.4781719828795523,0.27598137234450526,22.379618576289648,3.1872001148127898,0.8098274352024293,56.63930654058437,3.1888339783966337,0.09144216700391347,2.8690437910982762
205.0,0.4744012259834809,0.27399101180313085,22.15860609736293,3.2175503641128085,0.8077617963873607,57.18512908059065,3.217147899604344,0.0852337710894398,2.649026788829823
206.0,0.4705437833516077,0.27198312530269514,21.936884299900402,3.230195285790537,0.807316154440249,57.41646428823655,3.230423188608713,0.08713568275180629,2.6975360633801824
207.0,0.46653197652696476,0.26995688395382705,21.711008564493667,3.2426971484572675,0.8065890885339129,57.64539534683498,3.2422031929118265,0.08214914676822113,2.533358590311281
208.0,0.4624757548524516,0.2679114296352212,21.487378329370113,3.2444742013392545,0.8061583327524718,57.683701705910366,3.246208597025871,0.07940973799093322,2.4475379695777657
209.0,0.4583156908980692,0.26584587284749067,21.26264776176289,3.255110315034791,0.8055194295751581,57.87964857553467,3.254132222593072,0.08284571363058044,2.5450969587092156
210.0,0.45398027664481005,0.2637592904559865,21.03345965598415,3.256621141148613,0.806097188654869,57.913562790745225,3.2557437184456552,0.08394049245710368,2.5775332413244056
211.0,0.4495926922879412,0.2616507233143531,20.806552317486002,3.2610028731084073,0.8064077263040493,57.998518537497844,3.2606167903964525,0.08758186048178665,2.6857339257203137
212.0,0.44508935325610743,0.25951917376060923,20.57856864980714,3.2638053233306668,0.807165188086433,58.05539800262124,3.265050430895541,0.09131875498636603,2.797922852003212
213.0,0.44038983240699253,0.25736360297771854,20.345994492740314,3.271033656722999,0.8075409926198325,58.19121702281063,3.2707421150328146,0.08682987784974956,2.6545088483356616
214.0,0.4356234009768107,0.25518292821087923,20.11549993736228,3.2740378861456785,0.8080533009246244,58.25196338764929,3.27477870700702,0.08829830665263654,2.6969237902309264
215.0,0.43071915738206357,0.25297601983429524,19.88361359495529,3.2851134950844507,0.808009502480321,58.456441639640055,3.284394293857475,0.09268616719102951,2.8213992402307193
