T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K,std,std_%
258.0,0.144,9.877535028208593,4.0644499804571215,0.6746361497682859,72.77666268863182,4.067202267338601,0.05832062029724766,1.4348957565640517
259.0,0.14399999999999963,9.877535028208575,4.069477876354804,0.6744628335360557,72.86669048711342,4.071369039479748,0.06269586902425432,1.540636684340782
260.0,0.14399999999999952,9.87753502820857,4.077097838045073,0.674731228140421,73.00313093644843,4.076360784076303,0.06395579474888521,1.5686597989404978
261.0,0.14399999999999952,9.87753502820857,4.086484449040147,0.6750410168769467,73.17120440898779,4.0858559204426745,0.0673231766942,1.6474595103381144
262.0,0.14399999999999952,9.87753502820857,4.096078988842794,0.675146239916067,73.34300098422601,4.0958906208163475,0.06165584758767707,1.505240688854387
263.0,0.14399999999999952,9.87753502820857,4.106490841442141,0.6755167252316859,73.52943208516959,4.106078430611179,0.06670650711788093,1.6244163129426232
264.0,0.14399999999999952,9.87753502820857,4.113607725909094,0.676224756182406,73.65686460438761,4.113711696995429,0.06445590158442471,1.5668947036066785
265.0,0.14399999999999952,9.87753502820857,4.118959091427332,0.6764763604923801,73.75268434017406,4.119380505763084,0.06566116043337221,1.5941202370771501
266.0,0.14399999999999952,9.87753502820857,4.122039238230636,0.6767145417483099,73.80783640404807,4.1225478849372195,0.062255026288803736,1.5102967897881143
267.0,0.14399999999999952,9.87753502820857,4.127321936234676,0.6769996164528171,73.90242660261727,4.126947192656299,0.06490302834499709,1.5725215853698977
268.0,0.1439999999999995,9.87753502820857,4.131649944977498,0.6768196134770127,73.97992245910572,4.131470219045866,0.06040363838939582,1.4619737681993963
269.0,0.14399999999999952,9.87753502820857,4.138641447024077,0.6761657946562254,74.10510992323427,4.138998387277651,0.05814576154058987,1.4049480314947322
270.0,0.14399999999999952,9.87753502820857,4.1520532730398765,0.6760492427701572,74.34525753058176,4.151063575249644,0.05705811885994751,1.3742145176806242
271.0,0.14399999999999952,9.87753502820857,4.163859691051474,0.6755249618987922,74.55665924676047,4.163282603465775,0.05602606445871215,1.3455319971303892
272.0,0.14399999999999952,9.87753502820857,4.174862702123928,0.6752316907360151,74.75367543080252,4.174292360870102,0.05532381113107195,1.3251648036934582
273.0,0.14399999999999952,9.87753502820857,4.183784416330638,0.6750215439856353,74.91342461914236,4.183971310406656,0.061373241397455446,1.4669312586445948
274.0,0.14399999999999952,9.87753502820857,4.194750441780195,0.6754271104888576,75.10977855116629,4.1940314133341445,0.06483161042067602,1.5455415362722358
275.0,0.14399999999999952,9.87753502820857,4.198655622941439,0.6752526211665166,75.17970340040206,4.199780826573279,0.06406026417801243,1.5257327566468508
276.0,0.14399999999999952,9.87753502820857,4.208280742987775,0.6757155865659793,75.35204753511101,4.208174792587968,0.06696770844665836,1.59133177030183
277.0,0.14399999999999952,9.87753502820857,4.214563580124251,0.6757716119901869,75.46454588573845,4.214493331745591,0.06589854914831288,1.5635912923247466
278.0,0.14399999999999952,9.87753502820857,4.222182791975106,0.6754300278782757,75.6009729087032,4.221858814640422,0.061166671531161794,1.4486978547546132
279.0,0.14399999999999952,9.87753502820857,4.231044288129349,0.6751372654010878,75.7596438530216,4.230644348507138,0.06280443892346665,1.4843720520645762
280.0,0.14399999999999952,9.87753502820857,4.242601978806815,0.6750873683693205,75.9665919419236,4.241723614447764,0.06564589366261701,1.547302669223739
281.0,0.14399999999999952,9.87753502820857,4.251409821870338,0.6750404252224357,76.12430219219867,4.251058499441578,0.06696344586333215,1.5750879983118797
282.0,0.14399999999999952,9.87753502820857,4.261347377254015,0.6750942129704784,76.30224068807999,4.2609062416124805,0.0698888603404719,1.6400648469430301
283.0,0.14399999999999952,9.87753502820857,4.270974237280347,0.6754964038550552,76.4746159782806,4.270367342585236,0.06951282920688473,1.6275637675386405
284.0,0.14399999999999952,9.87753502820857,4.279053334393335,0.6759156606112212,76.619277550756,4.27892336379215,0.06928496676491341,1.6191657675315312
285.0,0.14399999999999952,9.87753502820857,4.284483971133298,0.6759767745697609,76.71651669014976,4.284219469047424,0.06723802235787292,1.5693377034641502
286.0,0.14399999999999952,9.87753502820857,4.290352221466309,0.6756393458789832,76.82159159010222,4.290445162889093,0.06481500306342763,1.5107151981399767
287.0,0.14399999999999952,9.87753502820857,4.29935976453559,0.6756620832777883,76.98287760094219,4.29974355936746,0.05867559787609738,1.3647519884262447
288.0,0.14399999999999952,9.87753502820857,4.308848706994274,0.6758266757104465,77.15278338595803,4.309246273283755,0.057380530032916766,1.3316905265152308
289.0,0.14399999999999952,9.87753502820857,4.31806201703137,0.676010366932639,77.31775379032754,4.31812432697046,0.056506666015013626,1.3086117288760355
290.0,0.14399999999999952,9.87753502820857,4.330506199822292,0.6767339843791981,77.54057510631499,4.330742978007827,0.06016127282716877,1.3892434290854399
291.0,0.1439999999999995,9.87753502820857,4.3424557688514,0.6781080552733878,77.75454003605635,4.342179500167683,0.06205094956570735,1.4289368244301108
292.0,0.1439999999999995,9.87753502820857,4.355360049545138,0.6799031025845962,77.9855997090264,4.354674610293221,0.06414711531293067,1.4728315129682568
293.0,0.1439999999999995,9.87753502820857,4.358578367682708,0.6807890870741576,78.04322582194428,4.358367910344727,0.06657592185498368,1.527468734957715
298.0,0.14399999999999952,9.87753502820857,4.362830198283351,0.6726310202651623,78.11935765845845,4.362681826640991,0.06619187585542773,1.5171774478289881
299.0,0.14399999999999952,9.87753502820857,4.372164750605187,0.6725392530013432,78.28649898605306,4.372368338379141,0.06397036011645171,1.4631278500563607
