T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
95.6835615,0.0,0.0,1.2178787024434328,2.565102022696263,21.986120639470805
95.690878,0.0,0.0,1.3904194237836451,2.9256988177685415,25.10096377368139
95.69843900000001,0.0,0.0,1.1461080985549854,2.4137235642009927,20.69046028159344
95.7063205,0.0,0.0,1.269339260334082,2.6748819669060033,22.91512779895912
95.713614,0.0,0.0,1.3310134004516159,2.8129513333300644,24.028518715672934
95.720732,0.0,0.0,1.3210790680914888,2.806635564895113,23.84917620044203
95.728354,0.0,0.0,1.1525286814179434,2.463674723097352,20.80636977990185
95.735976,0.0,0.0,1.3145115542626122,2.8066356561243446,23.73061418679209
95.74359,0.0,0.0,1.1617051193924146,2.4685398614421876,20.972030179367383
95.7511505,0.0,0.0,1.341261195431907,2.849420501051406,24.213520108893132
95.75840600000001,0.0,0.0,1.260172063093973,2.6695266393557966,22.749634220622877
95.7660585,0.0,0.0,1.2072076913919334,2.559849216173748,21.793479011160297
95.7733905,0.0,0.0,1.3684640228985705,2.9192934016413425,24.704607312583317
95.7809815,0.0,0.0,1.1260402570197747,2.400686214173314,20.328179551926592
95.7885195,0.0,0.0,1.3898306978776584,2.965170745405225,25.090335622645796
95.79581300000001,0.0,0.0,1.1933521174754174,2.5503830554963147,21.543347106360216
95.803358,0.0,0.0,1.2881079893787388,2.7593941909063586,23.253955910656497
95.8107665,0.0,0.0,1.233069593316161,2.642369825832616,22.260358754217993
95.8183425,0.0,0.0,1.2340058453721687,2.63749138636416,22.27726072533469
95.82568950000001,0.0,0.0,1.3101691733774123,2.812556045012857,23.652222053147753
95.8333955,0.0,0.0,1.1229620889214311,2.409362383179727,20.272609998880814
95.840918,0.0,0.0,1.3843992351617598,2.9656104883515613,24.99228251252822
95.848059,0.0,0.0,1.2379544115783476,2.6532364605033396,22.348543401341594
95.8554825,0.0,0.0,1.278569517158646,2.7363648201035358,23.081759779361605
95.8629365,0.0,0.0,1.2264871761368228,2.631938175271021,22.141527693362836
95.870337,0.0,0.0,1.2854893574568518,2.7770187601388545,23.206682272297055
