T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K
267.988522,0.084,5.384478701694496,4.2413538847321695,0.7006761051736136,76.20427291674169,
268.0168895,0.084,5.384478701694496,4.292662016134437,0.7094496938874545,77.12612451283252,
268.044953,0.084,5.384478701694496,4.330264942905708,0.7159254935228292,77.80173512492064,
268.0734185,0.084,5.384478701694496,4.170854748603017,0.6897776132215993,74.93761713748225,
268.1020115,0.084,5.384478701694496,4.289016336662497,0.7094496939986155,77.06062270350539,
268.1303495,0.084,5.384478701694496,4.244221109615159,0.702127377340554,76.25578825675694,
268.158913,0.084,5.384478701694496,4.220545357256816,0.6982787316170518,75.83040675281806,
268.1874375,0.084,5.384478701694496,4.255253615541362,0.7040552612464647,76.45400894651884,
268.21557,0.084,5.384478701694496,4.339021646686995,0.7179300043943571,77.95906654854987,
268.24382949999995,0.084,5.384478701694496,4.217422924955113,0.6978158320792692,75.77430610907327,
268.2725895,0.084,5.384478701694496,4.188657516113948,0.6930282041456916,75.2574789059048,
268.3013695,0.084,5.384478701694496,4.21177323180408,0.6968433100277631,75.67279824849908,
268.3297955,0.084,5.384478701694496,4.293620340766211,0.710457747563178,77.14334270159188,
268.358035,0.084,5.384478701694496,4.266309884858715,0.7060186834112918,76.65265659238813,
268.386344,0.084,5.384478701694496,4.271661182606792,0.7069670202647277,76.74880319206733,
268.4145745,0.084,5.384478701694496,4.289546009921142,0.7099533629994582,77.07013932641765,
268.443128,0.084,5.384478701694496,4.175734255418644,0.6911840435600919,75.025287084198,
268.4713385,0.084,5.384478701694496,4.395839442781079,0.7276729693320285,78.97991011825704,4.2572559763620035
268.499608,0.084,5.384478701694496,4.158285366576794,0.688376895240331,74.71178344278182,4.255056357069233
268.5285735,0.084,5.384478701694496,4.183511409923366,0.6925962209295076,75.16501897653713,4.253153543926771
268.5570885,0.084,5.384478701694496,4.291273442482764,0.7104072769159986,77.10117605335641,4.252697565445862
268.585378,0.084,5.384478701694496,4.250720703580185,0.7035846738420082,76.37256625873923,4.253666662056607
268.6140395,0.084,5.384478701694496,4.182322386363175,0.6921168706164634,75.14365582732871,4.254893033547664
268.642554,0.084,5.384478701694496,4.296811934884476,0.7109375772001665,77.200685973537,4.257827022310079
268.6706665,0.084,5.384478701694496,4.3036089224071965,0.7119245240908633,77.32280723629172,4.25613628916495
268.6988085,0.084,5.384478701694496,4.289407729531796,0.7094496939866679,77.06765484697661,4.257180200491577
268.7272545,0.084,5.384478701694496,4.213634623301743,0.6968433099688558,75.70624181146218,4.2533969012684
268.75527850000003,0.084,5.384478701694496,4.422467788918971,0.7313449607418397,79.45834078251214,4.256120325251992
268.783548,0.084,5.384478701694496,4.142636155920261,0.6851227488616254,74.43061456317126,4.256488823162931
268.8122295,0.084,5.384478701694496,4.292337023676343,0.70995336291287,77.12028538347772,4.258642540501157
268.8403715,0.084,5.384478701694496,4.301033937829276,0.711418055389013,77.27654256871973,4.257453112007864
268.8686705,0.084,5.384478701694496,4.244580646886126,0.7021273773293444,76.26224805168684,4.258403977268609
268.8976755,0.084,5.384478701694496,4.094545967453442,0.6773956191665992,73.56657964740181,4.25601614253643
268.925984,0.084,5.384478701694496,4.461282126735148,0.738228590029425,80.15571677904806,4.25367877026873
268.953979,0.084,5.384478701694496,4.18174055883515,0.6920929205348649,75.13320215028571,4.258941032884555
268.982935,0.084,5.384478701694496,4.164367209485232,0.6893259127491912,74.82105572456423,4.2514836820077475
269.011734,0.084,5.384478701694496,4.226063556148294,0.6996956000351129,75.92955206013346,4.254081343897312
269.040023,0.084,5.384478701694496,4.314305696073892,0.7144422014051887,77.51499583502189,4.258179328286884
269.0683805,0.084,5.384478701694496,4.204773129979039,0.6963580649701222,75.54702763741174,4.258088563393258
269.0966795,0.084,5.384478701694496,4.331939338849506,0.7174406928364869,77.83181894460171,4.257961313414249
269.1245075,0.084,5.384478701694496,4.346910716299691,0.7199716884460371,78.1008092161422,4.25620710029529
269.1529045,0.084,5.384478701694496,4.161369697177321,0.6893021555122402,74.76719951445037,4.255275348255802
269.181478,0.084,5.384478701694496,4.291790511973296,0.7109375773532259,77.11046622476023,4.252424135746057
269.2098945,0.084,5.384478701694496,4.2066061738757865,0.6968433101916945,75.57996187991363,4.253904843105321
269.2382425,0.084,5.384478701694496,4.312742764380827,0.7144166813401316,77.48691469005607,4.256189382316008
269.26661,0.084,5.384478701694496,4.201554942996851,0.695897707610706,75.4892065723102,4.250689955588235
269.2950655,0.084,5.384478701694496,4.287153338641973,0.7099533630725925,77.02715027619617,4.253222767594816
269.3233545,0.084,5.384478701694496,4.251990343500959,0.7040552613478237,76.395377839583,4.253801798004116
269.3516045,0.084,5.384478701694496,4.299590168984744,0.7119245242129066,77.25060241893561,4.251635204882264
269.38007000000005,0.084,5.384478701694496,4.188086966980535,0.6935328663545135,75.2472278674259,4.252434298117842
269.4088395,0.084,5.384478701694496,4.207737980551671,0.6968433101571149,75.60029701514688,4.255855325581862
269.4370405,0.084,5.384478701694496,4.359913446972513,0.7219989534015632,78.33442887245559,4.253578992918172
269.4654965,0.084,5.384478701694496,4.1348321620928,0.6846771224591208,74.29040044955788,4.258834762686546
269.49431500000003,0.084,5.384478701694496,4.249203532711544,0.7035846738878158,76.3453072970781,4.259279741525157
269.5224865,0.084,5.384478701694496,4.326940863558395,0.7164127400396638,77.74201149499874,4.262599282150804
269.55053050000004,0.084,5.384478701694496,4.288096671205893,0.7099533630437441,77.04409910294014,4.261354170001361
