T(K),j_total,j_sum,c_melt,c_heat,l_heat,l_mix
176.5,58.544164787519854,58.544164787519854,0.7192103577301986,2.009699107687375,55.80663955174554,0.008615770356743368
177.5,71.16494755902627,71.16494755902627,0.7711326396497422,2.0018964123897542,68.38313077673773,0.008787730249059203
178.5,72.40637235030637,72.40637235030637,0.8242547235066122,1.9937329044495424,69.57941502099382,0.008969701356397892
179.5,65.1748641996388,65.1748641996388,0.8786530000376244,1.9851957945899013,62.301853347002336,0.009162058008940844
180.5,47.11110180034459,47.11110180034459,0.9344065884903959,1.9763215569694557,44.19100843862183,0.009365216262917076
181.5,25.08034883910609,25.08034883910609,0.9915976995910093,1.967095186623308,22.112076317351068,0.00957963554070498
182.5,12.932576716272193,12.932576716272193,1.0503120081978892,1.957452476437409,9.915006410979183,0.009805820657712688
183.5,10.975095177039302,10.975095177039302,1.1106390394796204,1.947378831474418,7.90703298184247,0.010044324242793739
184.5,10.860369492867708,10.860369492867708,1.1726725723848288,1.9368591156557984,7.7405420552617485,0.01029574956533141
185.5,10.937374251447592,10.937374251447594,1.2365110642462225,1.9258776097597954,7.764424823652115,0.010560753789458487
186.5,11.03218475253592,11.03218475253592,1.3022581003896398,1.9144179673139496,7.804668633151231,0.010840051681099507
187.5,11.142277609868978,11.142277609868978,1.3700228728426358,1.9024631680889834,7.858657149136086,0.011134419801272916
188.5,11.257989364349118,11.257989364349118,1.4399206924506753,1.889995468886294,7.916628501786517,0.011444701225632174
189.5,11.36162586964286,11.36162586964286,1.5120735389827469,1.8769963512931738,7.96078416852964,0.011771810837297274
190.5,11.464268035450127,11.464268035450127,1.5866106542026888,1.8634923691931977,8.002048270805652,0.012116741248588516
191.5,11.572170938419271,11.572170938419273,1.6636691833356838,1.8494616142698674,8.046559571397422,0.012480569416299651
192.5,11.671893376183432,11.671893376183432,1.7433948708154543,1.8348363869377662,8.080797654406128,0.012864464024084126
193.5,11.775505491536356,11.775505491536354,1.8259428168899074,1.8195944128577672,8.116698568070706,0.01326969371797256
194.5,11.89189245420542,11.89189245420542,1.9114783022926096,1.803712319101939,8.163004196518454,0.013697636292418457
195.5,12.008135883051565,12.008135883051565,2.0001776890309912,1.7871655551151469,8.206642849966348,0.014149788939078891
196.5,12.127361852525357,12.127361852525357,2.092229406285387,1.7699283074669705,8.250576359086091,0.014627779686907738
197.5,12.260848794833052,12.26084879483305,2.1878350314288113,1.7519734077513924,8.305906975472878,0.01513338017996893
198.5,12.412265606508873,12.412265606508875,2.2872104774698405,1.7332722329233572,8.376114376153968,0.0156685199617096
199.5,12.573500013461537,12.573500013461537,2.390587299552681,1.7137945972838935,8.452882814167014,0.016235302457948422
200.5,12.737212392857142,12.737212392857142,2.4982141348320055,1.6935479605535797,8.528614274591318,0.016836022880237295
201.5,12.89810710532545,12.89810710532545,2.6103582917961243,1.672496663024292,8.597778962202261,0.017473188302772218
202.5,13.055550887468304,13.055550887468302,2.7273075073148756,1.6505650262490137,8.659528813699197,0.018149540205216076
203.5,13.234798858928572,13.234798858928572,2.8493718920416664,1.6277152429314057,8.73884364413876,0.018868079816741854
204.5,13.441982741599748,13.441982741599748,2.976886087642605,1.6039072375775978,8.841557319730958,0.01963209664858691
205.5,13.665195721956888,13.66519572195689,3.1102116625072407,1.5790984855534413,8.955440373234664,0.020445200661543345
206.5,13.903238051507694,13.903238051507696,3.2497397763239046,1.5532438149884384,9.078943101610506,0.021311358584847
207.5,14.138900915465854,14.138900915465854,3.395894148116685,1.5262951895925523,9.194476642773218,0.022234934983397885
208.5,14.356887180380113,14.356887180380113,3.549134367355533,1.4982014702069264,9.286330604051061,0.023220738766593425
209.5,14.569367330707667,14.569367330707669,3.7099595933760967,1.4689081526294145,9.366225508759637,0.024274075942520727
210.5,14.7838251204142,14.783825120414201,3.8789126949749058,1.4383859794486973,9.441125636438084,0.02540080955251422
211.5,14.993188793258664,14.993188793258664,4.056584889732208,1.4065705371463237,9.503425938504678,0.026607427875455114
212.5,15.216853279987326,15.216853279987326,4.243620951427097,1.3733656047616165,9.571965601627326,0.027901122171286322
213.5,15.450232696132717,15.450232696132717,4.440725064339596,1.3386998814723519,9.641517874872607,0.02928987544816235
214.5,15.68621770585376,15.686217705853762,4.648667415146265,1.3024969134633102,9.704270813256102,0.030782563988085654
215.5,15.939979940078185,15.939979940078185,4.86829162723662,1.2646746152039088,9.774624623972432,0.03238907366522569
216.5,16.22460661682164,16.22460661682164,5.100523158538763,1.225144737513878,9.864818287326939,0.03412043344205796
217.5,16.53687432562342,16.53687432562342,5.346378803076032,1.1838122755644005,9.97069427813684,0.03598896884614698
218.5,16.859940144516063,16.859940144516063,5.606977458827421,1.1405748089733447,10.074379397990606,0.03800847872469171
219.5,17.18796826549028,17.187968265490284,5.883552350538776,1.095321765008478,10.168899710783803,0.04019443915922467
220.5,17.53450410054946,17.53450410054946,6.177464926828283,1.047951635113083,10.266523299489206,0.042564239118886134
221.5,17.905703686844884,17.905703686844888,6.490220686809214,0.998332193176822,10.372013353603707,0.045137453255142984
222.5,18.2820213259721,18.282021325972103,6.823487233642266,0.9463039219528024,10.464294012156625,0.047936158220407664
223.5,18.687492926701182,18.687492926701186,7.179114901980476,0.8917141225073014,10.565678602158478,0.05098530005492742
224.5,19.146541127514794,19.146541127514794,7.559160364523061,0.8343966665590228,10.698670974868104,0.05431312156460589
225.5,19.625906685714288,19.625906685714288,7.965913691465512,0.7741705159632699,10.827870818039596,0.0579516602459095
226.5,20.11797323038884,20.117973230388838,8.401929417398495,0.7108380500381121,10.943268433704425,0.06193732924780975
227.5,20.64773501788884,20.647735017888838,8.870062265339424,0.6441831725350011,11.067177983869483,0.06631159614493247
228.5,21.203939353571425,21.203939353571425,9.373508289990511,0.5739691655317182,11.185340121056909,0.07112177699228747
229.5,21.736358116747674,21.736358116747677,9.915852334938903,0.49993625222712923,11.244147563280954,0.07642196630068793
230.5,22.263012952388003,22.263012952388003,10.501122855564535,0.4218050850794192,11.257810884454582,0.08227412728946666
231.5,22.77924572849747,22.77924572849747,11.133855345698512,0.33925732848801055,11.21738368319381,0.0887493711171393
232.5,23.19677196131658,23.196771961316575,11.819165827754384,0.2519379788463184,11.02973869586776,0.09592945884811624
233.5,23.324504490532565,23.324504490532565,12.562836130714565,0.15946272347821241,10.49829707056635,0.10390856577343724
