T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK)
184.5,0.6807177918169027,0.3123107738190744,26.665798743793182,3.240938920076635,4.869053416362801,57.47377646723374
185.5,0.6788881514263568,0.3105240582563934,26.444538221034353,3.248317449592254,5.115361223675117,57.61055529741705
186.5,0.677032799131846,0.30873261486452813,26.22384054658114,3.2557477478090195,5.11889443716464,57.74829503588794
187.5,0.6751505805022715,0.3069358517886358,26.003633524072836,3.2512048269227023,4.820465427225498,57.673684709740286
188.5,0.6732402994822311,0.30513317876719015,25.783846625201583,3.2469636061023226,4.594471144776261,57.60442977385556
189.5,0.6713007147961919,0.30332400558756445,25.564410780665376,3.25607881117392,4.932890702404028,57.772161993134674
190.5,0.6693305361652895,0.3015077405897709,25.345258184064427,3.272234309258164,5.7895377036509075,58.06487959829386
191.5,0.6673284203106431,0.29968378920729705,25.126322107059043,3.287972992590678,6.281848134169018,58.350285957336126
192.5,0.6652929667154807,0.2978515525348265,24.90753672428471,3.3095786628715547,6.086323814860079,58.73990890559838
193.5,0.6632227131165107,0.29601042591339943,24.68883694668115,3.3338718874753255,5.536102378951262,59.17734800660801
194.5,0.6611161306926424,0.2941597975241202,24.470158262021013,3.3370420509598766,5.050353839613806,59.23992972874257
195.5,0.65897161891654,0.2922990469820288,24.251436581543402,3.3138340672418147,4.804562124026482,58.83423696362597
196.5,0.6567875000314006,0.2904275439221055,24.032608091693596,3.288997335391651,4.522239221562814,58.39957198216002
197.5,0.6545620131117883,0.2885446465696598,23.813609110056156,3.27125413687282,4.482972009049595,58.0908167308351
198.5,0.6522933076633326,0.28664970028757186,23.59437594464396,3.2587632544282794,5.092122959900276,57.87531387683068
199.5,0.6499794367114378,0.2847420360929833,23.374844755769008,3.257188196795009,5.643677961135611,57.85369008690726
200.5,0.6476183493239159,0.28282096913609656,23.154951419776197,3.2657432664540202,5.616039520497933,58.01205443434554
201.5,0.6452078825064204,0.2808857971337816,22.93463139397259,3.282635453286976,5.629640970426541,58.31861503936628
202.5,0.6427457524027925,0.27893579875064967,22.713819582127467,3.2945954876793673,5.7113017074834405,58.53765901846057
203.5,0.6402295447246515,0.27697023192018827,22.492450199958657,3.2990650533326806,6.002963647254814,58.62369918854075
204.5,0.6376567043257875,0.2749883320984494,22.27045664005722,3.3018965649760954,6.2190295204384896,58.6807012490003
205.5,0.6350245238268896,0.2729893104426859,22.047771335741007,3.3020957813493133,5.945905107031657,58.69098654783865
206.5,0.6323301311847633,0.2709723519071454,21.824325623357563,3.300850730417266,5.735972260799136,58.67566000393264
207.5,0.6295704760871969,0.26893661324813967,21.60004960259878,3.301472848478823,5.518739796566163,58.69358617741803
208.5,0.6267423150398753,0.2668812209303388,21.3748719944255,3.3054014280347843,5.938264506856336,58.77037047064817
209.5,0.6238421949948135,0.26480526892613293,21.148719996243983,3.311218609222348,6.544682333040153,58.88082432095338
210.5,0.6208664353505038,0.26270781639984986,20.921519134028756,3.3250621567287326,6.604044225668136,59.13411955235927
211.5,0.6178111081318979,0.26058788526859644,20.693193111143593,3.337472992155282,6.697446761817741,59.362067833978244
212.5,0.61467201613302,0.25844445763156887,20.463663653682836,3.3474872631120602,6.561231334473108,59.54751849160869
213.5,0.6114446687760368,0.25627647305993334,20.232850352245862,3.34845329251355,6.380870000769096,59.57212056943707
214.5,0.6081242554072366,0.25408282573971613,20.000670500157906,3.343988561700287,6.224330623971619,59.5001842722915
215.5,0.6047056157121051,0.2518623614608195,19.767038928287114,3.3441856413824165,6.29235023113562,59.51127847000346
216.5,0.6011832068875127,0.24961387444614774,19.531867836762753,3.3464619349104927,6.806271772202542,59.55947464071472
217.5,0.5975510671581871,0.24733610401618214,19.29506662410353,3.3513766946501415,7.423479011547722,59.65474635972124
218.5,0.5938027751659158,0.24502773108609116,19.056541714504153,3.3620019214783157,7.59303302778357,59.85180610061739
219.5,0.5899314046920237,0.24268737449492986,18.816196384334468,3.37592322218823,7.316457084628203,60.10771219426664
220.5,0.5859294740951475,0.2403135871696421,18.57393058927085,3.3803364627695007,7.110230845175751,60.19448828484642
221.5,0.581788889755301,0.23790485213078288,18.32964079393457,3.375909322964329,7.202024453918993,60.12396205178303
222.5,0.5775008827096637,0.2354595783522802,18.083219806465276,3.371094278660687,7.678979783483891,60.046630466030244
223.5,0.5730559375429474,0.23297609649445877,17.834556621130893,3.37389641859202,8.268676950346268,60.10510443663456
224.5,0.5684437124526929,0.23045265453833694,17.583536272894744,3.3782981694373166,8.864481924653965,60.19223128862403
225.5,0.5636529492440431,0.2278874133602655,17.33003970885099,3.3818903353874106,9.153321571278678,60.2650985586329
226.5,0.5586713718154144,0.22527844229982155,17.073943682632343,3.3880254739062297,9.096922686145255,60.38345834369378
227.5,0.5534855714713086,0.22262371479108045,16.815120679324508,3.3892852901755575,9.243479904978098,60.41510533555274
228.5,0.5480808771357775,0.21992110414863714,16.553438880126702,3.3880942798129423,9.602368645670486,60.40323150674846
229.5,0.5424412082330733,0.2171683796257684,16.28876217801394,3.3847412781544874,9.936863614747384,60.35297428605959
