T(K),massfrac,cp(J/gK)
184.5,0.3123107738190744,2.8157767594880574
184.6,0.31213229808867704,2.8165016390163644
184.7,0.3119537804296801,2.817227950862856
184.79999999999998,0.31177522024573157,2.817955695027531
184.89999999999998,0.31159661694092866,2.81868487151039
184.99999999999997,0.31141796991980597,2.8194154803114317
185.09999999999997,0.3112392785873139,2.8201475214306573
185.19999999999996,0.3110605423488066,2.820880994868067
185.29999999999995,0.3108817606100221,2.8216159006236596
185.39999999999995,0.31070293277706523,2.8223522386974365
185.49999999999994,0.3105240582563935,2.823090009089396
185.59999999999994,0.3103451364548006,2.82382921179954
185.69999999999993,0.31016616677939607,2.8245698468278673
185.79999999999993,0.30998714863759297,2.825311914174378
185.89999999999992,0.30980808143709143,2.826055413839072
185.99999999999991,0.30962896458585937,2.8268003458219506
186.0999999999999,0.30944979749212115,2.8275467101230123
186.1999999999999,0.30927057956433557,2.828294506742258
186.2999999999999,0.3090913102111844,2.8290437356796865
186.3999999999999,0.30891198884155663,2.829794396935299
186.4999999999999,0.30873261486452885,2.8305464905090947
186.59999999999988,0.3085531876893522,2.8313000164010744
186.69999999999987,0.3083737067254377,2.8320549746112382
186.79999999999987,0.3081941713823381,2.8328113651395848
186.89999999999986,0.30801458106973273,2.833569187986115
186.99999999999986,0.30783493519741173,2.8343284431508295
187.09999999999985,0.30765523317526416,2.835089130633727
187.19999999999985,0.307475474413256,2.8358512504348083
187.29999999999984,0.3072956583214214,2.836614802554073
187.39999999999984,0.307115784309842,2.837379786991521
187.49999999999983,0.3069358517886364,2.8381462037471534
187.59999999999982,0.3067558601679394,2.8389140528209693
187.69999999999982,0.3065758088578924,2.8396833342129675
187.7999999999998,0.3063956972686258,2.840454047923151
187.8999999999998,0.3062155248102411,2.8412261939515173
187.9999999999998,0.30603529089280185,2.8419997722980677
188.0999999999998,0.30585499492631435,2.8427747829628007
188.1999999999998,0.3056746363207119,2.8435512259457174
188.29999999999978,0.30549421448584474,2.8443291012468186
188.39999999999978,0.30531372883146024,2.8451084088661034
188.49999999999977,0.30513317876719115,2.845889148803571
188.59999999999977,0.3049525637025382,2.8466713210592225
188.69999999999976,0.3047718830468577,2.8474549256330577
188.79999999999976,0.3045911362093446,2.8482399625250765
188.89999999999975,0.30441032259902295,2.849026431735279
188.99999999999974,0.3042294416247228,2.849814333263665
189.09999999999974,0.30404849269507156,2.850603667110234
189.19999999999973,0.3038674752184801,2.8513944332749874
189.29999999999973,0.3036863886031223,2.8521866317579243
189.39999999999972,0.30350523225692944,2.8529802625590444
189.49999999999972,0.303324005587565,2.853775325678348
189.5999999999997,0.30314270800242077,2.8545718211158357
189.6999999999997,0.3029613389085927,2.855369748871507
189.7999999999997,0.3027798977128764,2.8561691089453616
189.8999999999997,0.30259838382174303,2.8569699013374
189.9999999999997,0.30241679664133275,2.857772126047622
190.09999999999968,0.3022351355774355,2.858575783076027
190.19999999999968,0.30205340003547715,2.8593808724226166
190.29999999999967,0.3018715894205089,2.860187394087389
190.39999999999966,0.3016897031371893,2.8609953480703454
190.49999999999966,0.30150774058977176,2.861804734371485
190.59999999999965,0.3013257011820884,2.8626155529908086
190.69999999999965,0.30114358431753946,2.863427803928316
190.79999999999964,0.30096138939907363,2.8642414871840063
190.89999999999964,0.3007791158291794,2.8650566027578805
190.99999999999963,0.3005967630098682,2.8658731506499384
191.09999999999962,0.30041433034266085,2.86669113086018
191.19999999999962,0.3002318172285719,2.8675105433886054
191.2999999999996,0.30004922306809756,2.8683313882352133
191.3999999999996,0.2998665472612005,2.8691536654000056
191.4999999999996,0.2996837892072983,2.8699773748829815
191.5999999999996,0.29950094830524265,2.870802516684141
191.6999999999996,0.29931802395331386,2.8716290908034843
191.79999999999959,0.2991350155492004,2.87245709724101
191.89999999999958,0.29895192248998836,2.873286535996721
191.99999999999957,0.2987687441721451,2.874117407070615
192.09999999999957,0.2985854799915071,2.874949710462692
192.19999999999956,0.2984021293432647,2.8757834461729526
192.29999999999956,0.29821869162194686,2.876618614201397
192.39999999999955,0.2980351662214118,2.877455214548026
192.49999999999955,0.29785155253482803,2.8782932472128375
192.59999999999954,0.2976678499546604,2.8791327121958328
192.69999999999953,0.29748405787266097,2.8799736094970116
192.79999999999953,0.29730017567985195,2.880815939116374
192.89999999999952,0.2971162027665066,2.88165970105392
192.99999999999952,0.2969321385221444,2.8825048953096504
193.0999999999995,0.2967479823355131,2.8833515218835633
193.1999999999995,0.2965637335945716,2.88419958077566
193.2999999999995,0.29637939168647964,2.885049071985941
193.3999999999995,0.2961949559975836,2.885899995514405
193.4999999999995,0.29601042591340104,2.886752351361053
193.59999999999948,0.2958258008186044,2.887606139525884
193.69999999999948,0.29564108009701434,2.888461360008899
193.79999999999947,0.29545626313157836,2.8893180128100977
193.89999999999947,0.29527134930435983,2.89017609792948
193.99999999999946,0.29508633799652234,2.891035615367045
194.09999999999945,0.29490122858831774,2.8918965651227944
194.19999999999945,0.29471602045907125,2.892758947196728
194.29999999999944,0.29453071298716516,2.8936227615888446
194.39999999999944,0.2943453055500288,2.8944880082991444
194.49999999999943,0.294159797524121,2.895354687327628
194.59999999999943,0.29397418828491684,2.896222798674295
194.69999999999942,0.29378847720689427,2.8970923423391457
194.79999999999941,0.29360266366351817,2.897963318322181
194.8999999999994,0.29341674702722864,2.8988357266233984
194.9999999999994,0.2932307266694243,2.8997095672428
195.0999999999994,0.2930446019604503,2.900584840180385
195.1999999999994,0.292858372269582,2.9014615454361543
195.2999999999994,0.2926720369650112,2.902339683010107
