T(K),j_total,j_sum,c_melt,c_heat,l_heat,l_mix
176.5,50.13060360676122,50.13060360676122,1.080837227515033,3.0140744825131,46.02938006186652,0.006311834866561875
177.5,54.860498381837935,54.860498381837935,1.1124040215328008,3.0158521489419634,50.7258044002462,0.006437811116976037
178.5,54.413257808258194,54.4132578082582,1.1450239204589907,3.017365487316166,50.244297278990736,0.006571121492304641
179.5,46.62441245722285,46.62441245722285,1.1787420781098632,3.018605128328016,42.420353210561544,0.006712040223430164
180.5,28.706536059874715,28.70653605987472,1.2136065154662463,3.019637280113366,24.46643139218575,0.0068608721093531815
181.5,13.805301549068789,13.805301549068787,1.2496682944377482,3.0204509501716386,9.528164350740676,0.007017953718723853
182.5,9.575673801989923,9.575673801989923,1.2869817099239726,3.0209596134565078,5.260548823734732,0.007183654874710613
183.5,9.205606669196772,9.205606669196772,1.3256045013581357,3.0211525778498522,4.851491209560608,0.007358380428176108
184.5,9.232705685283587,9.232705685283587,1.3655980851147342,3.0210187547984377,4.838546273041641,0.007542572328774234
185.5,9.30348084823219,9.30348084823219,1.4070278094552675,3.020546628543621,4.868169698224339,0.007736712008962923
186.5,9.377869051565416,9.377869051565417,1.449963233848252,3.019724223808608,4.900240270808811,0.007941323099744109
187.5,9.468941619596443,9.468941619596443,1.4944784348420896,3.0185390717285,4.947767138523207,0.008156974502646219
188.5,9.578174044928817,9.578174044928817,1.540652340927094,3.016978173797655,5.012159246356855,0.008384283847212024
189.5,9.670077692355445,9.670077692355445,1.588569099122492,3.0150279635956387,5.057856708268836,0.008623921368478928
190.5,9.749915795179383,9.749915795179383,1.6383184764034917,3.0127484786301735,5.089972225900529,0.00887661424518965
191.5,9.836552805186349,9.836552805186349,1.6899962994854532,3.010123669068194,5.127289685186623,0.00914315144607953
192.5,9.922250816207677,9.922250816207677,1.74370493685577,3.007063354435683,5.16205813577808,0.009424389138145101
193.5,10.007089166451316,10.007089166451316,1.7995538275246499,3.0035512167547354,5.19426286545202,0.009721256719910658
194.5,10.10667237020299,10.106672370202988,1.857660061442169,2.9995701332312943,5.239407411978486,0.010034763551039359
195.5,10.224803431425086,10.224803431425084,1.918149017192161,2.9951021183523436,5.301186289420083,0.010366006460498175
196.5,10.344804132693675,10.344804132693675,1.9811550632897235,2.99012826143394,5.362804629842545,0.010716178127466978
197.5,10.44774826303031,10.44774826303031,2.0468223301613655,2.984628659149362,5.405210697277337,0.011086576442245265
198.5,10.546870405021627,10.546870405021627,2.1153055608673403,2.9785823425165803,5.441503886666925,0.011478614970782647
199.5,10.653245637281332,10.65324563728133,2.186771049593159,2.9719671977675457,5.482613555256956,0.011893834663670699
200.5,10.762859885281266,10.762859885281266,2.261397678194414,2.964828725762635,5.524299564352238,0.01233391697197995
201.5,10.881856230995226,10.881856230995227,2.3393780623523606,2.957140802524566,5.572536667562875,0.01280069855542511
