T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK)
184.5,0.7381885892898603,0.3123107738190744,26.665798743793182,2.6867127500737027,6.166371356368825,47.64530644895693
185.5,0.7366882841696126,0.3105240582563934,26.444538221034353,2.69278921112641,6.491321071479253,47.757980603576534
186.5,0.7351668952881137,0.30873261486452813,26.22384054658114,2.698575170477671,6.83117040329913,47.86553725672961
187.5,0.7336234760118627,0.3069358517886358,26.003633524072836,2.707023089773884,7.198295941899007,48.02035076005312
188.5,0.7320570455754295,0.30513317876719015,25.783846625201583,2.7189156657580735,7.138513379234402,48.236323386823024
189.5,0.7304665861328774,0.30332400558756445,25.564410780665376,2.7231964606514336,6.665687235965464,48.31730316968739
190.5,0.7288510396555374,0.3015077405897709,25.345258184064427,2.714251051815031,6.5413777233083,48.16362327027606
191.5,0.7272093046547273,0.29968378920729705,25.126322107059043,2.7043185340896283,6.602485501903166,47.99241360541741
192.5,0.7255402327066942,0.2978515525348265,24.90753672428471,2.690959915011704,6.551470580723634,47.760381721598876
193.5,0.7238426247555388,0.29601042591339943,24.68883694668115,2.6732662435558616,6.384237787662003,47.45137550232088
194.5,0.7221152271679668,0.2941597975241202,24.470158262021013,2.6668834197170805,6.843851159300704,47.343121233172646
195.5,0.7203567275115629,0.2922990469820288,24.251436581543402,2.6807647147989426,7.938847594127497,47.59464211962882
196.5,0.7185657500257486,0.2904275439221055,24.032608091693596,2.7014085891036994,9.027730767086105,47.96632203224353
197.5,0.7167408507516665,0.2885446465696598,23.813609110056156,2.720804083085094,9.364149530924195,48.31594389731416
198.5,0.7148805122839328,0.28664970028757186,23.59437594464396,2.7562956987414586,9.104426816726226,48.95153966316797
199.5,0.712983138103379,0.2847420360929833,23.374844755769008,2.8045729135699307,8.81962708703985,49.81440505263528
200.5,0.7110470464456111,0.28282096913609656,23.154951419776197,2.8349918516087804,8.434598254522172,50.36026662164143
201.5,0.7090704636552647,0.2808857971337816,22.93463139397259,2.8543700156087715,7.962586467280033,50.710140827095145
202.5,0.7070515169702899,0.27893579875064967,22.713819582127467,2.876955652156874,7.215593819263318,51.1171248813359
203.5,0.7049882266742143,0.27697023192018827,22.492450199958657,2.8907391222876857,6.800251945898273,51.36783240037872
204.5,0.7028784975471458,0.2749883320984494,22.27045664005722,2.9017516043644904,7.484497854629264,51.569398266645194
205.5,0.7007201095380495,0.2729893104426859,22.047771335741007,2.910946733611161,7.720563361261664,51.73875832094601
206.5,0.698510707571506,0.2709723519071454,21.824325623357563,2.9144930429174405,7.251739909533192,51.80779648537248
207.5,0.6962477903915014,0.26893661324813967,21.60004960259878,2.9337329291072853,7.614760625736254,52.155905681740144
208.5,0.6939286983326978,0.2668812209303388,21.3748719944255,2.9693572698620727,8.533147177749335,52.79547147568727
209.5,0.6915505998957471,0.26480526892613293,21.148719996243983,2.9898713231860987,9.239231366868989,53.16655554920374
210.5,0.6891104769874131,0.26270781639984986,20.921519134028756,3.009559923802002,9.456320114716224,53.5231126353395
211.5,0.6866051086681563,0.26058788526859644,20.693193111143593,3.0432717587810836,9.049189715014013,54.129248388412925
212.5,0.6840310532290765,0.25844445763156887,20.463663653682836,3.071451368317748,8.841893637810207,54.63719284803005
213.5,0.6813846283963502,0.25627647305993334,20.232850352245862,3.0894643456083104,9.137150180611922,54.964464609091
214.5,0.678661889433934,0.25408282573971613,20.000670500157906,3.1153883341799706,9.204718177391179,55.43265969462648
215.5,0.6758586048839264,0.2518623614608195,19.767038928287114,3.151441975438149,9.152137005620176,56.08131877057811
216.5,0.6729702296477604,0.24961387444614774,19.531867836762753,3.183741106807555,9.144191414791383,56.663410910298424
217.5,0.6699918750697135,0.24733610401618214,19.29506662410353,3.2069744339974706,9.066577614263242,57.084375727629485
218.5,0.666918275636051,0.24502773108609116,19.056541714504153,3.2213015432721304,8.975961164784428,57.346997373150266
219.5,0.6637437518474595,0.24268737449492986,18.816196384334468,3.2323153007422762,9.187516253341798,57.55079870928071
220.5,0.660462168758021,0.2403135871696421,18.57393058927085,3.2460250522174476,9.622315538977363,57.80277174477961
221.5,0.6570668895993469,0.23790485213078288,18.32964079393457,3.267844424816327,9.842792364722479,58.199357681878006
222.5,0.6535507238219243,0.2354595783522802,18.083219806465276,3.281629278003418,9.983966227393172,58.45306131902779
223.5,0.649905868785217,0.23297609649445877,17.834556621130893,3.287549443324316,10.121015588345664,58.566855088594814
224.5,0.6461238442112082,0.23045265453833694,17.583536272894744,3.2992161134721774,9.985401080308131,58.78320071622005
225.5,0.6421954183801154,0.2278874133602655,17.33003970885099,3.297875576851034,9.71802929530528,58.76796021248529
226.5,0.63811052488864,0.22527844229982155,17.073943682632343,3.2920283613818717,10.118079659868522,58.67253919923227
227.5,0.6338581686064731,0.22262371479108045,16.815120679324508,3.2983725827371035,10.648257643979525,58.79455695263688
228.5,0.6294263192513376,0.21992110414863714,16.553438880126702,3.307288088960057,11.076608579121041,58.96261189874428
229.5,0.6248017907511202,0.2171683796257684,16.28876217801394,3.3180906527225975,12.199365672785934,59.16453382569036
230.5,0.6199701042673524,0.21436320289381888,16.020950258028343,3.333987431508469,13.011919871759034,59.45754396322207
231.5,0.6149153324097149,0.2115031251300005,15.749858758575119,3.3403587130851538,13.170958269238191,59.58092984922111
232.5,0.6096199217672341,0.208585584946368,15.475339533262757,3.347966548548989,13.32732118942688,59.726609187907385
233.5,0.6040644904072623,0.20560790744628588,15.197241036385732,3.355526067476223,13.222285060023097,59.871677983109606
