T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
95.6835615,0.0,0.0,0.6256726303060935,1.2825462691532197,11.295142860389847
95.690878,0.0,0.0,0.7143136474609655,1.4628452592819101,12.895361414883318
95.69843900000001,0.0,0.0,0.5888012223214981,1.2068567434141864,10.629510706325542
95.7063205,0.0,0.0,0.6521099615016088,1.337436431051766,11.772410712996244
95.713614,0.0,0.0,0.6837944152914527,1.4064713122047068,12.344403820373538
95.720732,0.0,0.0,0.6786907544378511,1.4033133713459405,12.25226845171564
95.728354,0.0,0.0,0.5920997305882948,1.2318322730173208,10.689058016364369
95.735976,0.0,0.0,0.6753167619017795,1.4033133719847803,12.191358439260446
95.74359,0.0,0.0,0.596814031013131,1.2342649134311017,10.774164339073852
95.7511505,0.0,0.0,0.6890591143352018,1.4247059059429195,12.439446379270533
95.75840600000001,0.0,0.0,0.647400408408804,1.3347587091774584,11.687390092922458
95.7660585,0.0,0.0,0.6201905083679878,1.2799197903957862,11.196175209465611
95.7733905,0.0,0.0,0.7030342865577582,1.4596424242724253,12.691737368369898
95.7809815,0.0,0.0,0.5784915755785915,1.2003379131184473,10.443392715605198
95.7885195,0.0,0.0,0.7140111955949553,1.4825811614632154,12.88990131183661
95.79581300000001,0.0,0.0,0.6130723500823109,1.275186614398219,11.067672521565942
95.803358,0.0,0.0,0.6617522025928708,1.3796925324026326,11.946480162968578
95.8107665,0.0,0.0,0.6334767939144759,1.3211801445535871,11.43602986517925
95.8183425,0.0,0.0,0.6339577837579935,1.318740941278021,11.444713078626306
95.82568950000001,0.0,0.0,0.6730859084803484,1.406273526524318,12.151085288614036
95.8333955,0.0,0.0,0.5769101984457533,1.2046759490628587,10.414844430501496
95.840918,0.0,0.0,0.7112208376085255,1.482800998590042,12.83952753717919
95.848059,0.0,0.0,0.6359863189472542,1.3266134799648803,11.481333818690992
95.8554825,0.0,0.0,0.656851910805952,1.368177817470275,11.85801617539769
95.8629365,0.0,0.0,0.6300951449357179,1.3159642867457844,11.37498163249553
95.870337,0.0,0.0,0.6604069074340974,1.3885047677976101,11.922193818526274
95.877646,0.0,0.0,0.6395502454331502,1.3484374358564457,11.545672670755575
95.885306,0.0,0.0,0.6006157406366287,1.265183914196734,10.842795842564932
95.8930575,0.0,0.0,0.6273254694434065,1.3159642873598099,11.324981234767929
95.900397,0.0,0.0,0.6748364318173887,1.412430925511523,12.182687136312955
95.90751499999999,0.0,0.0,0.6670793446156984,1.3974302948386852,12.042649992478282
95.91480849999999,0.0,0.0,0.644423627772167,1.345715524587886,11.633650867445377
95.92190400000001,0.0,0.0,0.7074731958344791,1.479291417768126,12.771872109760686
95.92931200000001,0.0,0.0,0.5890219621774982,1.241312585488703,10.63349567879794
95.9368115,0.0,0.0,0.6816864763200425,1.4403011005745285,12.306349619710465
95.9438615,0.0,0.0,0.6611319876571212,1.3972350428038092,11.935283546776478
95.951247,0.0,0.0,0.6210886674312649,1.3133717728060683,11.212389495403139
95.95870049999999,0.0,0.0,0.6492315763452096,1.3711794365093688,11.7204478014448
95.965994,0.0,0.0,0.6505785567084229,1.3709914493345152,11.744764568545818
95.973532,0.0,0.0,0.609878192626653,1.2850184065424821,11.010009035850443
95.98108500000001,0.0,0.0,0.6485636059277903,1.3653757135895415,11.708389065093213
95.98819549999999,0.0,0.0,0.6868885695615911,1.449907264204769,12.400261968581493
95.995604,0.0,0.0,0.5951797131065183,1.2626279951309987,10.744660324769354
96.00310400000001,0.0,0.0,0.6657402860484323,1.4124309273006013,12.01847623597514
96.0106035,0.0,0.0,0.5940804637917271,1.2627874378489135,10.724815796739291
96.017943,0.0,0.0,0.6962359073514803,1.4792914197813434,12.569007588234806
96.024901,0.0,0.0,0.6608133951898152,1.39743029608847,11.929532060682696
96.0321945,0.0,0.0,0.6388707247944309,1.3457155257747593,11.533405420568902
96.03963300000001,0.0,0.0,0.6375704814118881,1.3430045824379344,11.509932386832535
96.04704100000001,0.0,0.0,0.646162211304659,1.3568537139118186,11.66503716824075
96.0544645,0.0,0.0,0.6369592084784617,1.337436434218424,11.498897198819973
96.0621855,0.0,0.0,0.5946629174768369,1.2554945225508087,10.73533071662584
96.069754,0.0,0.0,0.6585764349868616,1.3943127788728904,11.889148665530815
96.07678849999999,0.0,0.0,0.6839079308393744,1.4499072647667037,12.34645309385706
96.0841125,0.0,0.0,0.60878070696904,1.290157804277689,10.990196346770686
96.0916805,0.0,0.0,0.6394430116295702,1.354097756052188,11.543736800346306
96.098837,0.0,0.0,0.6823475916200001,1.4434195289908496,12.31828460199754
96.1058945,0.0,0.0,0.6569514864206046,1.3914027128908868,11.859813794053892
96.1131575,0.0,0.0,0.6422058903275006,1.3625850636689605,11.593614496904305
96.1204205,0.0,0.0,0.6567239079355431,1.3914027129376678,11.855705365178775
96.1280885,0.0,0.0,0.5785248588968671,1.2271462174814272,10.443993572693364
96.1357335,0.0,0.0,0.6607439084906611,1.4003656566369684,11.928277631200208
96.1430115,0.0,0.0,0.6356319989304566,1.3486192889457067,11.474937350291748
96.15057949999999,0.0,0.0,0.6072421162014863,1.2951707093215814,10.962420475362192
96.1577665,0.0,0.0,0.7048533758526315,1.5030827727038096,12.724577023592387
96.16503,0.0,0.0,0.595320684697108,1.2700042632828639,10.747205256699951
96.17245349999999,0.0,0.0,0.6728900758236247,1.4341044945533963,12.147549960828734
96.1796555,0.0,0.0,0.6339185758370781,1.3457155268572931,11.444005265871604
96.18694149999999,0.0,0.0,0.6595325876735723,1.4003656568810456,11.906409898753466
