T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K
183.0,0.9079409247545874,0.3149832854473216,26.999810558007706,3.9132740847439624,0.5175559819474217,69.38600195804734,3.8900718705346526
184.0,0.907414669054283,0.31320254444824397,26.77631620106883,3.7285814974369775,0.5189239610130206,66.11810561969506,3.7530239107107692
185.0,0.9068876120090325,0.3114179699198057,26.5561653113184,3.8668164121495643,0.5148744734042248,68.57636152956437,3.847765179636924
186.0,0.9063440872939683,0.30962896458586003,26.33293114707402,3.882278258483852,0.5167257753986638,68.85781345062463,3.877968193679839
187.0,0.9057957538484729,0.30783493519741156,26.11145286762284,3.879597791590398,0.5164463354449798,68.81734819983099,3.8736631127270034
188.0,0.90524468483665,0.3060352908928012,25.892596192288305,3.86312926578353,0.5156028737449453,68.53236090610652,3.8649922313074723
189.0,0.9046841269711041,0.3042294416247227,25.673708463439038,3.845894071162321,0.515712598538302,68.23366655328739,3.883328563340109
190.0,0.9041178017319108,0.30241679664133225,25.45631834035611,4.151521008107441,0.5142183444497117,73.6636051434498,4.093478228326926
191.0,0.9035336663106112,0.3005967630098679,25.235882621862412,3.6856556389938206,0.5184520463048367,65.40435430810338,3.733683713031798
192.0,0.9029385961818259,0.2987687441721445,25.015203572640285,3.7945833354913003,0.5157322224320542,67.3444760922799,3.782380525136884
193.0,0.902340592521415,0.2969321385221438,24.797316923388426,3.900172778308861,0.515509872777421,69.22576295650903,3.8716261443312967
194.0,0.9017345669113199,0.29508633799652173,24.580316230086332,3.608142199376723,0.5185870552487751,64.04910053643677,3.661500648833574
195.0,0.9011114204689319,0.29323072666942335,24.361102642666292,3.8697069283078966,0.5112202556733836,68.69960207557436,3.8097075908051163
196.0,0.9004738052424246,0.29136467934340693,24.140825195195255,3.791865032580365,0.5118336826843057,67.32499081232602,3.8310850185569754
197.0,0.8998275054414004,0.2894875601285893,23.921613289794813,3.937048743417993,0.5142783383813091,69.91021774018924,3.9411244317804006
198.0,0.8991723581794635,0.2875987210023984,23.70338164346222,3.8930635328922296,0.513407800387051,69.13661564702021,3.884017432681991
199.0,0.8985014368478784,0.2856975003424541,23.483994273671286,3.903600533576697,0.5130743853517256,69.33141709202701,3.89464843342602
200.0,0.8978155164428153,0.2837832214252322,23.26383817703124,3.8651591864807653,0.5105023202929706,68.65620405860031,3.8670224006598013
201.0,0.8971217592604144,0.28185519088317856,23.0453256524531,3.8088658986132877,0.5097571698919559,67.66369176058802,3.8338939284421056
202.0,0.8964095272242917,0.27991269711297245,22.825242283467922,3.979772885368599,0.5063474722500211,70.70776771841128,3.9669753071599168
203.0,0.8956734428319455,0.2779550086275582,22.602169897889127,3.9733529957760187,0.5072395208711892,70.6016347722303,3.9674137439746167
204.0,0.8949281243620203,0.27598137234450526,22.380649940065734,3.8016285369606955,0.5062818667564288,67.55800378034063,3.8144543542598175
205.0,0.8941722666456708,0.27399101180313085,22.160407505294152,3.865011195885126,0.5036099111611885,68.69217962967755,3.8573529154258455
206.0,0.8933947932789911,0.27198312530269514,21.938353724336128,3.9755577324841394,0.5010661962958117,70.665003209492,3.965165299600939
207.0,0.8925922987480842,0.26995688395382705,21.713831078981396,4.143048462759796,0.503916166555068,73.65082044096766,4.119830245686426
208.0,0.8917657270287658,0.2679114296352212,21.487263116615544,3.99313205587487,0.5048755558415446,70.99409683681196,4.018903472548455
209.0,0.8909230829499576,0.26584587284749067,21.261078721503107,4.137030651134239,0.49993678337586384,73.56131370687112,4.136212885727177
210.0,0.8900606754093207,0.2637592904559865,21.034530933263294,4.373932244663417,0.4991607270446552,77.78294737697222,4.352171858366955
211.0,0.8891748510285352,0.2616507233143531,20.80672929602918,4.086221730771489,0.49973475159444053,72.67520862766338,4.097714567816252
212.0,0.8882724240950194,0.25951917376060923,20.579708332938395,3.903471978358625,0.5014651233213243,69.4334954785338,3.9316677100927446
213.0,0.8873322891170763,0.25736360297771854,20.348430725044448,3.9845319187953985,0.5006039170275288,70.8840764324415,3.9673642049535203
214.0,0.8863611773507281,0.25518292821087923,20.114874339721624,3.961760152735659,0.4982182589623746,70.48797631493969,3.992399007289862
215.0,0.8853755244435487,0.25297601983429524,19.883291056402673,4.14771743215079,0.4975176643806055,73.805695852944,4.117533998390234
216.0,0.8843662567328348,0.2507416982609224,19.651600974552537,3.9571157661101677,0.49999516769602587,70.42311257961674,3.9719680884256694
217.0,0.8833058349648223,0.2484787306898044,19.41391008795501,4.064378400837605,0.4963209314316299,72.34144537893957,4.063785189443237
218.0,0.882210606674185,0.24618582768714417,19.174369287788277,4.1836411679168135,0.49523977442987427,74.47416230734694,4.149671152704483
219.0,0.88109800191313,0.24386163959933677,18.937014993123295,4.23595584880472,0.4945440588026466,75.41539008339005,4.246060487514184
220.0,0.879931625602081,0.241504752798992,18.69442386361612,4.276612765714677,0.49334475535072747,76.14949643734087,4.290074901377563
221.0,0.8787233398247877,0.23911368576862801,18.449550547467453,4.215062330518369,0.4932589270102225,75.06391083102939,4.22706041151228
222.0,0.8774922381546972,0.23668688503148091,18.20659177598876,4.269275580839644,0.4934445435417516,76.03984131813395,4.2505058988086475
223.0,0.8761970072538112,0.23422272094499327,17.957785332244747,4.453708451318018,0.4895575932814243,79.33618526345585,4.447550982214723
224.0,0.8748555949142075,0.23171948338034123,17.707159858046275,4.482641963434731,0.4902354825999831,79.86290074338869,4.476709571382629
225.0,0.8734855205441785,0.2291753773212247,17.458296432463126,4.357144804173814,0.49095720110376095,77.63834133399718,4.360161953846891
