,0
196.0,
196.5,
197.0,
197.5,
198.0,
198.5,
199.0,
199.5,
200.0,
200.5,
201.0,
201.5,
202.0,
202.5,
203.0,
203.5,
204.0,
204.5,
205.0,
205.5,
206.0,
206.5,
207.0,
207.5,
208.0,
208.5,
209.0,
209.5,
210.0,
210.5,
211.0,
211.5,
212.0,
212.5,
213.0,
213.5,
214.0,
214.5,
215.0,
215.5,
216.0,
216.5,
217.0,
217.5,
218.0,
218.5,
219.0,
219.5,
220.0,
220.5,
221.0,
221.5,
222.0,
222.5,
223.0,
223.5,
224.0,
224.5,
225.0,
225.5,
226.0,
226.5,5.393780643859343
227.0,5.21125521383782
227.5,5.123162555682675
228.0,5.03506989752753
228.5,4.982881140280126
229.0,4.9306923830327225
229.5,4.896224049768551
230.0,4.861755716504382
230.5,4.837221782840577
231.0,4.812687849176771
231.5,4.794157077825532
232.0,4.775626306474292
232.5,4.760904997651736
233.0,4.74618368882918
233.5,4.733964620979045
234.0,4.721745553128911
234.5,4.7112140495064345
235.0,4.700682545883957
235.5,4.691314961675063
236.0,4.681947377466171
236.5,4.673400040199772
237.0,4.664852702933373
237.5,4.6568970884055645
238.0,4.648941473877756
238.5,4.6414246239815915
239.0,4.633907774085426
239.5,4.626727245887505
240.0,4.619546717689585
240.5,4.612634269265407
241.0,4.605721820841229
241.5,4.599032542396724
242.0,4.59234326395222
242.5,4.585848206044588
243.0,4.579353148136955
243.5,4.573034252760438
244.0,4.56671535738392
244.5,4.560561937481376
245.0,4.55440851757883
245.5,4.54841479589217
246.0,4.54242107420551
246.5,4.5365844572015455
247.0,4.530747840197582
247.5,4.525067707921861
248.0,4.519387575646139
248.5,4.513864436911245
249.0,4.508341298176353
249.5,4.502976206124712
250.0,4.497611114073073
250.5,4.492405268084308
251.0,4.487199422095544
251.5,4.482153903287031
252.0,4.477108384478519
252.5,4.472223986915237
253.0,4.467339589351956
253.5,4.462616719563449
254.0,4.457893849774944
254.5,4.453332474685935
255.0,4.448771099596925
255.5,4.444370728366761
256.0,4.439970357136596
256.5,4.435730046324165
257.0,4.431489735511735
257.5,4.427408109846672
258.0,4.423326484181607
258.5,4.41940176732376
259.0,4.4154770504659115
259.5,4.4117071016886475
260.0,4.407937152911384
260.5,4.404319506784023
261.0,4.4007018606566595
261.5,4.397233767655662
262.0,4.393765674654663
262.5,4.3904441412584765
263.0,4.387122607862291
263.5,4.383944435146716
264.0,4.3807662624311385
264.5,4.3777280825295435
265.0,4.3746899026279475
265.5,4.371788212665094
266.0,4.36888652270224
266.5,4.366117715998796
267.0,4.363348909295353
267.5,4.3607093037649225
268.0,4.358069698234493
268.5,4.355555561994737
269.0,4.35304142575498
269.5,4.3506490000316695
270.0,4.34825657430836
270.5,4.345982093760212
271.0,4.343707613212065
271.5,4.341547323824823
272.0,4.339387034437582
272.5,4.337337209158194
273.0,4.3352873838788035
273.5,4.333344336160463
274.0,4.331401288442122
274.5,4.329561383876613
275.0,4.327721479311103
275.5,4.3259811455196555
276.0,4.324240811728209
276.5,4.322596546674616
277.0,4.320952281621023
277.5,4.319400660505066
278.0,4.317849039389108
278.5,4.3163867202659425
279.0,4.314924401142776
279.5,4.313548129404989
280.0,4.3121718576672015
280.5,4.310878469517711
281.0,4.309585081368221
281.5,4.308371506398231
282.0,4.30715793142824
282.5,4.306021194407605
283.0,4.30488445738697
283.5,4.303821679363916
284.0,4.302758901340865
284.5,4.301767300138112
285.0,4.3007756989353565
285.5,4.299852589122696
286.0,4.298929479310037
286.5,4.298072271723827
287.0,4.297215064137616
287.5,4.296421265012529
288.0,4.295627465887443
288.5,4.29489467565685
289.0,4.294161885426256
289.5,4.293487797243506
290.0,4.292813709060756
290.5,4.292196107085809
291.0,4.291578505110862
291.5,4.291015262604553
292.0,4.290452020098242
292.5,4.289941097358256
293.0,4.28943017461827
293.5,4.288969616790409
294.0,4.288509058962546
294.5,4.2880969937541185
295.0,4.287684928545692
295.5,4.287319563865983
296.0,4.286954199186273
296.5,4.286633820735862
297.0,4.286313442285449
297.5,4.286036411112934
298.0,4.285759379940418
298.5,4.285524129982926
299.0,4.285288880025433
299.5,4.285093915647233
300.0,4.284898951269033
300.5,4.2847428448102
301.0,4.284586738351367
301.5,4.284468127697124
302.0,4.284349517042881
302.5,4.284267103222558
303.0,4.284184689402235
303.5,4.284137234224977
304.0,4.284089779047719
304.5,4.2840761027818335
305.0,4.284062426515949
305.5,4.284081405616425
306.0,4.2841003847169015
306.5,4.28415094960567
307.0,4.284201514494437
307.5,4.284282647397094
308.0,4.284363780299753
308.5,4.284474513140615
309.0,4.284585245981478
309.5,4.284724658339645
310.0,4.284864070697811
310.5,4.285031287825354
311.0,4.285198504952896
311.5,4.285392695856344
312.0,4.285586886759792
312.5,4.28580726234496
313.0,4.286027637930127
313.5,4.286273449211009
314.0,4.2865192604918905
314.5,4.286789796863087
315.0,4.287060333234283
315.5,4.287354920806468
316.0,4.287649508378652
316.5,4.287967508376595
317.0,4.288285508374538
317.5,4.28862631559675
318.0,4.288967122818962
318.5,4.289330164157543
319.0,4.289693205496126
319.5,4.290077938516303
320.0,4.290462671536481
320.5,4.290868583113779
321.0,4.291274494691075
321.5,4.291701099705384
322.0,4.292127704719692
322.5,4.292574544804325
323.0,4.293021384888958
323.5,4.293488027233104
324.0,4.29395466957725
324.5,4.294440705781069
325.0,4.294926741984888
325.5,4.295431786964187
326.0,4.295936831943487
326.5,4.296460522883979
327.0,4.296984213824472
327.5,4.2975262091829425
328.0,4.298068204541413
328.5,4.298628183092478
329.0,4.299188161643543
329.5,4.299765821570448
330.0,4.300343481497352
330.5,4.300938539525287
331.0,4.301533597553222
331.5,4.302145788123545
332.0,4.30275797869387
332.5,4.30338705317741
333.0,4.304016127660951
333.5,4.304661853609509
334.0,4.305307579558066
334.5,4.305969739991937
335.0,4.306631900425807
335.5,4.3073102931564895
336.0,4.307988685887171
336.5,4.308683122873454
337.0,4.309377559859735
337.5,4.3100878665959845
338.0,4.310798173332235
338.5,4.311524188267596
339.0,4.312250203202956
339.5,4.312991777189929
