T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K
240.0,0.20000000000000007,14.679114555809996,3.8236839582821975,0.33727492715679586,68.24679370836232,3.8112419865495895
241.0,0.2000000000000001,14.679114555809987,3.7922365545740417,0.3366733922859513,67.68550661012154,3.7964620238717366
242.0,0.2000000000000001,14.679114555809987,3.794542161794005,0.3372103957154329,67.72665810225057,3.7958915005910567
243.0,0.2000000000000001,14.679114555809987,3.8479650799051837,0.3369881361651446,68.68017385078288,3.8438746287550942
244.0,0.2000000000000001,14.679114555809987,3.8422146062287603,0.3372498151781373,68.57753686639766,3.84286817181133
245.0,0.2000000000000001,14.679114555809987,3.844735647901317,0.3367790025661987,68.6225335274278,3.847406871349977
246.0,0.2000000000000001,14.679114555809987,3.8521868036880043,0.337234070594876,68.75552503441715,3.8537657124116844
247.0,0.2000000000000001,14.679114555809987,3.8469192387440825,0.33784142207729845,68.66150721756946,3.842997221237808
248.0,0.2000000000000001,14.679114555809987,3.862787377161809,0.3368802922019115,68.94472873402991,3.8642442319368953
249.0,0.2000000000000001,14.679114555809987,3.8776861524486397,0.3373826012775908,69.21064863081043,3.878533995824274
250.0,0.2000000000000001,14.679114555809987,3.9030841653866295,0.3372840706012963,69.66396354085332,3.9011566503504724
251.0,0.2000000000000001,14.679114555809987,3.9165184803641995,0.3372443411561789,69.90374510567158,3.9147216026117264
252.0,0.2000000000000001,14.679114555809987,3.92101041243528,0.3373237218427389,69.98391908572637,3.922256058480762
253.0,0.2000000000000001,14.679114555809987,3.9404090008115134,0.3375398452326839,70.33015362644426,3.9362334510792296
254.0,0.2000000000000001,14.679114555809987,3.929491995416664,0.3370862274751966,70.1353021106746,3.933799282048044
255.0,0.2000000000000001,14.679114555809987,3.961023654753535,0.33768707266794423,70.6980930404492,3.958048472879737
256.0,0.2000000000000001,14.679114555809987,3.979270511839823,0.33719763814980713,71.02377097434237,3.978881139756714
257.0,0.2000000000000001,14.679114555809987,3.984977453748091,0.33723170694959337,71.12563098457557,3.9910057795231304
258.0,0.2000000000000001,14.679114555809987,4.013728184899476,0.33779055826661886,71.63878668448721,4.007160318966604
259.0,0.2000000000000001,14.679114555809987,4.006205607838654,0.3374493863388292,71.50452041917174,4.007938438093873
260.0,0.2000000000000001,14.679114555809987,4.019347793245797,0.33735668034931154,71.73908792688003,4.0225353066531
261.0,0.2000000000000001,14.679114555809987,4.06228714415022,0.33739135081125277,72.50548835513655,4.055949747630367
262.0,0.2000000000000001,14.679114555809987,4.049205107640087,0.3374854558959215,72.27199441140768,4.053423859344556
263.0,0.2000000000000001,14.679114555809987,4.080582092395899,0.33783675490922005,72.83202464120264,4.076055345799152
264.0,0.2000000000000001,14.679114555809987,4.08488351255504,0.33745359245099027,72.90879828082788,4.086524812748433
265.0,0.2000000000000001,14.679114555809987,4.104061460911621,0.33746143175796606,73.25109474139342,4.107864687246412
266.0,0.2000000000000001,14.679114555809987,4.120424496308296,0.33895992831632066,73.54314939688884,4.115684059528555
267.0,0.2000000000000001,14.679114555809987,4.1067848523517725,0.33770247380363566,73.29970303010947,4.106589630037483
268.0,0.2000000000000001,14.679114555809987,4.114184774268915,0.33717926053095587,73.43178009245227,4.116326792217709
269.0,0.2000000000000001,14.679114555809987,4.1309255144940344,0.3373091183796229,73.73057618991595,4.1302780216886745
270.0,0.2000000000000001,14.679114555809987,4.149010039929424,0.33715314402093594,74.05335675707794,4.147708543708553
271.0,0.2000000000000001,14.679114555809987,4.161629747913788,0.3369455872977323,74.27859885785436,4.160291052660077
272.0,0.2000000000000001,14.679114555809987,4.180517680322708,0.33715950764045066,74.61571898617906,4.179127863659458
273.0,0.2000000000000001,14.679114555809987,4.192026854651945,0.33704425320974307,74.82113979364398,4.193110886793901
274.0,0.2000000000000001,14.679114555809987,4.206971536542879,0.33708250382768185,75.08787905169336,4.2083779139499695
275.0,0.2000000000000001,14.679114555809987,4.22184381791184,0.3378090711737397,75.35332607337038,4.224898337824531
276.0,0.2000000000000001,14.679114555809987,4.240960002796003,0.33835170619669785,75.69452015230432,4.235683679360352
277.0,0.2000000000000001,14.679114555809987,4.242046466129132,0.33814212462840143,75.71391182791784,4.243252068428608
278.0,0.2000000000000001,14.679114555809987,4.253944779283285,0.3385172107219267,75.92627815635096,4.255678852075914
279.0,0.2000000000000001,14.679114555809987,4.263531212574388,0.3383072486798737,76.09738103576129,4.263139688147007
280.0,0.2000000000000001,14.679114555809987,4.275136269596705,0.33795083186099134,76.30451319972063,4.276172573363553
281.0,0.2000000000000001,14.679114555809987,4.287813673899638,0.3380070545609739,76.53078508977725,4.286955027194757
282.0,0.2000000000000001,14.679114555809987,4.297289794124642,0.3376199563405238,76.69991905304605,4.295139206927523
283.0,0.2000000000000001,14.679114555809987,4.304471065267903,0.3376053776770433,76.82809354017027,4.303198266067314
284.0,0.2000000000000001,14.679114555809987,4.307646815743835,0.3375167196392372,76.88477573199492,4.308267579909184
285.0,0.2000000000000001,14.679114555809987,4.318556838267803,0.3376381827927619,77.0795026144126,4.319992879153228
286.0,0.2000000000000001,14.679114555809987,4.330588536646651,0.3384077480183742,77.29424966102557,4.32706076711896
287.0,0.2000000000000001,14.679114555809987,4.329583767660923,0.3380298873258901,77.27631610206993,4.331403701704693
288.0,0.2000000000000001,14.679114555809987,4.336277616798757,0.3388227349939972,77.39579086677561,4.337818445841952
289.0,0.2000000000000001,14.679114555809987,4.33984032330574,0.33934622992772095,77.45937962010309,4.336936971205497
