T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K
277.000294,0.033,2.0037674471219438,4.307809020529262,0.3309135704833763,77.62275795032383,
277.030101,0.033,2.0037674471219438,4.428207893330562,0.3402121820652956,79.79223494347961,
277.060036,0.033,2.0037674471219438,4.270043596138617,0.3281339952959031,76.9422597243356,
277.090089,0.033,2.0037674471219438,4.391222413700135,0.3375025330320395,79.12579060498929,
277.1195815,0.033,2.0037674471219438,4.431875889651314,0.3406641579817893,79.85832886482375,
277.14905450000003,0.033,2.0037674471219438,4.395915467673228,0.337947332886624,79.21035512279059,
277.17854650000004,0.033,2.0037674471219438,4.425123884583244,0.3402237562095473,79.73666394129059,
277.208078,0.033,2.0037674471219438,4.383320941804877,0.3370475427786745,78.98341334605,
277.237748,0.033,2.0037674471219438,4.382382684641304,0.3370475427788457,78.96650681459606,
277.2675845,0.033,2.0037674471219438,4.333732962848567,0.3333068400562403,78.08988355644513,
277.29732249999995,0.033,2.0037674471219438,4.412353214486371,0.3393003066992328,79.50654820749902,
277.32688399999995,0.033,2.0037674471219438,4.386698191898423,0.3372748844486756,79.04426828769195,
277.356957,0.033,2.0037674471219438,4.266060622816217,0.327918806351404,76.87049020701161,
277.386774,0.033,2.0037674471219438,4.465967198242993,0.3432010935980481,80.47262290209667,
277.4163155,0.033,2.0037674471219438,4.346157700471841,0.3339523903786559,78.31376590511277,
277.445975,0.033,2.0037674471219438,4.431006133198256,0.340443814659435,79.84265665319371,
277.475546,0.033,2.0037674471219438,4.372628949911001,0.3359379844641938,78.7907534823397,
277.505619,0.033,2.0037674471219438,4.284814023474612,0.3291925170092191,77.20840924499934,4.3770569094272656
277.535544,0.033,2.0037674471219438,4.416635661003675,0.3393118188752779,79.5837139564595,4.38087529347532
277.5651735,0.033,2.0037674471219438,4.370488656209605,0.3357237109935162,78.75218735762657,4.3768364480336945
277.595099,0.033,2.0037674471219438,4.330805997788337,0.3326305866507937,78.03714233711148,4.380713567617155
277.625054,0.033,2.0037674471219438,4.362850859522115,0.3350600744180345,78.61456128350827,4.379070385429686
277.6545955,0.033,2.0037674471219438,4.454082861490771,0.342039018438855,80.25847808028085,4.37849885555233
277.684216,0.033,2.0037674471219438,4.340224635727285,0.3332957317639208,78.2068575332756,4.379392466230594
277.71395399999994,0.033,2.0037674471219438,4.418999979220676,0.3393118188748539,79.62631679697569,4.376594109255319
277.743584,0.033,2.0037674471219438,4.372948628755694,0.3357124410133782,78.79651380120833,4.3763548925241835
277.77335200000005,0.033,2.0037674471219438,4.379232024547255,0.3361638311913161,78.90973481641818,4.376992729081742
277.803326,0.033,2.0037674471219438,4.314249508795256,0.331132709425054,77.73880962749213,4.378027123723168
277.8330445,0.033,2.0037674471219438,4.457487542651462,0.3420390184382552,80.31982730453264,4.375978621646891
277.8627045,0.033,2.0037674471219438,4.332918348600194,0.3324205105029885,78.0752049566458,4.37689909813109
277.8923345,0.033,2.0037674471219438,4.46773921598215,0.3427423649945843,80.50455303256318,4.378226741582414
277.921846,0.033,2.0037674471219438,4.3674537132241324,0.3350600744165514,78.69750047535494,4.377235850744064
277.9518595,0.033,2.0037674471219438,4.318900175527348,0.3313411604390977,77.82261036618145,4.377595536833288
277.981765,0.033,2.0037674471219438,4.399596322080253,0.3375025330305228,79.27668073502765,4.376470964307207
278.01126750000003,0.033,2.0037674471219438,4.437634078163072,0.3404322255373127,79.9620861277271,4.376885766399001
278.0411435,0.033,2.0037674471219438,4.290887148315339,0.3292033534525125,77.31784137099827,4.379621174969999
278.0711375,0.033,2.0037674471219438,4.401865661976252,0.3377190840302427,79.31757215352246,4.377380551489461
278.1009745,0.033,2.0037674471219438,4.335354219326194,0.3326416506450813,78.11909710758879,4.37888771765483
278.130772,0.033,2.0037674471219438,4.412443873821188,0.338622468257452,79.50818180536024,4.379196749504153
278.1602545,0.033,2.0037674471219438,4.426298230734246,0.339761403947375,79.75782457923779,4.38068944355666
278.190012,0.033,2.0037674471219438,4.329979747423893,0.3324315605268372,78.02225406519878,4.375296175256464
278.219937,0.033,2.0037674471219438,4.375187572946249,0.3359379844637257,78.83685751703685,4.377611598137747
278.2496065,0.033,2.0037674471219438,4.404069127598297,0.3381758904948052,79.35727657816541,4.377781048047814
278.2792955,0.033,2.0037674471219438,4.368902380657075,0.3354984550925256,78.72360413059172,4.376736784070154
278.3091915,0.033,2.0037674471219438,4.3427041438929255,0.333506915995032,78.25153599076063,4.377804912584431
278.33892000000003,0.033,2.0037674471219438,4.4179943923612,0.3393118188750342,79.6081970463045,4.378081061187761
278.3687565,0.033,2.0037674471219438,4.311200500161209,0.3311217455851556,77.68386929516514,4.378806371803361
278.398544,0.033,2.0037674471219438,4.432276909739136,0.3404438146592085,79.86555487810841,4.378634449740088
278.4281645,0.033,2.0037674471219438,4.358387027505437,0.3348244974990921,78.53412713461489,4.378192070968916
278.457913,0.033,2.0037674471219438,4.392770667311487,0.3375025330317585,79.15368871160148,4.377427444888282
278.4875625,0.033,2.0037674471219438,4.386732221032011,0.3370589025825818,79.04488146139283,4.3805795004012005
278.517261,0.033,2.0037674471219438,4.377817914888548,0.3363899818095791,78.8842538605007,4.379059844575863
278.547117,0.033,2.0037674471219438,4.340454462665375,0.3335180383690853,78.21099880339709,4.375198476885651
278.576826,0.033,2.0037674471219438,4.4217323058321885,0.3397498612434692,79.67555081041407,4.3788004506060725
278.606535,0.033,2.0037674471219438,4.341313080665297,0.3335180383689258,78.2264703103423,4.378204121998097
