T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
277.5,0.052000000000000005,3.220733995367594,4.2022917233545085,0.24051988502412752,75.63984913586225
278.5,0.052000000000000005,3.220733995367594,4.1994298322333,0.17793972911928355,75.58833605040738
279.5,0.052000000000000005,3.220733995367594,4.198248483597646,0.21472113936871876,75.56707216906351
280.5,0.052000000000000005,3.220733995367594,4.197027947881727,0.22727789896943273,75.54510293334769
281.5,0.052000000000000005,3.220733995367594,4.195738219211998,0.1926777976484181,75.52188824754604
282.5,0.052000000000000005,3.220733995367594,4.19547778928108,0.1550558402874445,75.51720059566894
283.5,0.052000000000000005,3.220733995367594,4.196222297332772,0.13767350849427248,75.53060149223153
284.5,0.052000000000000005,3.220733995367594,4.197828965014425,0.12352147059669527,75.55952097451693
285.5,0.052000000000000005,3.220733995367594,4.199472571568202,0.11465660996734701,75.58910534417777
286.5,0.052000000000000005,3.220733995367594,4.200982990202549,0.11642898684183735,75.61629237572036
287.5,0.052000000000000005,3.220733995367594,4.202695784342877,0.1188191216669791,75.64712209885815
288.5,0.052000000000000005,3.220733995367594,4.204438457537873,0.14095377557195393,75.67848963501228
302.5,0.052000000000000005,3.220733995367594,4.230191432485988,0.1061931895691021,76.14203459288592
303.5,0.052000000000000005,3.220733995367594,4.231282447190774,0.11938529018382374,76.16167249360957
304.5,0.052000000000000005,3.220733995367594,4.23264042359613,0.12004795053802089,76.18611561588503
305.5,0.052000000000000005,3.220733995367594,4.233743384237699,0.12548406183652855,76.20596853948561
306.5,0.052000000000000005,3.220733995367594,4.234749655359519,0.14194034282216766,76.22408108398633
307.5,0.052000000000000005,3.220733995367594,4.235921155392256,0.1707661569253154,76.24516769376318
308.5,0.052000000000000005,3.220733995367594,4.2369257340577375,0.2025110142197607,76.26324977461441
309.5,0.052000000000000005,3.220733995367594,4.236765076851205,0.21461085332465513,76.26035799849205
310.5,0.052000000000000005,3.220733995367594,4.235617274707408,0.2315183894954504,76.23969794281052
