index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6089,102887.2,107.243781,107.651633,-0.124097,0.37111,
6090,102904.1,107.243521,107.649832,-0.132329,0.363194,
6091,102921.0,107.242392,107.64881,-0.134546,0.363771,
6092,102937.9,107.24169,107.647925,-0.135814,0.357868,
6093,102954.8,107.241019,107.646719,-0.140564,0.340434,
6094,102971.7,107.240134,107.645056,-0.130751,0.355829,
6095,102988.6,107.239218,107.643927,-0.125687,0.370495,
6096,103005.5,107.238303,107.642371,-0.124738,0.368977,
6097,103022.4,107.237799,107.641409,-0.126322,0.37328300000000003,
6098,103039.3,107.236838,107.640051,-0.129806,0.37104400000000004,
6099,103056.2,107.236624,107.638632,-0.127275,0.37079700000000004,
6100,103073.1,107.235831,107.637701,-0.126959,0.358429,
6101,103090.0,107.23551,107.636282,-0.133609,0.358287,
6102,103106.9,107.234396,107.634863,-0.133294,0.36108700000000005,
6103,103123.8,107.233893,107.633826,-0.131079,0.360834,
6104,103140.7,107.233542,107.632284,-0.133613,0.352734,
6105,103157.6,107.232886,107.630774,-0.134565,0.355195,
6106,103174.5,107.232245,107.630057,-0.138998,0.352317,
6107,103191.4,107.231879,107.62876,-0.142166,0.353803,
6108,103208.3,107.231268,107.627692,-0.143117,0.355647,
6109,103225.2,107.231436,107.626563,-0.148818,0.35366699999999995,
6110,103242.1,107.230841,107.625128,-0.142803,0.355665,
6111,103259.0,107.230719,107.623953,-0.138688,0.357004,
6112,103275.9,107.23046,107.622809,-0.13489,0.36669100000000004,
6113,103292.8,107.230017,107.621603,-0.132358,0.371088,
6114,103309.7,107.230002,107.620215,-0.135526,0.36266699999999996,
6115,103326.6,107.229636,107.618872,-0.141543,0.358205,
6116,103343.5,107.229163,107.618079,-0.145977,0.34541900000000003,
6117,103360.4,107.228842,107.616339,-0.146613,0.33612200000000003,
6118,103377.3,107.228964,107.615729,-0.146613,0.340464,
6119,103394.2,107.228537,107.614554,-0.144398,0.350735,
6120,103411.1,107.228888,107.613119,-0.13775,0.358942,
6121,103428.0,107.228384,107.61199,-0.139651,0.35828400000000005,
6122,103444.9,107.228217,107.611121,-0.140285,0.36633099999999996,
6123,103461.8,107.228156,107.609793,-0.145353,0.352288,
