T(K),X,m,cp(J/gK),cpm(J/molK)
273.4916065,0.04899999999999999,3.0253485309555814,4.3513456689476975,78.336109047157
273.519852,0.04899999999999999,3.0253485309555814,4.333058734160434,78.00689426473781
273.54828399999997,0.04899999999999999,3.0253485309555814,4.293435493407272,77.2935676884118
273.576647,0.04899999999999999,3.0253485309555814,4.352322701195504,78.35369829667421
273.6052065,0.04899999999999999,3.0253485309555814,4.232744116670098,76.20095711043969
273.6336485,0.04899999999999999,3.0253485309555814,4.385574262514902,78.9523172370386
273.66211,0.04899999999999999,3.0253485309555814,4.222951112443154,76.02465628182576
273.6905915,0.04899999999999999,3.0253485309555814,4.374789356149348,78.7581594602514
273.71892549999995,0.04899999999999999,3.0253485309555814,4.261930727533885,76.72639583797142
273.7476325,0.04899999999999999,3.0253485309555814,4.257419832496396,76.64518740443356
273.7760055,0.04899999999999999,3.0253485309555814,4.360872768783189,78.50762287032717
273.80427050000003,0.04899999999999999,3.0253485309555814,4.287870442404668,77.1933815677586
273.832752,0.04899999999999999,3.0253485309555814,4.293368342395768,77.2923587867616
273.861086,0.04899999999999999,3.0253485309555814,4.33212660683277,77.99011342645443
273.889567,0.04899999999999999,3.0253485309555814,4.248301369103772,76.48103015354803
273.9179695,0.04899999999999999,3.0253485309555814,4.3542431196380855,78.38827107483978
273.9458805,0.04899999999999999,3.0253485309555814,4.396678848807119,79.15223012580734
273.9741845,0.04899999999999999,3.0253485309555814,4.234309926622784,76.22914596706768
274.002892,0.04899999999999999,3.0253485309555814,4.272028559926026,76.90818440628848
274.03144199999997,0.04899999999999999,3.0253485309555814,4.2809441873178535,77.06869005505229
274.059805,0.04899999999999999,3.0253485309555814,4.328392983236373,77.92289800220634
274.08807,0.04899999999999999,3.0253485309555814,4.3093808075762405,77.58062690286248
274.1163845,0.04899999999999999,3.0253485309555814,4.311497408511825,77.61873150183344
274.1447675,0.04899999999999999,3.0253485309555814,4.287670197601999,77.18977661428181
274.1732485,0.04899999999999999,3.0253485309555814,4.2813895955838746,77.07670862060696
274.201828,0.04899999999999999,3.0253485309555814,4.258121624275679,76.65782157361544
