T(K),X,m(mol/kg),cp(J/gK),cpm(J/molK)
181.8958075,0.31694583792748726,27.245185060044292,4.0627972026923755,72.02910710775868
181.924124,0.31689555165735495,27.238857052042516,3.557225552495331,63.06603803706663
181.95286,0.3168445183019418,27.232435983527942,3.707573940174132,65.73175735438694
181.981585,0.3167935023429531,27.226018062625528,3.5910761180011166,63.66654903759173
182.0101495,0.3167427692989422,27.2196366834964,3.9041102407360544,69.21656481323403
182.038313,0.3166927463674986,27.213345552586855,4.01858238700344,71.24626432499188
182.066668,0.31664238118223204,27.207012308663156,3.7830314520994244,67.0703285870821
182.0952135,0.31659167546226785,27.200637186677206,3.8632655533916496,68.49301957379302
182.1237855,0.3165409204838489,27.19425681884826,3.756531365424929,66.60089124696711
182.152121,0.31649058344714953,27.187929926034172,4.05891731036297,71.96220883425181
182.180323,0.31644048140481207,27.181633495109075,3.8439403788923343,68.15099148018051
182.208781,0.3163899223655214,27.175280568000083,3.80578405177276,67.47469697365213
182.23707050000002,0.3163396604801934,27.168965910740926,3.999415168278538,70.90788772817156
182.26561550000002,0.3162889424047381,27.16259488108835,3.6045898655514064,63.907994004671295
182.294123,0.31623828869466564,27.15623288013784,4.0685547251850895,72.13412336438245
182.322451,0.3161879516752274,27.149911588590154,3.7894852720527945,67.18650960026446
182.35085149999998,0.3161374835575271,27.143574768024653,4.008367254332503,71.06743237806904
182.379176,0.3160871482147934,27.137255550340033,3.8367627728326856,68.02512160156188
182.40743500000002,0.31603692699072683,27.130951586330106,4.019385993796523,71.2632050890673
182.43571300000002,0.31598666970573763,27.1246440225016,3.7501345217501467,66.48960313887191
182.46441099999998,0.3159356636117107,27.11824342668098,3.5716812979366597,63.32582704559437
182.49312049999997,0.3158846346841421,27.11184092061923,3.6780860276201826,65.21257222947644
182.5215705,0.31583406462140545,27.105496929713166,3.7503948292517393,66.49480317740382
182.549887,0.3157837294927845,27.09918334242018,3.7555784965854215,66.58690317637026
182.5779175,0.31573390041943766,27.092934145067716,3.977324773574285,70.51869648583128
182.606337,0.3156833774451115,27.086598852916868,3.405143871680753,60.374000117045036
182.634909,0.31563258092687274,27.08023020293114,3.838575809920524,68.05904935630325
182.66290099999998,0.3155828131750933,27.07399145210009,3.905809018884864,69.25131204310603
182.6913625,0.31553220825493694,27.06764868636537,3.4099748982271456,60.46018207235135
182.7200685,0.3154811661131617,27.061252069749166,3.669766425714867,65.06657835902652
182.74829749999998,0.3154309696652913,27.054962366048937,3.812113268054651,67.59064622377598
182.77646099999998,0.315380887244225,27.04868786929392,3.7117346624524257,65.81107404153268
182.804377,0.31533124252307404,27.04246911501933,4.035059226940092,71.54399908319374
182.832438,0.31528133749516696,27.03621866224732,3.605248352474551,63.92338058299013
182.8607275,0.31523102359751226,27.029917922060317,3.8663186120579676,68.55252358422173
182.88933,0.31518015045783276,27.023548090091275,3.3913707172984533,60.13154269073109
182.9178945,0.3151293423226238,27.017187341846697,3.9753318627925083,70.48581752418812
182.94621899999999,0.31507895851619383,27.01088064787606,3.6796956693948313,65.24414049727565
182.974314,0.31502898041091537,27.00462565336562,4.2685504881595575,75.68525631157249
183.00239399999998,0.3149790264529901,26.998374593058504,3.7536395807051206,66.55561235501837
183.03105399999998,0.31492803805408504,26.991995026632658,3.781067961838029,67.0421407244324
183.0593895,0.31487762434197286,26.985688297439104,4.077089546972938,72.29111140570971
183.0872675,0.31482802204087035,26.97948398113079,4.217388396186489,74.77897219710245
183.1155345,0.3147777250003453,26.9731936831718,3.7302044328131325,66.14085208076159
183.144385,0.31472638698589883,26.966774150150332,3.6751228541810215,65.1643845769332
183.1727625,0.31467588795656704,26.96046046588208,4.125868933409516,73.15687202079164
183.200785,0.31462601802961,26.954226348758677,3.951537696818855,70.06596016924738
183.2289375,0.31457591409848085,26.947963892904163,3.9671444176647332,70.34289095749259
183.257109,0.31452577367897566,26.941697792886625,3.9023045680680704,69.19339176009447
183.2851505,0.31447586196781896,26.935461185152338,4.06271428133617,72.0378905650064
183.31350550000002,0.3144253895292544,26.929155436406315,3.607390425764185,63.96451597638292
183.3421045,0.3143744799800172,26.92279601795085,3.821196147383966,67.75581521092995
183.37024150000002,0.3143243901003483,26.916539911013484,3.99594265388564,70.85455001972934
183.398539,0.3142740117374767,26.910248695093955,3.6576967317742892,64.85708901900274
183.4268555,0.3142235967655226,26.903953832792702,3.9609592843858796,70.2346460303489
183.4551565,0.314173206594421,26.897662991934958,3.6614857554441627,64.9246518974837
183.4836905,0.314122398721615,26.89132093998139,3.753904401837105,66.56359368728316
183.511931,0.31407211063260915,26.885044694788725,3.931663363832209,69.71578736093514
183.5401445,0.31402186780306357,26.87877501720267,3.784743989581713,67.11082478454242
183.56845700000002,0.3139714458267279,26.872483907599968,3.85675026114956,68.38783383266109
183.596411,0.3139216594949656,26.86627301415451,4.125632532009054,73.15585982898041
183.624777,0.31387113651850856,26.8599711450078,3.4955721995191653,61.98378851345882
183.6532345,0.3138204476528174,26.8536495166239,4.033803600291666,71.5279631806337
183.68160849999998,0.3137699045951347,26.847347002466666,3.5576752837776944,63.08537377534126
183.710116,0.3137191207782941,26.84101540159546,3.8972637293976216,69.10722281735794
183.73832950000002,0.3136688577703631,26.834749656518827,3.811345364957329,67.5838933497383
183.7665695,0.31361854462113314,26.828478579911025,3.8822490619812613,68.84137807790526
183.79479800000001,0.3135682490165742,26.822210608903994,3.840271584007528,68.09721633367343
183.8231835,0.31351767069848496,26.81590833160354,3.778688976937033,67.00540444679925
