T(K),wt,cp(J/gK),cp_TRF,dev,cp(cal),TRF_1,TRF_2
275.55,1.39,4.2120328,,,1.0067,,
275.55,2.88,4.1998992,,,1.0038,,
275.55,3.78,4.1952968,,,1.0027,,
275.55,15.8,4.0886048,,,0.9772,,
275.55,23.7,4.0476016,,,0.9674,,
275.55,30.12,4.0413256,,,0.9659,,
275.55,40.1,4.1626616,,,0.9949,,
