T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK)
257.3025625,0.741118826521517,0.10962520796282114,7.229319609145229,2.9454042570565493,52.842864403494204
257.3322355,0.7407518562580684,0.10946987799766018,7.217817072487418,2.934059776668382,52.63980120303502
257.3616255,0.7403836368191811,0.10931594337006033,7.206421821794241,3.370871169865875,60.47714001227214
257.3911035,0.740021221452719,0.1091614618099777,7.194990042725513,2.7955505195076142,50.15569541018222
257.4208355,0.7396483068284262,0.10900556192376679,7.183457325072586,3.0160428073216674,54.1120850644046
257.450607,0.7392770480870755,0.10884936719248527,7.171906842784184,2.817777673019535,50.555377108587955
257.480192,0.7389005765251592,0.10869406400508613,7.160426303169186,3.399036906275273,60.984624204615905
257.5098455,0.7385314766104394,0.10853831432899519,7.148916774950768,2.7879792053805006,50.02163169967608
257.53994,0.7381506860636302,0.10838015946567332,7.137233623783742,2.7906586993822464,50.07015787899469
257.5695455,0.7377678171840113,0.10822448707389697,7.125737903651787,3.676153493722517,65.95834083899828
257.599082,0.7373968576858043,0.10806909120030939,7.114266605275287,3.004895942424982,53.914969842814806
257.629058,0.7370131194769948,0.10791129496082044,7.102622201796023,3.055346386223215,54.82066325692426
257.65938700000004,0.7366282985700819,0.10775155022424217,7.090838206355108,2.5347537225377215,45.4803242637706
257.688816,0.7362327601699339,0.1075964590815274,7.0794015318751615,4.635965434659674,83.18246920008922
257.71844999999996,0.7358685274760515,0.10744020127413939,7.067882845065359,2.299940482100607,41.26787255466114
257.748681,0.7354649330721481,0.10728070632338783,7.056129687815109,3.6785971835062417,66.00573352368578
257.7783545,0.7350825941694651,0.10712406508919269,7.044590907404788,3.1898824513009014,57.237147394282474
257.8080185,0.7346907303670392,0.10696738731393624,7.033053484549279,3.7219125951441177,66.78414134430305
257.8373495,0.7343059715796486,0.10681238317383111,7.021643287707532,3.7364303251660305,67.0452320313618
257.8671595,0.7339201475572188,0.10665476092793104,7.010044426765344,2.943807190493146,52.82314682747849
257.8973515,0.7335200531779958,0.10649502972041812,6.998294549615134,3.1108080296612752,55.82028757835588
257.92708400000004,0.7331213682979612,0.10633764189569961,6.986721160742883,3.676997584781218,65.98057487521378
257.956513,0.732730656972599,0.10618177505915996,6.975263633434288,3.576345544013134,64.17502972761775
257.986333,0.7323372758713886,0.10602375053261126,6.963651576345799,2.998997188058872,53.815399871406676
258.01608450000003,0.7319333428366197,0.10586600195693344,6.952063890614214,3.63744731466019,65.27263208986662
258.04558199999997,0.7315390156056618,0.1057095143330629,6.940572869348319,3.3624206144759454,60.33791843013858
258.07527500000003,0.7311390827387032,0.10555190329770432,6.929003419217869,3.2912270259937326,59.06089476104741
258.104567,0.7307366786417645,0.10539633600616072,6.917587987914742,4.029221626596365,72.3048092829373
258.134123,0.7303448192188718,0.10523928132427915,6.906067439422684,2.8803505150032658,51.688657611894094
258.1642075,0.7299323842064195,0.1050793303238004,6.894338591280778,3.1606081405104822,56.71847195419414
258.1938905,0.7295232643211818,0.10492142703014569,6.882764008636097,3.530200636722595,63.35153778370853
258.2234755,0.7291188924468989,0.1047639591426438,6.871225408227731,3.3211516061301984,59.600563697568575
258.25333550000005,0.728709556347214,0.10460494060019732,6.859577300787302,3.0866623550767267,55.392979244539205
258.28285300000005,0.7282946843931816,0.10444766019986441,6.848060581260039,3.900186042696296,69.99303272140212
258.31236950000005,0.727891919916748,0.10429029981992405,6.836542052893527,3.0978507970196048,55.59476202782943
258.34242400000005,0.7274741158134925,0.1041299835885306,6.824811322130932,3.0303418000551,54.38372602829375
258.3723125,0.7270534095200007,0.1039704651655484,6.8131431353673575,3.391581599652049,60.86723277553471
258.4016435,0.7266372250603799,0.10381383721437913,6.801690417586227,3.9767939690655902,71.37041987493765
258.430916,0.7262291871941539,0.10365743775497817,6.7902584010113225,3.513134677857011,63.04981642986779
258.460599,0.7258116884554937,0.10349875947649143,6.778663890537266,3.3298813270580667,59.76152991337255
258.49039,0.7253890802361108,0.10333941724152268,6.7670249946854435,3.389326971023842,60.828955395058856
258.5202395,0.7249654775352498,0.10317967510081759,6.7553610398222075,3.2787901168586155,58.84566268456618
258.5499225,0.7245381170512897,0.1030207376500759,6.7437599644285235,3.6827834668415056,66.09687931392477
258.57910749999996,0.7241161986291016,0.10286438280088249,6.732351407743577,4.111799510170096,73.79731600011394
258.60857599999997,0.7237000779666748,0.10270642470932427,6.720829906477151,3.1815477256403106,57.10195590395246
258.63811250000003,0.7232669342445364,0.1025480170062609,6.709279683508401,3.9274392032602803,70.48974337238208
258.667639,0.722845821482423,0.10238957777751745,6.697731239776821,3.118255420507614,55.96700436397283
258.697224,0.7224098147994494,0.10223073925465856,6.686157783564151,3.7492703406328,67.29318118999413
258.7268975,0.7219839207442341,0.10207133974554514,6.674547568468373,2.902356129915928,52.092949170693586
258.7569135,0.7215421256360255,0.10191001295070963,6.662801171640027,3.101332073618369,55.664780828769835
258.7865675,0.7211030111953199,0.10175054543643418,6.65119429792816,3.4271173880486563,61.51275181827166
258.816153,0.7206686269628334,0.10159136075947486,6.639612120068687,3.1684984402468155,56.871359326893995
258.8454845,0.7202283072480911,0.10143345840331619,6.62812729727733,3.8407227097528356,68.93772835164624
258.87496250000004,0.7197982864687582,0.10127468279786545,6.616583029045021,2.9083360184849467,52.20264667715461
258.9044205,0.7193503652293709,0.10111593021281189,6.605044511969436,3.8285523655075306,68.72052312781061
258.934113,0.7189177762545408,0.10095582819498368,6.5934120419268565,2.4599064527261785,44.154443463285865
258.96403050000004,0.7184594897939146,0.10079442597512635,6.581689296490337,3.384860954338211,60.75760510203034
258.993372,0.7180168787404855,0.100636046401515,6.570190177896129,3.3895890517044247,60.84302208798449
259.02285,0.7175726227578587,0.10047684544469054,6.558635503799427,3.1686625282610135,56.877913051782386
259.05255250000005,0.7171225869421073,0.10031634628673418,6.546990746739017,3.011410687143062,54.05571549251606
259.082285,0.7166681678406278,0.10015559881447916,6.5353321372741515,3.0685661748589936,55.082177475745745
259.111763,0.7162138355912003,0.0999961421362915,6.5237712604559315,3.349246222825106,60.12105943498066
259.1410355,0.7157638349913465,0.09983771317648606,6.51228895127028,3.3223190065453165,59.63823692774621
259.17044450000003,0.7153124598433548,0.09967846125094576,6.500751069368049,3.0469632297242333,54.69588016532276
259.200147,0.7148548803767764,0.09951753433287942,6.489095979017598,2.784527567038513,49.98536896135223
259.2297135,0.714390989646518,0.09935725874699579,6.477492201044442,3.2531464980130473,58.39813310392506
259.25924050000003,0.713934198045492,0.09919711213334713,6.4659018847483285,2.8487020660470757,51.13830532985597
259.288679,0.7134680456727346,0.09903736079851654,6.45434428115681,3.419235709686118,61.380764159828345
259.318362,0.713010592212876,0.09887619699473735,6.442688641396854,2.466799572998122,44.28341438171473
259.34818199999995,0.7125331951275278,0.09871420272454726,6.430977141587965,3.2146110962803314,57.7084856820734
259.37753250000003,0.7120679095175944,0.09855467416967627,6.419448016171812,3.2894284191981726,59.052137509738145
259.4072355,0.7116018080421468,0.09839314401262214,6.407778391994883,2.6753797420730905,48.02911777271819
259.43689900000004,0.7111217340025169,0.09823174264639654,6.396122247882044,3.4127183134078742,61.266575728779834
259.4662985,0.7106533278846974,0.0980716928913455,6.384567834440301,3.1606528419080973,56.74190569101905
259.4956205,0.7101780786897917,0.09791198090491314,6.3730418924364525,3.58495579344357,64.35982780399989
259.52514699999995,0.7097086126902299,0.0977510701132442,6.361433562799239,2.8554744381899253,51.2640983158731
259.554869,0.7092231088261105,0.09758900781058254,6.349746345903061,3.281699112392747,58.91661835671772
259.584611,0.7087436683913998,0.09742674996828798,6.338049232168177,2.832062742450704,50.8447285812331
259.614177,0.7082537522602859,0.09726536652158226,6.3264193242777,3.566638436564179,64.03333732621718
259.643841,0.7077763718346318,0.09710336217887529,6.314748853723858,2.6248933376857893,47.12623196401158
259.6735145,0.7072794383031147,0.0969412197712717,6.303072629854846,3.4975080140497323,62.79336863428692
259.70262049999997,0.7067980349404935,0.0967820945390376,6.291617755140565,3.546011953075824,63.66477257029118
259.73218599999996,0.7063160886405956,0.09662037221436276,6.279980059484718,2.679967871291758,48.116339612656326
259.7618495,0.7058156764942327,0.09645802774690425,6.268301783894048,3.348287852656018,60.11596097434386
259.79112250000003,0.7053266962864144,0.0962977358693845,6.256775278312328,3.3064328414805133,59.365027640718296
259.82062,0.7048354941407134,0.09613612967580382,6.245158399603537,2.9205067020139714,52.43643647569363
259.85021500000005,0.7043351545832383,0.09597390352230928,6.233501133037261,3.12921949172245,56.1843031802391
259.879703,0.7038368119803121,0.09581217838754304,6.221884032387505,3.1422586306588958,56.41893671024918
259.9090245,0.7033361821576709,0.09565128174376458,6.210330567324145,3.482691341520479,62.53194425864856
259.93827699999997,0.702839617299258,0.09549067955526963,6.198802345186437,3.317465646789824,59.565850821685615
259.968068,0.702337442403963,0.09532703444275158,6.187059908389604,2.608101887899618,46.829499170292955
259.99796649999996,0.701818470850539,0.09516271106590174,6.175273076216289,3.1885109486944656,57.25150839230451
260.027336,0.7013085813699205,0.09500120945497799,6.1636928185960755,3.5867071733195646,64.40193757395373
260.0569315,0.7008038015052025,0.09483837917504968,6.152021474039614,2.8715835619243033,51.561850464019656
260.0866245,0.7002820220311585,0.09467492575390885,6.140309686492412,3.4887828264096927,62.644797807986706
260.11599450000006,0.6997698151345009,0.09451316488585439,6.128723336841109,3.5076970722514145,62.98500294075265
260.14551200000005,0.6992551978003448,0.09435050591668438,6.117076832915347,3.30287719662731,59.30775982745932
260.1750585,0.6987337308583054,0.09418760102827396,6.105416913261381,3.5241439219920925,63.28149864482318
260.204839,0.6982139775062766,0.09402331874179591,6.093662652824535,2.956999441357955,53.0980316275111
260.234669,0.6976800208625462,0.09385867553314238,6.08188684482843,3.491486705333748,62.69626087851675
260.26401999999996,0.6971542971143998,0.09369659022513402,6.070298165358054,3.8574529089932623,69.2685165129242
260.2930615,0.6966331585683558,0.09353613016667804,6.0588297692495585,4.123282100091783,74.04270351175205
260.3226075,0.6961143536057424,0.09337279693569055,6.047160191014757,3.040813427786007,54.60507773667053
260.35272199999997,0.6955708688251536,0.09320623195453027,6.035264045208315,3.188482458572992,57.25737102821336
260.382738,0.6950272614604492,0.09304012227930604,6.02340476915825,3.320476140631129,59.628219327801744
260.412098,0.694482870502944,0.09287755641529334,6.0118027061315304,4.521567643964131,81.19784925206199
260.441527,0.6939587489173147,0.09271452256595022,6.000171419394254,3.328963760869641,59.781745272870204
260.471289,0.6934074227125506,0.09254955635547468,5.988406526642628,3.9873104636897887,71.60504980527763
260.5006005,0.6928667754775174,0.09238700104785987,5.976817755651318,4.172893566725159,74.9384874985877
260.5303715,0.6923275746284399,0.09222180986107172,5.965045321424261,3.1553228889829885,56.66507988970613
260.5598105,0.6917654674039263,0.09205837397348464,5.953402195215198,4.766889276134627,85.60730010928094
260.58934750000003,0.6912341888588439,0.09189430711796255,5.941718334262587,2.9213725198814076,52.46464394978977
260.61918749999995,0.6906638052646197,0.09172846873675844,5.929912605509874,4.103690666828002,73.69847553838449
260.648557,0.6901167562030252,0.09156515828133355,5.918291047444535,3.671655400295474,65.94013583613973
260.67830849999996,0.6895593813793977,0.09139963569252187,5.90651633168748,3.3385057907138296,59.95758711252598
260.70793349999997,0.6889933485434171,0.09123472878849995,5.894789679052159,3.8476692545470956,69.1025097624536
260.7373135,0.6884361350778645,0.09107109875836951,5.883158031707054,3.752882770105339,67.40081212914184
