cp(J/gK),T(K),X
4.6282315477801035,175.1602385,0.3288815061356886
4.446215961605703,175.209246,0.3287946052910291
5.0468041733047455,175.2577805,0.3287085476558096
4.360084486724305,175.30625750000002,0.3286225963401836
4.566407219809135,175.3550095,0.32853616175579164
4.612719806989556,175.403437,0.3284503066926949
4.423462660491935,175.4518685,0.32836444864241643
4.30901241099076,175.500441,0.3282783446703173
4.3317371888279395,175.548983,0.3281922987233123
4.037252845417691,175.59765099999998,0.3281060333164599
4.396614411341621,175.646166,0.3280200428989368
4.104541940507118,175.6945285,0.3279343264665355
3.6328562951891303,175.74334549999998,0.3278478081397376
3.9480796919467105,175.7922195,0.3277611923811364
4.015048496293839,175.8408035,0.32767509404435785
3.995810988756288,175.88928099999998,0.3275891878144183
3.7939177230396193,175.93788,0.32750306957546366
3.5480703875645423,175.9867955,0.32741639374586473
3.989484851108666,176.0354825,0.3273301259644912
3.828766890894823,176.0838645,0.327244401647291
3.4764374162303056,176.1325095,0.3271582143134649
3.673713813562283,176.181223,0.3270719085191154
3.8840122961544306,176.2296355,0.326986138806188
3.8309966825245354,176.27785699999998,0.32690071017127004
3.45667063048945,176.3263915,0.3268147296638126
3.1598532926642577,176.375342,0.3267280147935604
3.864404838422131,176.42389550000001,0.3266420056946346
3.5990255484254354,176.472136,0.3265565534325996
3.1760692871474974,176.5209335,0.3264701168440902
3.7733833484535237,176.569552,0.32638399957610953
3.439810902025832,176.617907,0.3262983511918234
3.1690457403774857,176.6666395,0.3262120362526412
3.341910870584647,176.7154295,0.3261256214893459
3.684517185116325,176.76386100000002,0.3260398436048349
2.8824656619295106,176.812563,0.3259535884807603
3.607250642855096,176.8613035,0.3258672669449453
3.2377495301884336,176.9098115,0.32578135885989007
3.845358033389146,176.9580905,0.3256958579245525
3.2427683880502514,177.0063385,0.3256104133950207
3.201103832554056,177.055006,0.32552422740017467
3.38002524388878,177.1035405,0.32543827830430166
3.3624841512475423,177.152037,0.3253523977872408
3.255661397228251,177.20052199999998,0.3252665388407912
3.1721807887135083,177.2491595,0.3251804109745016
3.2759715343632276,177.29787299999998,0.32509414958442967
3.788694257735308,177.346045,0.3250088480409187
2.6045657428298252,177.39469400000002,0.3249227027344346
3.46068974064222,177.44360949999998,0.32483608634967126
2.9964174644723554,177.492163,0.3247501117125476
3.3032516860095353,177.5408465,0.32466390754517466
3.3471163071559626,177.5893235,0.3245780696108178
3.3949356390591436,177.6375945,0.32449259693987337
2.7495657106540667,177.686377,0.32440621899374056
3.6101741567998196,177.7350715,0.3243199972195498
3.0925128546546827,177.7833385,0.3242345326765359
3.4288034865277255,177.831747,0.32414881777908044
2.989950712969863,177.8802245,0.3240629808245666
3.1652305845479236,177.9289115,0.3239767729596562
3.265793265419159,177.9774535,0.32389082180447853
3.089046674970176,178.0259385,0.3238049714648861
3.1659002161484118,178.0744995,0.3237189863666828
3.8700167963845566,178.12249200000002,0.32363400762914735
2.5113380548394786,178.1709465,0.32354821050526184
3.59078685207067,178.219626,0.3234620145611962
2.7406734154106824,178.2680875,0.32337620413308754
3.5504823879623375,178.316576,0.3232903453281426
2.672459708542987,178.36512199999999,0.32320438406242546
3.275163313064775,178.4139045,0.3231180032949476
3.2520894068792954,178.46218349999998,0.32303251329842864
3.045976326273392,178.510672,0.32294665146059065
2.923802961050323,178.55945400000002,0.32286026894728925
3.164093594649459,178.60803049999998,0.3227742493025156
3.2149204919652754,178.6564735,0.3226884649634882
2.83214056908083,178.7052175,0.3226021464228365
2.9662222628157155,178.754183,0.3225154343677502
3.0717578031901756,178.80293899999998,0.32242909197085434
2.8368050545004273,178.8517025,0.3223427348771896
3.534705046406292,178.9001795,0.32225688367918015
2.5738669387498083,178.948897,0.32217060500354755
3.5184255268416567,178.9976335,0.32208429103867475
2.682748538586887,179.04628200000002,0.32199813121323395
3.1446387120937613,179.09515199999998,0.32191157729866804
3.319590369403407,179.143572,0.32182581853006076
2.964001914301079,179.192156,0.3217397673671023
2.7937218119454865,179.2411025,0.3216530721230122
3.124600272181759,179.290026,0.32156641550784487
3.4961807530117905,179.338343,0.32148083102258
2.644225144818674,179.38698449999998,0.32139466952015344
3.2405476662612105,179.4359575,0.321307918480614
2.9381758934178914,179.4846635,0.32122163801052206
2.9913410584489895,179.5334765,0.32113516552259297
3.027754800449304,179.582213,0.32104882601098256
2.759251957322847,179.6311595,0.32096211183879336
3.4656990025481047,179.67983900000002,0.32087586799459944
3.2408838024201145,179.7280985,0.32079036552704476
2.847195296835399,179.7767965,0.32070408333674266
3.126771641701478,179.8257125,0.32061741196969856
3.0198418732198697,179.8744835,0.32053099452310574
2.9246328343494103,179.92333050000002,0.32044443933838007
3.1772063666585253,179.972048,0.32035811048530044
2.9362597607211045,180.02076549999998,0.3202717784246213
3.5397826853101937,180.06928449999998,0.3201857948636485
2.764247116676175,180.1179565,0.32009953681846964
3.0635789331676295,180.16692999999998,0.32001274099160393
3.34687041221758,180.21538800000002,0.31992685530316106
2.6374078381867467,180.2642275,0.3198402898747175
3.4676597048055413,180.3129715,0.31975389005857224
2.9826267345270505,180.361422,0.31966800678508855
2.7440864985815696,180.4105285,0.31958095685660687
3.355803379411296,180.45943649999998,0.31949425489739003
2.8768212652319343,180.508238,0.31940773777660286
3.3302157213738157,180.5569635,0.31932135137164924
3.078188944614802,180.605521,0.3192352587487374
3.5748365442022565,180.653876,0.3191495210512636
2.8705291509954414,180.7024215,0.3190634413851337
3.136735675989066,180.7513485,0.31897668092660914
2.80102877954619,180.800341,0.3188897998939277
