T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK),,
181.500094,0.937042224,0.317648363,27.33368817,4.922845489,87.27332184,,
181.528048,0.937032366,0.317598748,27.3274317,5.044856523,89.43661689,,9.85828E-06
181.556582,0.937022552,0.317548101,27.32104613,3.811640495,67.57401807,,9.81386E-06
181.5851195,0.937012279,0.317497446,27.31466048,5.046447113,89.46533767,,1.02736E-05
181.6132375,0.937002455,0.317447534,27.30836939,4.621296227,81.92833642,,9.82333E-06
181.6417335,0.93699247,0.317396949,27.30199442,4.346484766,77.05658474,,9.98532E-06
181.670069,0.936982373,0.317346647,27.29565605,4.973949566,88.18083994,,1.00967E-05
181.6983165,0.936972494,0.317296499,27.28933805,4.553596268,80.72882503,,9.87927E-06
181.7264045,0.936962452,0.317246632,27.2830564,5.331315319,94.51695611,,1.00418E-05
181.754515,0.936952678,0.317196724,27.2767704,4.540497633,80.49706766,,9.77372E-06
181.7830295,0.936942614,0.317146096,27.27039474,4.541990213,80.52376411,,1.00648E-05
181.8115065,0.936932548,0.317095533,27.26402816,4.608967869,81.71143169,,1.0066E-05
181.8401855,0.936922502,0.317044609,27.25761711,4.179695669,74.10117172,,1.00456E-05
181.868483,0.936912286,0.316994361,27.25129202,5.403505854,95.79818879,,1.0216E-05
181.896342,0.936902503,0.316944889,27.24506561,5.0582098,89.67672695,,9.78311E-06
181.9241625,0.93689259,0.316895483,27.23884845,5.508029496,97.65183397,,9.91313E-06
181.9525285,0.936882827,0.316845107,27.23251005,4.037775226,71.58590946,,9.76277E-06
181.981608,0.936872521,0.316793461,27.22601292,4.158886156,73.73331038,,1.03062E-05
182.010115,0.936862246,0.316742831,27.21964439,5.213390845,92.42899964,,1.0275E-05
182.0382405,0.936852338,0.316692875,27.21336175,4.948209272,87.72780775,,9.90831E-06
182.0665265,0.936842326,0.316642633,27.20704391,4.915313621,87.14484642,,1.00121E-05
182.0947095,0.936832296,0.316592571,27.20074974,5.16141839,91.50836454,,1.00292E-05
182.1229805,0.93682235,0.316542351,27.19443657,4.76824709,84.53795505,,9.94626E-06
182.1512015,0.936812251,0.316492217,27.18813523,5.300225021,93.96985323,,1.00988E-05
182.179373,0.936802333,0.316442169,27.18184558,4.881599067,86.54811242,,9.91796E-06
182.207537,0.936792262,0.316392133,27.17555826,5.326090838,94.42898354,,1.00709E-05
182.2359795,0.936782343,0.316341599,27.16920943,4.377639955,77.61363968,,9.91977E-06
182.26459,0.936772067,0.316290765,27.16282375,5.026564053,89.11904089,,
182.292952,0.93676202,0.316240369,27.1564942,4.897219388,86.82606206,,
182.3218215,0.936751913,0.31618907,27.15005205,4.091728563,72.54519358,,
182.3503365,0.936741499,0.316138399,27.14368967,5.593076229,99.16395392,,
182.3782335,0.936731637,0.316088823,27.13746581,5.255618856,93.18117862,,
182.4065805,0.936721654,0.316038446,27.1311422,4.693005529,83.20638692,,
182.4353815,0.936711465,0.315987259,27.12471796,4.3621551,77.34067935,,
182.463736,0.936701152,0.315936863,27.11839397,5.530903687,98.06278805,,
182.491873,0.936691273,0.315886852,27.11211911,4.70502036,83.42013715,,
182.5201895,0.936681107,0.315836519,27.10580486,5.085833265,90.17222173,,
182.54859,0.936671093,0.315786035,27.09947251,4.45643916,79.01324489,,
182.5769525,0.93666086,0.315735616,27.09314927,5.064458006,89.79375887,,
182.605269,0.936650866,0.315685276,27.08683692,4.437254555,78.67355618,,
182.6338525,0.936640658,0.315634459,27.08046568,4.435401602,78.6409332,,
182.6625125,0.936630466,0.315583504,27.07407804,4.206856794,74.58898773,,
182.691199,0.936620196,0.315532499,27.06768512,4.334122516,76.84567771,,
182.71966,0.936609977,0.315481892,27.06134309,4.613262584,81.79517823,,
182.7476825,0.936599861,0.315432063,27.05509939,5.188767921,91.99940561,,
182.775694,0.936589948,0.315382251,27.04885874,4.651662682,82.47650248,,
182.804297,0.936579832,0.315331385,27.04248694,4.09815145,72.66266111,,
182.832831,0.936569489,0.315280639,27.03613113,4.880496481,86.5343566,,
182.8613455,0.936559415,0.315229924,27.02978029,4.233767082,75.0676458,,
182.8900055,0.936549078,0.315178949,27.02339766,4.684944349,83.06757772,,
182.9182075,0.936538892,0.315128786,27.01711765,5.181934744,91.87985585,,
182.946722,0.936528875,0.315078064,27.01076866,4.132918815,73.28017693,,
182.9753705,0.936518458,0.315027101,27.00439045,4.953564507,87.83118321,,
183.003584,0.936508338,0.314976909,26.99810969,5.009916676,88.83061513,,
183.0320835,0.936498225,0.314926206,26.99176588,4.463927685,79.14993928,,
183.060656,0.936487892,0.314875371,26.98540642,4.956606588,87.88589053,,
183.0887895,0.936477719,0.314825314,26.97914527,5.429998563,96.27990993,,
183.1172775,0.936467694,0.314774623,26.97280583,4.380044641,77.66328675,,
183.146006,0.936457259,0.314723502,26.96641348,5.019102834,88.99479409,,
183.174349,0.936447053,0.314673065,26.9601075,5.140452424,91.14673474,,
183.2027875,0.936436887,0.314622454,26.95378088,4.822182924,85.50366263,,
183.2313445,0.936426605,0.31457163,26.94742849,4.86853981,86.32588418,,
183.2598405,0.936416346,0.314520912,26.94109026,4.884581761,86.6105831,,
183.288119,0.9364061,0.314470578,26.93480101,5.269458368,93.43526385,,
183.316466,0.93639599,0.31442012,26.9284971,4.779527458,84.74831311,,
183.345,0.936385687,0.314369325,26.92215219,4.960670843,87.96051912,,
183.373507,0.936375435,0.314318577,26.91581388,4.902360849,86.92684517,,
183.402079,0.936365143,0.314267709,26.90946171,4.87894377,86.51187579,,
183.430842,0.936354837,0.314216499,26.90306767,4.546198915,80.61198797,,
183.459559,0.9363444,0.314165368,26.89668444,4.974378713,88.20461796,,
183.4876085,0.936334118,0.314115422,26.89045016,5.89799555,104.5822949,,
183.5160775,0.936324155,0.314064727,26.88412321,4.24814941,75.32771236,,
183.5446495,0.936313563,0.314013845,26.87777396,5.763702991,102.2016394,,
