T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK)
184.5,0.5434264422981708,0.3123107738190744,26.665798743793182,3.2003766437335437,3.0627344688298175,56.75445800396265
185.5,0.5408100565396903,0.3105240582563934,26.444538221034353,3.198863774213119,3.3326029045939656,56.733469315427264
186.5,0.5381569027585397,0.30873261486452813,26.22384054658114,3.1985394260239848,3.6767490496491058,56.733571752373905
187.5,0.5354653301182483,0.3069358517886358,26.003633524072836,3.2066662872351155,3.964453616662842,56.88360785143129
188.5,0.5327336282595905,0.30513317876719015,25.783846625201583,3.223866234850073,4.130865451414164,57.194658965904296
189.5,0.5299600221585544,0.30332400558756445,25.564410780665376,3.23024964038202,4.017872463168442,57.31387854065276
190.5,0.527142666716364,0.3015077405897709,25.345258184064427,3.2288121525274627,3.767886285103122,57.29436561177007
191.5,0.5242796410442195,0.29968378920729705,25.126322107059043,3.229965465356834,3.6834373426963727,57.32085055461227
192.5,0.5213689424031374,0.2978515525348265,24.90753672428471,3.22942485227706,3.735264386333817,57.317302582450246
193.5,0.5184084797566103,0.29601042591339943,24.68883694668115,3.2271973591868544,4.025285230410194,57.28383922851633
194.5,0.5153960668904787,0.2941597975241202,24.470158262021013,3.231630747762933,4.162610297705302,57.36864429132774
195.5,0.5123294150506521,0.2922990469820288,24.251436581543402,3.2445543101654972,4.1950989604892746,57.60423523091909
196.5,0.5092061250449029,0.2904275439221055,24.032608091693596,3.2568730911468258,4.347809909863087,57.829172579898184
197.5,0.5060236787498573,0.2885446465696598,23.813609110056156,3.2585325860435512,4.159917539613386,57.86490787544378
198.5,0.5027794299585655,0.28664970028757186,23.59437594464396,3.2565794117942772,3.936052862932672,57.83652904711691
199.5,0.4994705944973559,0.2847420360929833,23.374844755769008,3.256749910671107,3.703010302461517,57.84590531425993
200.5,0.4960942395331997,0.28282096913609656,23.154951419776197,3.2567928087593496,3.9234056670543977,57.853060172815816
201.5,0.492647271984181,0.2808857971337816,22.93463139397259,3.259753667550386,4.509673997275508,57.912102018723296
202.5,0.4891264259359932,0.27893579875064967,22.713819582127467,3.271382305080015,4.760437625078122,58.12521221799122
203.5,0.4855282489562517,0.27697023192018827,22.492450199958657,3.288483379323311,4.984158022425455,58.43566504431863
204.5,0.4818490871858761,0.2749883320984494,22.27045664005722,3.3120216247686356,5.028953210299515,58.860641957960276
205.5,0.478085069072452,0.2729893104426859,22.047771335741007,3.3343816410632985,5.029125780163476,59.26483088296106
206.5,0.4742320875942115,0.2709723519071454,21.824325623357563,3.3491852232200756,4.854511086945748,59.53485010302618
207.5,0.4702857808046914,0.26893661324813967,21.60004960259878,3.3620211832405844,4.499274975248127,59.77001450723938
208.5,0.4662415105070217,0.2668812209303388,21.3748719944255,3.374658894672811,4.4476940134326455,60.00177520644008
209.5,0.4620943388425833,0.26480526892613293,21.148719996243983,3.3827341244393647,4.773120317297685,60.15252908728549
210.5,0.4578390025512204,0.26270781639984986,20.921519134028756,3.385739673480219,5.288168352663025,60.21323066685728
211.5,0.4534698846286139,0.26058788526859644,20.693193111143593,3.3896699503739334,5.480954827745842,60.29047066503814
212.5,0.4489809830702186,0.25844445763156887,20.463663653682836,3.393922126248967,5.255737722257042,60.37353533766823
213.5,0.4443658763497325,0.25627647305993334,20.232850352245862,3.399102706710964,5.201022153141085,60.473221091306606
214.5,0.4396176852323482,0.25408282573971613,20.000670500157906,3.4075127327310826,5.580640156787283,60.63048116545882
215.5,0.4347290304683103,0.2518623614608195,19.767038928287114,3.4141592337716666,5.842478310667909,60.75648982749909
216.5,0.4296919858491431,0.24961387444614774,19.531867836762753,3.421803305808419,5.887120673418428,60.90038111348228
217.5,0.4244980260362075,0.24733610401618214,19.29506662410353,3.4331018332229792,5.8721157491745055,61.109459707987405
218.5,0.4191379684872596,0.24502773108609116,19.056541714504153,3.4361411854377724,5.933169999714505,61.17166520676351
219.5,0.4136019087095938,0.24268737449492986,18.816196384334468,3.4296349491132574,6.205475306745982,61.06403993366764
220.5,0.4078791479560609,0.2403135871696421,18.57393058927085,3.4211017565830897,6.201959521079836,60.920405964319066
221.5,0.4019581123500804,0.23790485213078288,18.32964079393457,3.4178914780483294,6.096702968965858,60.87165200955302
222.5,0.395826262274819,0.2354595783522802,18.083219806465276,3.412632301816223,6.474258200834762,60.78651434958061
223.5,0.3894699906864148,0.23297609649445877,17.834556621130893,3.400426388829284,7.069960726297183,60.5777290919217
224.5,0.3828745088073507,0.23045265453833694,17.583536272894744,3.3968494592288208,7.64361012989873,60.52276561976583
225.5,0.3760237174189816,0.2278874133602655,17.33003970885099,3.400494498036466,7.978851256126283,60.596623707131755
226.5,0.3689000616960426,0.22527844229982155,17.073943682632343,3.404321401395091,8.259445707171283,60.673894311862874
227.5,0.3614843672039712,0.22262371479108045,16.815120679324508,3.416378963781168,8.800491944115569,60.8980588212197
228.5,0.3537556543041617,0.21992110414863714,16.553438880126702,3.434060154447966,9.25387184360154,61.22271500918005
229.5,0.3456909277732947,0.2171683796257684,16.28876217801394,3.4405058497973737,9.580554912452852,61.347306638773794
230.5,0.337264937929651,0.21436320289381888,16.020950258028343,3.436429031442152,9.802649755474924,61.284463247367036
