cp(J/gK),T(K),X
14.18239900190536,175.145945,0.3289068524557207
14.15635317527874,175.19469700000002,0.3288204033210447
13.929014742105856,175.2435135,0.32873384434323544
14.066138126990014,175.2919715,0.32864792543968174
13.247644053233442,175.3405635,0.3285617732641323
12.997567687798323,175.38958250000002,0.32847486832608963
12.687838163513844,175.43818149999998,0.32838871217371934
11.996342498516904,175.4866735,0.3283027497702875
11.388275993079514,175.535189,0.3282167496831502
10.394934237991267,175.583735,0.3281306994275052
9.386127707239776,175.63234549999999,0.32804453866493327
7.912166869528685,175.6812005,0.327957948303078
6.68780766592417,175.7300095,0.32787144316174016
5.142277643972866,175.77855499999998,0.32778540860231287
3.62989827413394,175.82726100000002,0.3276990930981654
2.2995741353138923,175.87586800000003,0.32761295645242344
0.942169615480716,175.924513,0.327526755797879
-0.2421285334895379,175.973162,0.32744055130560573
-1.421836879299537,176.021811,0.327354349981551
-2.40562647013496,176.070391,0.3272682739983273
-3.408411676533002,176.11924950000002,0.32718170757891624
-4.2295668572676215,176.167967,0.3270953939145924
-5.017889316958174,176.2162915,0.3270097793491705
-5.737000364165128,176.2647955,0.32692384950808817
-6.405807372051895,176.3135855,0.32683741567355784
-6.9681940348222975,176.362299,0.32675111996740075
-7.4640010893804725,176.410929,0.32666497469590833
-7.935754957825542,176.4593985,0.3265791161607168
-8.315458846949463,176.507807,0.326493368011665
-8.698646883348106,176.556452,0.32640720320593936
-8.968655823448374,176.6049865,0.3263212363126266
-9.19427816705016,176.65375,0.32623486591846446
-9.394198779206569,176.70261599999998,0.32614831602190414
-9.556469810539774,176.7513295,0.3260620381867592
-9.74213253787136,176.79971899999998,0.32597633605317144
-9.739511318712056,176.8483185,0.32589026377319313
-9.845718642062295,176.89691,0.32580420736788035
-9.854409470071312,176.94538699999998,0.3257183553649586
-9.825198983538261,176.99395950000002,0.32563233577757067
-9.824098047640748,177.04229550000002,0.3255467364767537
-9.730767459356489,177.090689,0.32546103672502447
-9.647356791297902,177.139033,0.3253754259304411
-9.498550938262701,177.18764,0.32528935062712466
-9.382585954041085,177.2363345,0.3252031215320907
-9.2518112287718,177.28486850000002,0.3251171777269086
-9.092635362054049,177.3334145,0.32503121366593113
-8.896210408093376,177.3817395,0.3249456418558145
-8.72497232897216,177.430045,0.3248601054051865
-8.523623852058533,177.478373,0.3247745298661225
-8.301829092919727,177.526747,0.32468887355121956
-8.075920775165686,177.575392,0.3246027379797012
-7.865934244576161,177.623953,0.32451675167483474
-7.59983995747858,177.672461,0.324430859665565
-7.432606811812446,177.7206825,0.3243454753238252
-7.148562678124004,177.7687135,0.3242604285844576
-6.925739435785414,177.8169235,0.32417506511175737
-6.679439957680709,177.86544650000002,0.32408914756435203
-6.473372475473591,177.913981,0.3240032097196873
-6.20781771231301,177.962061,0.3239180766264399
-5.996806397489103,178.01009950000002,0.32383301692950245
-5.746996709517358,178.0581875,0.32374786942457995
-5.523053768690131,178.1065505,0.32366223475094974
-5.261046942860089,178.15493650000002,0.323576559038424
-5.04759343276158,178.203215,0.3234910732851178
-4.779190753684184,178.25160799999998,0.3234053843246366
-4.544509676528343,178.2997265,0.3233201808827079
-4.359927900787976,178.34810099999999,0.32323452352814436
-4.067142747256037,178.396693,0.3231484803486691
-3.8275652582369246,178.444819,0.32306326156699694
-3.621028554764889,178.4930635,0.3229778321175905
-3.3448093230940947,178.541346,0.32289233446822896
-3.1243478601294656,178.5894455,0.3228071598913594
-2.8458734947319595,178.6375835,0.32272191608561324
-2.614271466367335,178.6858165,0.3226365029213958
-2.3563703683212656,178.734286,0.3225506697379578
-2.0684335962370617,178.782935,0.32246451738394194
-1.7229045035139752,178.8311945,0.3223790534335391
-1.3462040029737814,178.878981,0.32229442572266653
-1.0398418513945769,178.92690900000002,0.3222095459423755
-0.7492777258891299,178.975634,0.3221232530939288
-0.20620453767889116,179.024397,0.3220368912635475
0.3610730575365658,179.072363,0.32195193924567406
0.8757293888046056,179.120169,0.32186726883635003
1.353993247485985,179.168345,0.32178194125532383
1.9963533273332097,179.2168795,0.32169597675517936
2.83867499635474,179.265036,0.32161067975577523
3.522815663475068,179.31298650000002,0.3215257455672616
4.350850582538217,179.3612275,0.32144029466685226
5.155549943273044,179.4096285,0.3213545581103548
6.332886203675349,179.4577735,0.3212692727258981
7.2483693772966165,179.50564400000002,0.321184471251339
8.099300931011872,179.553965,0.3210988692809445
9.343461524043692,179.6023315,0.32101318417290625
10.321135510147858,179.6505985,0.32092767273794875
11.479697381504966,179.6990415,0.320841846811985
12.601162638884661,179.7475035,0.3207559844609461
13.95774180479643,179.7957825,0.3206704435189787
15.12052093081473,179.843882,0.32058521774471993
16.341266476435358,179.89202699999998,0.3204999084092692
17.35340406593962,179.9404015,0.3204141893811541
18.474426844710198,179.9890505,0.32032798080035735
19.833629077926766,180.03765349999998,0.3202418505143
20.95973656798885,180.08623,0.32015576390069433
22.19378598686762,180.1348785,0.32006954632131346
23.60047176678822,180.18332900000001,0.3199836762255564
24.303427189891856,180.2319895,0.3198974304300304
25.848244506069577,180.2807335,0.31981103303802183
26.717745259388582,180.329348,0.31972486151815027
27.96898944437199,180.3780275,0.3196385710441039
28.993539300581002,180.4265925,0.3195524797349795
30.190559194656075,180.475043,0.31946658754541885
30.5260571021734,180.52381400000002,0.3193801232176725
31.72235091507995,180.5728365,0.31929320893565943
32.87854592554286,180.6215155,0.319206899540926
34.117393429181504,180.669821,0.31912124824325955
34.14937746090288,180.7184125,0.31903508561138344
34.54698629372325,180.7677365,0.3189476197022133
