index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
9420,166716.3,211.025011,205.220007,-16.173084,-16.196671,0.8526781835709366,1.0786493498393668e-07
9421,166734.0,211.054556,205.250052,-16.204054,-16.236105,0.852645764113289,1.0794109195355617e-07
9422,166751.7,211.083464,205.280882,-16.231557,-16.271064,0.8526124738137768,1.0801935235171811e-07
9423,166769.4,211.112524,205.310393,-16.255884,-16.289340999999997,0.852580585155744,1.0809437234193808e-07
9424,166787.1,211.141322,205.341078,-16.276123,-16.29809,0.852547404415472,1.0817248885519604e-07
9425,166804.8,211.170458,205.371504,-16.300001,-16.306651000000002,0.8525144800560392,1.0825005958281508e-07
9426,166822.5,211.199889,205.401358,-16.305952,-16.299302,0.852482151708374,1.0832628127843691e-07
9427,166840.2,211.228644,205.431982,-16.308037,-16.299978,0.8524489658815108,1.0840458197769465e-07
9428,166857.9,211.257647,205.461623,-16.310568,-16.305733,0.8524168224337253,1.0848047882205947e-07
9429,166875.6,211.286402,205.492003,-16.323148,-16.337048,0.8523838542340202,1.0855837956347258e-07
9430,166893.3,211.315352,205.522314,-16.335325,-16.376217,0.8523509373099232,1.0863621641155063e-07
9431,166911.0,211.343798,205.552916,-16.341441,-16.398039999999998,0.8523176804163022,1.087149150147404e-07
9432,166928.7,211.372805,205.582182,-16.323225,-16.381229,0.8522858528828844,1.0879028550236924e-07
9433,166946.4,211.401961,205.612997,-16.303936,-16.34945,0.8522523169143453,1.0886976020696437e-07
9434,166964.1,211.431353,205.643408,-16.289707,-16.314677,0.8522191965909517,1.0894830793084509e-07
9435,166981.8,211.461436,205.673468,-16.277511,-16.284558,0.8521864350460938,1.0902606140117399e-07
9436,166999.5,211.490767,205.70294,-16.25829,-16.262921,0.8521542916382404,1.0910240300088248e-07
9437,167017.2,211.519869,205.73316,-16.247301,-16.284143,0.8521213090499827,1.0918079429433902e-07
9438,167034.9,211.549586,205.763747,-16.238312,-16.298906,0.8520879017712798,1.0926025367785641e-07
9439,167052.6,211.578841,205.793906,-16.236999,-16.312081,0.8520549381425991,1.0933871552598617e-07
9440,167070.3,211.608115,205.823973,-16.241735,-16.323653999999998,0.8520220514972818,1.0941705108624689e-07
9441,167088.0,211.637064,205.854422,-16.232354,-16.334393000000002,0.8519887230070426,1.0949649753566604e-07
9442,167105.7,211.666186,205.884314,-16.24334,-16.355433,0.8519559806430651,1.0957460372384986e-07
9443,167123.4,211.695845,205.914534,-16.250484,-16.379673,0.851922855252105,1.0965368130166908e-07
9444,167141.1,211.725657,205.944563,-16.275356,-16.393468,0.8518899155358375,1.0973237285494264e-07
9445,167158.8,211.754931,205.974631,-16.283309,-16.390949,0.851856909345762,1.0981128106823945e-07
9446,167176.5,211.785052,206.005057,-16.29487,-16.387011,0.8518234860034767,1.0989124460403232e-07
9447,167194.2,211.814616,206.035239,-16.308855,-16.416880000000003,0.8517903066427934,1.0997068344842376e-07
9448,167211.9,211.843832,206.065787,-16.325239,-16.440898999999998,0.8517567005029005,1.1005120309492966e-07
9449,167229.6,211.873282,206.095984,-16.344453,-16.466943,0.8517234563089081,1.1013091427702904e-07
9450,167247.3,211.902689,206.126013,-16.356628,-16.478706,0.8516903731807155,1.1021029666657967e-07
9451,167265.0,211.931117,206.155676,-16.34869,-16.459898000000003,0.8516576698562708,1.102888251280909e-07
9452,167282.7,211.959853,206.186125,-16.331664,-16.429793,0.8516240757248367,1.1036955110954594e-07
9453,167300.4,211.988474,206.216444,-16.280638,-16.373331,0.8515906005803288,1.1045005038345934e-07
9454,167318.1,212.016787,206.246947,-16.252553,-16.365947,0.8515568976344293,1.1053115755998988e-07
9455,167335.8,212.044905,206.276884,-16.222483,-16.351549000000002,0.8515237959920257,1.1061087568098316e-07
9456,167353.5,212.073431,206.306494,-16.18298,-16.325303,0.8514910324242342,1.106898372404963e-07
9457,167371.2,212.100935,206.337195,-16.146853,-16.302029,0.8514570369545371,1.1077182748842063e-07
9458,167388.9,212.12863,206.366911,-16.131092,-16.281633,0.8514241081926658,1.1085130285914957e-07
9459,167406.6,212.155325,206.397223,-16.121342,-16.265439999999998,0.8513904946439275,1.1093249041582709e-07
9460,167424.3,212.182986,206.42729,-16.118241,-16.241026,0.8513571284505475,1.1101313956984882e-07
9461,167442.0,212.210448,206.457167,-16.125203,-16.234716,0.8513239490686523,1.1109339581594213e-07
9462,167459.7,212.237337,206.486922,-16.136795,-16.231431,0.8512908813231093,1.1117343962085968e-07
9463,167477.4,212.265803,206.51747,-16.149557,-16.230323000000002,0.8512569074938178,1.1125573678993916e-07
9464,167495.1,212.29296,206.547263,-16.163759,-16.231862,0.8512237491010942,1.1133611765856699e-07
9465,167512.8,212.319773,206.57691,-16.179169,-16.256306000000002,0.8511907294111518,1.1141622019428254e-07
9466,167530.5,212.346987,206.607245,-16.170025,-16.252779999999998,0.8511569188542565,1.1149830075884992e-07
9467,167548.2,212.374258,206.637328,-16.173153,-16.254295,0.8511233645618383,1.1157981910647763e-07
9468,167565.9,212.401495,206.666914,-16.181528,-16.252421000000002,0.8510903406824154,1.1166010693841599e-07
9469,167583.6,212.428999,206.696906,-16.193101,-16.251538,0.8510568393632241,1.1174161457239151e-07
9470,167601.3,212.456946,206.726042,-16.208929,-16.272181,0.8510242707774174,1.1182090969841241e-07
9471,167619.0,212.485045,206.756133,-16.219088,-16.288156999999998,0.8509906104113261,1.1190292181773032e-07
9472,167636.7,212.513472,206.786139,-16.215586,-16.282843,0.850957020536036,1.1198482235963425e-07
9473,167654.4,212.542574,206.81526,-16.21594,-16.283995,0.8509243978486253,1.1206442152023044e-07
9474,167672.1,212.571139,206.845656,-16.216641,-16.278267,0.8508903221047154,1.121476260190768e-07
9475,167689.8,212.600249,206.875082,-16.228433,-16.298484,0.8508573096784945,1.1222829315871152e-07
9476,167707.5,212.628962,206.904936,-16.245024,-16.320087,0.8508237928128028,1.123102521538577e-07
9477,167725.2,212.657595,206.934409,-16.2546,-16.3421,0.8507906796741435,1.1239128167028767e-07
9478,167742.9,212.686076,206.964285,-16.268978,-16.390786000000002,0.8507570893702732,1.1247353831622675e-07
9479,167760.6,212.716116,206.993773,-16.281362,-16.435265,0.8507239111883294,1.1255484488881251e-07
9480,167778.3,212.745715,207.02368,-16.290313,-16.459052,0.8506902370651697,1.1263742577538594e-07
9481,167796.0,212.775713,207.053496,-16.291235,-16.468788,0.8506566408016355,1.1271987565564245e-07
9482,167813.7,212.806063,207.082488,-16.295005,-16.481772,0.8506239494196434,1.1280016243286894e-07
9483,167831.4,212.836336,207.111746,-16.301572,-16.488926,0.850590934481164,1.1288130091768878e-07
9484,167849.1,212.866782,207.141425,-16.29708,-16.473789,0.8505574202113062,1.12963726095483e-07
9485,167866.8,212.897845,207.170744,-16.298225,-16.46068,0.8505242884255578,1.1304526864597264e-07
9486,167884.5,212.927481,207.200713,-16.307972,-16.45056,0.8504903973842151,1.1312874043101218e-07
9487,167902.2,212.957598,207.229781,-16.303709,-16.439267,0.8504575013407314,1.1320981935236674e-07
9488,167919.9,212.987833,207.259978,-16.295385,-16.42993,0.8504233026390241,1.1329416971239681e-07
9489,167937.6,213.017931,207.289084,-16.28751,-16.426055,0.8503903153914881,1.1337559124857677e-07
9490,167955.3,213.048686,207.318167,-16.287864,-16.426999,0.8503573305237058,1.1345706424359392e-07
9491,167973.0,213.079264,207.348563,-16.288764,-16.417665,0.8503228311575018,1.1354233997451502e-07
9492,167990.7,213.109785,207.377722,-16.285304,-16.423215,0.8502897114052775,1.1362426466376974e-07
9493,168008.4,213.141081,207.407095,-16.281836,-16.419134999999997,0.8502563244153754,1.1370690916612247e-07
9494,168026.1,213.172125,207.437415,-16.278127,-16.407999,0.8502218355319088,1.1379234343689149e-07
9495,168043.8,213.20394,207.466132,-16.286721,-16.403156,0.8501891461520168,1.1387337861545888e-07
9496,168061.5,213.234114,207.496527,-16.265161,-16.386998,0.850154521288152,1.1395927246304893e-07
9497,168079.2,213.264963,207.526259,-16.253057,-16.376085999999997,0.85012062641122,1.1404341776488636e-07
9498,168096.9,213.295157,207.555273,-16.242792,-16.362806000000003,0.8500875259274155,1.1412564981938544e-07
9499,168114.6,213.325796,207.585585,-16.238487,-16.347072999999998,0.8500529191240618,1.1421168599756726e-07
9500,168132.3,213.355994,207.6145,-16.222816,-16.331994,0.8500198829351733,1.1429387658523638e-07
9501,168150.0,213.386092,207.644545,-16.203492,-16.305651,0.8499855304948425,1.1437940339309449e-07
9502,168167.7,213.416285,207.673918,-16.199232,-16.297977999999997,0.8499519215376988,1.144631398553031e-07
9503,168185.4,213.44702,207.70381,-16.170097,-16.25782,0.8499176934641034,1.1454848042324883e-07
9504,168203.1,213.476504,207.733931,-16.166011,-16.268346,0.8498831773492455,1.1463460181104779e-07
9505,168220.8,213.506968,207.762923,-16.163575,-16.275714,0.849849930454582,1.1471761623971233e-07
9506,168238.5,213.537684,207.792487,-16.164524,-16.291272,0.8498160028101536,1.1480239103800471e-07
9507,168256.2,213.567839,207.822363,-16.173474,-16.303214999999998,0.8497816916348871,1.1488818629779018e-07
9508,168273.9,213.598475,207.851752,-16.190659,-16.311981,0.8497479147290289,1.1497270646643187e-07
9509,168291.6,213.629462,207.881476,-16.208827,-16.325336,0.8497137275217322,1.1505831515323806e-07
9510,168309.3,213.661334,207.910735,-16.214192,-16.31688,0.8496800502661374,1.1514270753520961e-07
9511,168327.0,213.693476,207.940703,-16.212917,-16.303587,0.8496455313320583,1.1522927123586157e-07
9512,168344.7,213.724711,207.970847,-16.195411,-16.268062,0.8496107834807085,1.1531647325924155e-07
9513,168362.4,213.755831,208.000677,-16.19194,-16.275192,0.849576371690115,1.1540289518441327e-07
9514,168380.1,213.786681,208.030631,-16.198279,-16.284326,0.8495417908937369,1.154898046085151e-07
9515,168397.8,213.817725,208.060446,-16.219239,-16.307080000000003,0.8495073446966905,1.1557643891935143e-07
9516,168415.5,213.848189,208.089491,-16.251243,-16.333675,0.8494737632485309,1.1566095903248197e-07
9517,168433.2,213.878634,208.119559,-16.276992,-16.358817,0.8494389731410543,1.1574858443941238e-07
9518,168450.9,213.909522,208.149489,-16.28032,-16.358138,0.8494043165206027,1.158359373421014e-07
9519,168468.6,213.940375,208.179305,-16.296465,-16.387279000000003,0.849369765888463,1.1592308690744346e-07
9520,168486.3,213.970278,208.209463,-16.313194,-16.421402999999998,0.8493347924954442,1.160113671239138e-07
9521,168504.0,214.001608,208.239844,-16.336716,-16.467316,0.8492995335556387,1.161004343774863e-07
9522,168521.7,214.031748,208.268729,-16.358096,-16.513684,0.849265985700037,1.1618524009548992e-07
9523,168539.4,214.060747,208.298895,-16.381621,-16.550195,0.8492309238856457,1.1627393725621715e-07
9524,168557.1,214.090369,208.328497,-16.416372,-16.594931,0.8491964915761497,1.1636110525126142e-07
9525,168574.8,214.119368,208.358183,-16.445111,-16.625056,0.8491619356273662,1.1644864994497794e-07
9526,168592.5,214.148657,208.388823,-16.474407,-16.656937,0.8491262419009303,1.1653914361309248e-07
9527,168610.2,214.178503,208.418097,-16.480948,-16.659266000000002,0.8490921135611993,1.1662573184967329e-07
9528,168627.9,214.208624,208.448912,-16.499226,-16.670534,0.849056161281127,1.1671701477533603e-07
9529,168645.6,214.238489,208.478789,-16.50414,-16.664641,0.8490212765007199,1.1680565287219835e-07
9530,168663.3,214.267798,208.50862,-16.504054,-16.641359,0.8489864189895546,1.1689428636163512e-07
9531,168681.0,214.2978,208.538611,-16.501962,-16.619272,0.8489513478451763,1.1698352819777824e-07
9532,168698.7,214.326937,208.56816,-16.50609,-16.605006,0.8489167673755252,1.1707158587004329e-07
9533,168716.4,214.356341,208.598357,-16.510389,-16.625682,0.8488814016649731,1.1716170866815645e-07
9534,168734.1,214.385996,208.628538,-16.518488,-16.641365,0.8488460274798086,1.1725191972900006e-07
9535,168751.8,214.414458,208.657835,-16.523024,-16.662074,0.8488116633414586,1.1733961868820586e-07
9536,168769.5,214.444517,208.688307,-16.520912,-16.666743999999998,0.8487758936979256,1.1743097100280764e-07
9537,168787.2,214.474596,208.717925,-16.526635,-16.671656,0.848741099827085,1.175198971470337e-07
9538,168804.9,214.504309,208.748915,-16.522702,-16.666712999999998,0.8487046659754662,1.1761308349456101e-07
9539,168822.6,214.534121,208.778273,-16.521439,-16.658649,0.8486701241515205,1.1770149582757128e-07
9540,168840.3,214.563487,208.808218,-16.528346,-16.648170999999998,0.8486348649196372,1.1779181025017849e-07
9541,168858.0,214.592795,208.838248,-16.539045,-16.65267,0.8485994784228377,1.1788251674804684e-07
9542,168875.7,214.622202,208.868529,-16.557924,-16.654568,0.8485637685522079,1.1797412030611909e-07
9543,168893.4,214.651663,208.898611,-16.588398,-16.667664000000002,0.8485282658725991,1.1806525934687784e-07
