T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK)
175.1281495,1.0,0.3289384093419098,28.78140939522779,-inf,-inf
175.155989,1.0,0.32888904163066757,28.774972949198958,-inf,-inf
175.184237,1.0,0.3288389510571557,28.76844322586101,-inf,-inf
175.212588,1.0,0.3287886793722579,28.761890873026957,-inf,-inf
175.240527,1.0,0.3287391397271408,28.75543489350225,-inf,-inf
175.268317,1.0,0.3286898657265564,28.749014477821774,-inf,-inf
175.296572,1.0,0.32863976870556216,28.742487788545393,-inf,-inf
175.324976,1.0,0.3285894089736246,28.735927854675474,-inf,-inf
175.35321249999998,1.0,0.3285393476610072,28.729407768616323,-inf,-inf
175.38128899999998,1.0,0.32848957142935714,28.72292577593646,-inf,-inf
175.409289,1.0,0.32843993220937323,28.71646258220924,-inf,-inf
175.43760150000003,1.0,0.3283897403716906,28.709928407207787,-inf,-inf
175.4655745,1.0,0.32834015175085984,28.703473720436616,-inf,-inf
175.4935055,1.0,0.32829063891556753,28.697029849110173,-inf,-inf
175.52162750000002,1.0,0.32824078882507335,28.690543045180533,-inf,-inf
175.54981850000001,1.0,0.3281908177433145,28.68404146329979,-inf,-inf
175.5781695,1.0,0.3281405643643224,28.67750412795569,-inf,-inf
175.6064515,1.0,0.3280904345904751,28.67098384636748,-inf,-inf
175.63473349999998,1.0,0.3280403060982957,28.664464704302677,-inf,-inf
175.663115,1.0,0.32799000251909277,28.65792377009963,-inf,-inf
175.6910385,1.0,0.3279405119299619,28.65148950391255,-inf,-inf
175.719084,1.0,0.3278908063220776,28.645028236915714,-inf,-inf
175.7476985,1.0,0.3278400934968372,28.63843702587689,-inf,-inf
175.77590800000002,1.0,0.327790099646457,28.631940234382505,-inf,-inf
175.8040985,1.0,0.32774014064514545,28.625448936869525,-inf,-inf
175.832438,1.0,0.32768991875639275,28.618924454094063,-inf,-inf
175.86051400000002,1.0,0.32764016496959875,28.612461745016407,-inf,-inf
175.88888400000002,1.0,0.3275898913185343,28.60593248022155,-inf,-inf
175.91717749999998,1.0,0.3275397543523105,28.59942193958867,-inf,-inf
175.9451775,1.0,0.3274901385638662,28.592980032210946,-inf,-inf
175.9733075,1.0,0.3274402934889922,28.58650931229579,-inf,-inf
176.00174950000002,1.0,0.3273898966411836,28.579967938108645,-inf,-inf
176.0301955,1.0,0.3273394937723152,28.57342676276126,-inf,-inf
176.058188,1.0,0.3272898954759187,28.56699095994095,-inf,-inf
176.0863785,1.0,0.3272399473667627,28.56051072492959,-inf,-inf
