index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
10252,181442.7,235.55403,230.20278,-22.790561,-23.221969,0.757902529207498,3.167934603531819e-07
10253,181460.4,235.583514,230.23268,-22.814401,-23.23837,0.7578077436232704,3.172239866899851e-07
10254,181478.1,235.612704,230.262331,-22.830267,-23.2468,0.7577136201242839,3.17651886239112e-07
10255,181495.8,235.642748,230.291846,-22.836638,-23.244784,0.7576198021955988,3.1807877270972895e-07
10256,181513.5,235.671549,230.321844,-22.848875,-23.248255,0.7575243197272404,3.18513619312899e-07
10257,181531.2,235.701498,230.351614,-22.858082,-23.256107,0.7574294338669338,3.1894613433669505e-07
10258,181548.9,235.7316,230.381804,-22.872588,-23.271918,0.7573330776948698,3.1938574551748644e-07
10259,181566.6,235.760908,230.411669,-22.894897,-23.295722,0.7572376280809351,3.1982161058374814e-07
10260,181584.3,235.790038,230.441592,-22.918909,-23.321799,0.7571418623986912,3.2025931051560264e-07
10261,181602.0,235.819792,230.470816,-22.944093,-23.368610999999998,0.757048207238548,3.2068774163951375e-07
10262,181619.7,235.849062,230.500483,-22.959946,-23.399251999999997,0.7569530041717026,3.211236384026428e-07
10263,181637.4,235.878756,230.530386,-22.973127,-23.415634,0.7568569127552245,3.215639936549053e-07
10264,181655.1,235.907809,230.560522,-22.988384,-23.427445,0.7567599392333855,3.220087915756231e-07
10265,181672.8,235.937155,230.590289,-23.002519,-23.438135,0.7566640213615232,3.224491420539266e-07
10266,181690.5,235.966597,230.619978,-23.014566,-23.427937999999997,0.7565682241166644,3.228893297735347e-07
10267,181708.2,235.995924,230.650267,-23.019368,-23.42398,0.7564703560271951,3.233394366142228e-07
10268,181725.9,236.025637,230.679976,-23.025526,-23.43448,0.7563742294079983,3.2378193320914406e-07
10269,181743.6,236.05543,230.709338,-23.026005,-23.464169000000002,0.7562790962324313,3.242202433195729e-07
10270,181761.3,236.084506,230.739493,-23.014296,-23.48926,0.7561812596191312,3.24671411700006e-07
10271,181779.0,236.114161,230.769492,-23.004874,-23.513218000000002,0.7560837939907676,3.251212746802068e-07
10272,181796.7,236.143507,230.79912,-23.005153,-23.534724,0.7559874011160437,3.2556658480231704e-07
10273,181814.4,236.173281,230.828558,-23.005251,-23.539914,0.7558914955776433,3.2601003563392794e-07
10274,181832.1,236.202219,230.858847,-23.019164,-23.564612,0.7557926811670225,3.264673469338675e-07
10275,181849.8,236.23139,230.888518,-23.045253,-23.602242,0.7556957484532149,3.2691635393211627e-07
10276,181867.5,236.261198,230.918459,-23.078726,-23.640235,0.7555977984688327,3.273704791695309e-07
10277,181885.2,236.290991,230.948458,-23.112381,-23.671388999999998,0.7554995222200311,3.278265270356684e-07
10278,181902.9,236.320029,230.977915,-23.149096,-23.713382,0.7554028882790931,3.282753553990325e-07
10279,181920.6,236.349585,231.008303,-23.184244,-23.769744,0.7553030614799287,3.28739430510705e-07
10280,181938.3,236.378428,231.037451,-23.223621,-23.812879000000002,0.7552071755125302,3.291855846798697e-07
10281,181956.0,236.407988,231.067683,-23.256491,-23.828829,0.7551075860457406,3.2964938434520974e-07
10282,181973.7,236.437506,231.097525,-23.288806,-23.837208,0.755009143634107,3.301082575069003e-07
10283,181991.4,236.467184,231.127447,-23.314097,-23.837426,0.7549102996736834,3.3056941689535435e-07
10284,182009.1,236.496394,231.157835,-23.338222,-23.842741999999998,0.754809774942322,3.310388432820055e-07
10285,182026.8,236.526244,231.186633,-23.363372,-23.859704999999998,0.7547143781978222,3.314847216717709e-07
10286,182044.5,236.555415,231.216593,-23.375945,-23.858214,0.7546149957572468,3.319496394982302e-07
10287,182062.2,236.585013,231.246417,-23.393454,-23.854453999999997,0.7545159259503889,3.3241351315993484e-07
10288,182079.9,236.614184,231.276163,-23.387069,-23.830784,0.7544169772837374,3.328772349431297e-07
10289,182097.6,236.64382,231.306124,-23.392624,-23.813748,0.7543171738311188,3.333453848508583e-07
10290,182115.3,236.673746,231.335894,-23.397806,-23.80165,0.7542178675371597,3.338116222328935e-07
10291,182133.0,236.702723,231.365542,-23.410959,-23.797147,0.7541188301039422,3.342770142911178e-07
10292,182150.7,236.732439,231.39535,-23.431116,-23.818417999999998,0.7540191189416514,3.3474599364646807e-07
10293,182168.4,236.762251,231.425368,-23.451452,-23.848397,0.7539185638678809,3.3521936892988435e-07
10294,182186.1,236.791323,231.455386,-23.476524,-23.877426,0.7538178665312633,3.356938441667623e-07
10295,182203.8,236.821001,231.484358,-23.490649,-23.893800000000002,0.7537205428465666,3.361528322365359e-07
10296,182221.5,236.850211,231.514006,-23.500383,-23.893843,0.7536208104955022,3.366235963864206e-07
10297,182239.2,236.879672,231.544356,-23.513112,-23.888734,0.7535185719626064,3.3710662850072737e-07
10298,182256.9,236.909426,231.573813,-23.528916,-23.898260999999998,0.7534192012790648,3.3757653611354854e-07
10299,182274.6,236.937857,231.603129,-23.550979,-23.909501000000002,0.7533201686620274,3.380452612278262e-07
10300,182292.3,236.967707,231.633742,-23.571081,-23.923517,0.753216607801797,3.3853586423049364e-07
10301,182310.0,236.997286,231.662943,-23.595799,-23.941392,0.7531176834846182,3.390049260199035e-07
10302,182327.7,237.026594,231.693034,-23.623502,-23.963579,0.7530156006492523,3.3948939953676316e-07
10303,182345.4,237.055899,231.723143,-23.644188,-23.978182,0.7529133106647569,3.3997529924612024e-07
10304,182363.1,237.085711,231.753191,-23.662037,-23.982561,0.7528110818910161,3.4046135033438674e-07
10305,182380.8,237.11529,231.782683,-23.671763,-23.99795,0.7527106025463363,3.409395151754424e-07
10306,182398.5,237.143957,231.812697,-23.675214,-24.016533,0.7526081997908742,3.414272732871204e-07
10307,182416.2,237.173693,231.842787,-23.673355,-24.029237000000002,0.7525053906115124,3.419174136598535e-07
10308,182433.9,237.203562,231.87179,-23.673066,-24.035176,0.7524061556616901,3.423909381572443e-07
10309,182451.6,237.232691,231.901881,-23.675187,-24.024586,0.7523030527458775,3.4288336192567215e-07
10310,182469.3,237.26237,231.931506,-23.67449,-24.006256999999998,0.7522014015994511,3.43369291277984e-07
10311,182487.0,237.291441,231.961748,-23.685692,-23.998882,0.7520974847045292,3.4386650421547316e-07
10312,182504.7,237.320826,231.991392,-23.695031,-23.990782,0.7519954765371333,3.443550279924601e-07
10313,182522.4,237.349398,232.021582,-23.704719,-23.96732,0.7518914405068694,3.4485371658288244e-07
10314,182540.1,237.379324,232.050295,-23.701604,-23.944309999999998,0.7517923544359597,3.453291028687744e-07
10315,182557.8,237.408671,232.081084,-23.698011,-23.928776000000003,0.7516859524320271,3.458400522071692e-07
10316,182575.5,237.437781,232.110785,-23.701287,-23.933741,0.7515831611357344,3.4633411627460475e-07
10317,182593.2,237.466914,232.140547,-23.716295,-23.954791999999998,0.7514800113600578,3.4683035166072074e-07
10318,182610.9,237.496046,232.169997,-23.735102,-23.970556000000002,0.7513777973763327,3.4732252868208136e-07
