wt,cp(J/gK),cp(cal)
1.47,4.133792,0.988
2.87,4.1886024,1.0011
4.02,4.1894392,1.0013
8.53,4.186092,1.0005
15.07,4.1614064,0.9946
24.05,4.1789792,0.9988
30.11,4.2191456,1.0084
32.3,4.2375552,1.0128
