T(K),X,m,cp(J/gK)
247.5,0.0142,0.85,4.57
248.5,0.0142,0.85,4.52
249.5,0.0142,0.85,4.49
250.5,0.0142,0.85,4.45
251.5,0.0142,0.85,4.43
252.5,0.0142,0.85,4.413
253.5,0.0142,0.85,4.391
254.5,0.0142,0.85,4.375
255.5,0.0142,0.85,4.363
256.5,0.0142,0.85,4.35
257.5,0.0142,0.85,4.34
258.5,0.0142,0.85,4.331
259.5,0.0142,0.85,4.322
260.5,0.0142,0.85,4.315
261.5,0.0142,0.85,4.308
262.5,0.0142,0.85,4.301
263.5,0.0142,0.85,4.295
264.5,0.0142,0.85,4.29
265.5,0.0142,0.85,4.285
266.5,0.0142,0.85,4.28
267.5,0.0142,0.85,4.275
268.5,0.0142,0.85,4.271
269.5,0.0142,0.85,4.267
270.5,0.0142,0.85,4.264
271.5,0.0142,0.85,4.26
272.5,0.0142,0.85,4.256
273.5,0.0142,0.85,4.2535
274.5,0.0142,0.85,4.2504
275.5,0.0142,0.85,4.2475
276.5,0.0142,0.85,4.245
277.5,0.0142,0.85,4.2423
278.5,0.0142,0.85,4.2403
279.5,0.0142,0.85,4.237
280.5,0.0142,0.85,4.236
281.5,0.0142,0.85,4.234
282.5,0.0142,0.85,4.231
283.5,0.0142,0.85,4.23
284.5,0.0142,0.85,4.228
285.5,0.0142,0.85,4.227
286.5,0.0142,0.85,4.225
287.5,0.0142,0.85,4.223
288.5,0.0142,0.85,4.222
289.5,0.0142,0.85,4.221
290.5,0.0142,0.85,4.22
291.5,0.0142,0.85,4.218
292.5,0.0142,0.85,4.218
293.5,0.0142,0.85,4.216
294.5,0.0142,0.85,4.216
295.5,0.0142,0.85,4.214
296.5,0.0142,0.85,4.214
297.5,0.0142,0.85,4.213
298.5,0.0142,0.85,4.213
299.5,0.0142,0.85,4.213
