T(K),X,m,cp(J/gK),cpm(J/molK)
175.1109525,0.3289689054909661,28.785385884595918,-12.738696140877886,-225.68714292378846
175.139559,0.32891817672391427,28.778771399577256,-12.781858462549264,-226.45249762640648
175.167845,0.32886801787276554,28.77223220860477,-12.596064396650632,-223.16148335719183
175.1964135,0.3288173596326297,28.76562890449273,-12.83490723544304,-227.39366961299734
175.224894,0.3287668589805386,28.75904713405224,-12.483540949221007,-221.16922249614578
175.25313,0.32871679337328275,28.752523040715044,-12.620575348616125,-223.5976882220853
175.28148099999999,0.32866652534983914,28.745973549341837,-12.556144067040016,-222.4568094746717
175.3096985,0.3286164954976187,28.739456063423464,-12.535813960021844,-222.09726244524165
175.3379045,0.3285664874818858,28.73294239281269,-12.475015182042476,-221.0207267508812
175.36636950000002,0.3285160217202713,28.726370083200575,-12.460416373422605,-220.7627211582804
175.3947775,0.3284656584496967,28.719812106118376,-12.422919154921365,-220.09901764929788
175.4228615,0.32841587097734837,28.713330072515816,-12.268495045148857,-217.36368299223827
175.4512125,0.3283656115543783,28.706787568460438,-12.325298258193492,-218.37071124599055
175.4796015,0.328315286147921,28.700237456052708,-12.237505921632385,-216.81589947001447
175.5079255,0.32826507732835697,28.693703496075177,-12.129663071833662,-214.90583468061627
175.5360935,0.32821514637548915,28.68720666507128,-12.110024841453736,-214.5585145618918
175.56412749999998,0.3281654542552065,28.680741868855776,-11.971347427388249,-212.10211506846792
175.592421,0.3281153034552078,28.67421836932557,-11.978878837413205,-212.2361665257297
175.6208595,0.3280648969405353,28.66766258826599,-11.799559530794376,-209.05967875217613
175.64924050000002,0.3280145936267113,28.661121209821278,-11.836232675377778,-209.71004662726105
175.67767550000002,0.32796419587104314,28.654568532312,-11.665916803000107,-206.69305297189592
175.7060075,0.3279139819181451,28.64804073006032,-11.566088433232956,-204.92491868403786
175.73444999999998,0.3278635733572553,28.641488609850008,-11.445842043695242,-202.79501426603173
175.76271300000002,0.32781348413367517,28.634978970594915,-11.180981524075214,-198.10284372047784
175.790705,0.3277638763638592,28.628532857633942,-11.10679679223933,-196.78901349272883
175.81877,0.3277141403783975,28.622071039131626,-10.912060121332702,-193.33924496240232
175.84687300000002,0.3276643381942357,28.615601577870173,-10.716907429468343,-189.88208630764848
175.87512850000002,0.3276142668979938,28.60909812423866,-10.532868308301024,-186.62182141608395
175.903613,0.3275637909315033,28.602543090770034,-10.373641668991146,-183.8011718903829
175.9320475,0.327513404691071,28.59600069092861,-10.113971219495552,-179.20082682921566
175.96029149999998,0.3274633571137277,28.589503235233423,-9.892565012503471,-175.27842504268423
175.9882915,0.32741374295891496,28.583063003304016,-9.492017323942095,-168.18192301653738
176.0165925,0.3273635965097529,28.576554641609132,-9.352695259980692,-165.71385927534183
176.04528249999998,0.3273127618617353,28.569957951004948,-9.087993413425203,-161.02426463627137
176.073141,0.3272634015289061,28.563553532747314,-8.299612907750012,-147.05588007124183
176.10078249999998,0.3272144266538386,28.55720005573921,-8.10692830349345,-143.64222243560602
176.129313,0.3271638776589322,28.550643339235258,-7.974846480672622,-141.3023488669111
176.157908,0.32711321538842714,28.54407291816791,-7.473003006490524,-132.41082014019472
176.18584299999998,0.32706372340488077,28.53765522763509,-6.7062576042235875,-118.82553815128703
176.213927,0.32701396837435776,28.531204378919078,-6.526541521325648,-115.6415514422492
176.24206800000002,0.3269641132832573,28.52474151378338,-5.9024318749304765,-104.58346728933185
176.270125,0.326914407912646,28.51829901045768,-5.68281261635359,-100.6923863843401
176.29828500000002,0.3268645209612338,28.511833928418344,-5.078454141156476,-89.98416317013134
176.326487,0.32681456048488655,28.50536027826039,-4.760611205230101,-84.35260765922212
176.35447549999998,0.3267649790839681,28.49893669686964,-3.933155898424364,-69.69124145440628
176.382464,0.32671539851967446,28.49251416992379,-3.9095284832075166,-69.27278743642364
176.4107765,0.3266652448371173,28.486018365149107,-3.1934481646350585,-56.5847509900693
176.439089,0.32661509197887245,28.47952363472845,-2.7471301206045546,-48.67657634360771
176.46728000000002,0.32656515514930934,28.473057840868925,-2.00039003043932,-35.445142443427244
176.49527999999998,0.32651555743009597,28.4666369039285,-1.5441398542856621,-27.360871028237163
176.523314,0.3264659002461085,28.460209216010533,-0.8515016234973168,-15.087942164475427
176.551207,0.32641649355868246,28.453814893231208,-0.2659062231444466,-4.711663531549784
176.57916849999998,0.326366966263654,28.44740590255211,0.2029748091192643,3.596575236243628
176.6074505,0.32631687200121845,28.440924503058863,0.5465655452823911,9.684796809205812
176.63564150000002,0.3262669396305468,28.434465008940126,1.5385909047172004,27.262939127514205
176.663737,0.3262171770995134,28.42802843861727,1.8776710294856338,33.271337896105734
176.691981,0.3261671522235103,28.421558893307925,2.6155895072604043,46.34699687319668
176.7203315,0.3261169393849917,28.415066005390084,2.951235110440488,52.294628078934295
176.7482015,0.3260675782174068,28.40868418782149,4.359035786364764,77.24047578458239
176.775984,0.3260183726354046,28.40232341600621,4.308178820841163,76.33952607791778
176.803858,0.3259690055972153,28.395942706133955,5.582864015346264,98.92681433901015
176.83145000000002,0.3259201385797167,28.38962754458679,5.883127868001324,104.24770095470267
176.85957200000001,0.32587033347689753,28.383192094890273,5.962149956185928,105.64825798065247
176.88761,0.32582067770394374,28.376776887070154,7.27480127457434,128.90857964933684
176.91587700000002,0.3257706169213996,28.37031031113421,6.792636615765639,120.36502893327872
176.94399900000002,0.3257208134692899,28.363877928535533,8.709684619431128,154.33542396117141
176.9715865,0.32567195710949703,28.357568791196858,8.752626671386809,155.09679314102982
176.9994415,0.3256226275098847,28.351199468819694,9.477904487309495,167.94921436651407
177.0269305,0.32557394654531135,28.34491481012675,10.693743220842748,189.4945044622722
177.05456800000002,0.3255250030546042,28.338597174156096,10.255689251211662,181.7326447040549
177.08277750000002,0.3254750470607984,28.33214978953489,10.724169218441892,190.03474078694035
177.1109945,0.32542507823149786,28.325701703645137,11.287271462915838,200.0136181527528
177.13900999999998,0.3253754666600856,28.31930066407471,12.002483300991699,212.68798109441082
177.16701,0.3253258829462254,28.31290415936941,12.239505966111738,216.88872136751263
177.194983,0.3252763474386621,28.306514812231267,12.930380531069016,229.1319370576316
177.222613,0.32522741969810676,28.300204778938085,13.92582596715903,246.7723570557316
177.2502885,0.3251784117406477,28.29388531762737,13.709646048605965,242.94223109443968
177.278231,0.3251289313238914,28.287505864928416,13.951632624881201,247.2310675138632
177.3061545,0.32507948488470934,28.281131727348455,14.47937101881456,256.58363122310953
177.33391799999998,0.3250303220854666,28.27479507965999,15.081729827502484,267.25856870132276
177.3618225,0.3249809099089861,28.26842721951564,14.875400296565587,263.60301932970566
177.39000149999998,0.32493101195046054,28.261997701521164,15.162761690209122,268.6960473783447
177.417563,0.32488220769879467,28.255710030686735,16.81221534660397,297.92650019694906
177.44488,0.3248338366412693,28.249479067137276,16.24111294523307,287.80689129434006
177.47288,0.32478425641635894,28.243093270047428,15.667790595105787,277.6479057297521
177.500594,0.32473518284458563,28.236773651901828,17.490772135766843,309.9537209788607
177.5283305,0.32468606964285684,28.23044984985054,16.13010584521557,285.8421827220996
177.556357,0.32463644313597523,28.224060888989428,17.236195355362447,305.44410851998225
177.58445999999998,0.32458668135721497,28.217655455815475,16.50209277079767,292.4358522070254
177.612563,0.3245369197502841,28.211250988539213,17.573138692976915,311.41689761063196
177.6401545,0.324488064002188,28.204964025959423,18.19690070619875,322.4716100275046
177.667872,0.3244389852860798,28.198649286486045,17.718809728406185,314.00013455246693
177.695956,0.32438925774328964,28.19225200110043,17.642333310339573,312.6457703392162
177.72376500000001,0.32434001724564876,28.185918300348572,18.734028765072498,331.9930182217189
177.751307,0.3242912496102742,28.179646332716015,18.754128686073216,332.3501512807563
177.7790015,0.3242422120286164,28.17334056029465,18.806496740543892,333.279130903768
177.80670750000002,0.32419315415032324,28.16703309359789,19.044130102152923,337.4913026122723
177.83449000000002,0.3241439608684609,28.160709137266856,19.04712613988553,337.5453544301407
177.8621655,0.32409495708419594,28.154410456688122,19.974220259970515,353.9759361907871
177.889727,0.3240461551774903,28.148138631975186,19.925522936287653,353.11393336448543
177.9173685,0.3239972116270598,28.14184951327637,20.270429319387492,359.22727097487393
177.9452235,0.32394789003626495,28.135512738568956,20.200168136724233,357.98313861213694
177.97332649999998,0.3238981293026543,28.129120480274906,20.412188103407722,361.7415498155229
178.001273,0.32384864564160903,28.12276474771274,21.215656971855154,375.9815699780417
178.029311,0.3237989999156046,28.116389134145894,20.94299083135041,371.1504726289656
178.05708950000002,0.3237498136117552,28.110073443739893,22.823803533123225,404.4832736763602
178.084811,0.3237007281579713,28.103771618668063,21.94537613825362,388.91689070667445
178.1129215,0.32365095382221115,28.09738228568187,22.490636724458856,398.58116590196175
178.140509,0.3236021054391983,28.09111272782828,24.10617433121097,427.21307756768607
178.16772650000001,0.3235539120876309,28.08492812884794,24.393060433347618,432.2985154112825
178.1956045,0.32350454907073145,28.07859434153938,22.99764552100188,407.5698635414042
178.2234445,0.32345525318965956,28.072270090838984,25.211723427293627,446.80956026014087
178.251162,0.32340617405435274,28.065974562300756,24.017560639894747,425.6474614059777
178.2792875,0.32335637229597025,28.05958727426245,24.662155703700968,437.07245158503633
178.307028,0.3233072520632054,28.053288315737703,25.857685538947766,458.2614007370169
178.33462,0.32325839457582883,28.047023957580585,25.68862221925402,455.26646785373936
178.3627575,0.3232085709407367,28.04063665435851,24.74404065901406,438.52738599309845
178.390761,0.32315898434269785,28.034280672538273,26.787246021375427,474.73954320213693
178.418276,0.3231102624987984,28.028036441425762,26.817718933299616,475.2809374064633
178.4461235,0.3230609516214016,28.0217176345088,26.20506935999035,464.4244863020351
178.47394400000002,0.3230116882754935,28.015405837559406,27.400428447346332,485.61085166338563
178.5017455,0.3229624582814685,28.00909923137233,26.85932672465653,476.0223940268273
178.5294635,0.32291337584130764,28.002812440535966,28.179797333865203,499.42623981116975
178.55721899999998,0.32286422667743864,27.996518016563147,27.116005369976055,480.57417925807016
178.584837,0.3228153206658592,27.99025563947535,29.03684359047633,514.6184488675168
178.61233349999998,0.32276662946456985,27.984021667197094,27.88150796342632,494.14388360877354
178.640223,0.32271724197032087,27.977699463654762,28.104773711245347,498.1022400838061
178.6682725,0.3226675707607032,27.971341870996856,27.675741070180063,490.4998788533749
178.6961315,0.32261823650184773,27.96502832876718,29.086373674770375,515.5021253728365
178.72380700000002,0.3225692267915897,27.95875723110132,28.60388529392662,506.9523444887588
178.752005,0.32251929137386315,27.95236861658412,27.8261475687239,493.16976400030694
178.77988299999998,0.32246992220040627,27.94605337171786,29.935551837155046,530.5567728652705
178.80731450000002,0.32242134329427735,27.93984011518446,29.352217239694316,520.2196156410841
178.8348985,0.3223724938695774,27.933593157553364,29.58053142292096,524.2675842837846
178.862765,0.3223231436801985,27.92728307568256,28.711618786684657,508.8689460656302
178.89033,0.3222743269478016,27.92104210754304,30.800578740406678,545.8940601615732
178.9179785,0.32222536184161577,27.914783073692345,28.446049974503367,504.16499258905253
178.94613850000002,0.32217549034916404,27.90840910928871,29.302779948467496,519.3507824577357
178.97379899999999,0.32212650294181555,27.902149050913593,30.213427082143514,535.4922413264107
179.00134500000001,0.32207771777917693,27.895915736337248,29.621630793539925,525.0049269608421
179.02934900000002,0.3220281209146866,27.889579629624006,28.794059932527176,510.33876770145406
179.057349,0.32197853055171366,27.88324528027624,29.647762044977757,525.4710742338946
