index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
10321,174408.0,223.826354,218.383318,-22.638249,-23.038445,0.7195256207545477,2.6531525332273986e-07
10322,174424.9,223.853678,218.412295,-22.618352,-23.034715000000002,0.719448703987553,2.6556632398699875e-07
10323,174441.8,223.882334,218.44044,-22.59011,-23.017176,0.7193739259799503,2.658105962560775e-07
10324,174458.7,223.91128,218.468954,-22.569072,-23.003327,0.7192980974149863,2.6605848463256976e-07
10325,174475.6,223.938891,218.497546,-22.561885,-22.998062,0.7192219903881305,2.663074699649215e-07
10326,174492.5,223.966467,218.524977,-22.577588,-23.021342999999998,0.7191489067778262,2.665467399021182e-07
10327,174509.4,223.99499,218.554339,-22.592795,-23.045102,0.7190706056718204,2.6680328318873237e-07
10328,174526.3,224.023299,218.582274,-22.608467,-23.065034,0.7189960400351769,2.6704777145170056e-07
10329,174543.2,224.051276,218.61106,-22.620386,-23.087844,0.7189191313519919,2.673001301967126e-07
10330,174560.1,224.0791,218.639708,-22.622559,-23.096615999999997,0.7188425191851382,2.6755170612347e-07
10331,174577.0,224.107161,218.6682,-22.617915,-23.086481,0.7187662526584754,2.678023350299874e-07
10332,174593.9,224.136298,218.69631,-22.622068,-23.079877999999997,0.7186909386198557,2.6805001829277586e-07
10333,174610.8,224.164626,218.724398,-22.636946,-23.078933,0.7186156139250538,2.682979199919444e-07
10334,174627.7,224.193034,218.753146,-22.657052,-23.078149,0.7185384471172758,2.6855207413412074e-07
10335,174644.6,224.221785,218.78187,-22.682813,-23.081854,0.7184612716965321,2.688064491551678e-07
10336,174661.5,224.249804,218.810309,-22.70527,-23.071927,0.7183847899678304,2.6905872757554405e-07
10337,174678.4,224.277956,218.838663,-22.730652,-23.066098,0.718308465347514,2.693106760931485e-07
10338,174695.3,224.305937,218.866736,-22.744936,-23.065158,0.7182328266981995,2.6956054594018397e-07
10339,174712.2,224.334265,218.895426,-22.75977,-23.068082999999998,0.7181554530945826,2.6981633843847774e-07
10340,174729.1,224.363097,218.923182,-22.779526,-23.091326000000002,0.7180805284802873,2.7006421926545343e-07
10341,174746.0,224.391734,218.951823,-22.801375,-23.11257,0.7180031427066549,2.70320432704807e-07
10342,174762.9,224.419638,218.980524,-22.807432,-23.110031999999997,0.7179255211418998,2.7057762141957653e-07
10343,174779.8,224.448641,219.009344,-22.813482,-23.104956,0.7178475034037143,2.708363192049923e-07
10344,174796.7,224.476813,219.037486,-22.813529,-23.09232,0.7177712490513648,2.710893597379638e-07
10345,174813.6,224.504679,219.066283,-22.798928,-23.059193,0.7176931461137153,2.713487298189321e-07
10346,174830.5,224.533335,219.094714,-22.7937,-23.040702,0.7176159625023876,2.716052405205005e-07
10347,174847.4,224.561526,219.123606,-22.793122,-23.032511,0.7175374526063295,2.718663563716639e-07
10348,174864.3,224.589892,219.151343,-22.803518,-23.056525,0.7174620102205997,2.7211745817767863e-07
10349,174881.2,224.617949,219.180239,-22.79593,-23.056320999999997,0.7173833413116949,2.7237949506986325e-07
10350,174898.1,224.645659,219.208998,-22.794584,-23.067421,0.7173049701378816,2.726407393738306e-07
10351,174915.0,224.674818,219.237467,-22.795979,-23.073667,0.7172273151814551,2.7289979187550273e-07
10352,174931.9,224.703204,219.265765,-22.80751,-23.085179,0.7171500535135318,2.7315772616054446e-07
10353,174948.8,224.731245,219.294215,-22.836365,-23.135044,0.7170723031999886,2.7341748670695054e-07
10354,174965.7,224.76013,219.322569,-22.859768,-23.177896,0.7169947416517293,2.736768116573529e-07
10355,174982.6,224.788168,219.351134,-22.863103,-23.193281,0.7169165285037973,2.739385119854276e-07
