T(K),X,m(mol/kg),cp(J/gK),cpm(J/molK)
181.5049275,0.3176397845362456,27.332606321553776,3.716322124657875,65.88383444473511
181.53319399999998,0.3175896140723032,27.32628003816324,3.6267476512554184,64.29602299264957
181.56135749999999,0.317539624570417,27.319977498438647,3.7868047251458052,67.1337541513617
181.589514,0.317489645630016,27.313677213225805,3.6402675220369285,64.53607898630489
181.6180405,0.3174390080103163,27.307294836658627,3.5517318575120522,62.96666805014735
181.646109,0.3173891814957274,27.30101561624395,3.967714670697952,70.34159674371861
181.674216,0.3173392847401825,27.29472846251031,3.5362044348998243,62.69175138671713
181.70278050000002,0.31728857385223325,27.288339667064157,3.6608031297770145,64.90089436114616
181.73099000000002,0.31723849124802006,27.28203095721751,3.7695659573839584,66.82929933759057
181.7590965,0.3171885895651363,27.275745957772596,3.711910372553854,65.80733316955622
181.787375,0.31713838053381177,27.269423175600757,3.632095647320485,64.39250845330466
181.8158325,0.31708785167451065,27.263061056382732,3.5750793181473965,63.38186490408584
181.8443395,0.31703723288769114,27.256688558251305,3.591369396370138,63.670854190705775
181.872515,0.3169872007165737,27.250390838507563,3.8059636365117018,67.4755581477017
181.90061400000002,0.3169373023790879,27.244110883736187,3.6661945089135735,64.99779184007404
181.9288545,0.3168871507290146,27.237799972754846,3.7478254374939906,66.4452148312842
181.95725499999998,0.31683671286594495,27.231453980242097,3.6064386785190803,63.93875418207668
181.9857695,0.3167860704393352,27.225083192634145,3.71568056592381,65.87570202159093
182.0139525,0.31673601467779416,27.218787135186375,3.865556443573465,68.53306535354811
182.0421585,0.3166859159750547,27.21248660017223,3.722305916772513,65.99354451499669
182.07054349999999,0.31663549721184947,27.206146746252614,3.7552284389303243,66.57742829641546
182.09886749999998,0.31658518466016816,27.199821180277038,3.768423451118658,66.81155985486033
182.12728700000002,0.31653470030761527,27.19347495064198,3.6897892165491366,65.41761921479949
182.155592,0.31648441718603987,27.187154948987402,3.8511530685211994,68.27869568844476
182.18388950000002,0.31643414521270147,27.180837278025898,3.7098738569128313,65.77408831068864
182.2123205,0.31638363386523294,27.174490460783638,3.7789237688361994,66.99850152593902
182.240744,0.3163331336196424,27.168145976041366,3.731993922216222,66.1666504842819
182.2690035,0.31628292253680684,27.1618387488009,3.896433276032061,69.08228955991102
182.296946,0.3162332725077582,27.15560290875798,3.9388427743489114,69.83439376587884
182.3252435,0.3161829894615291,27.14928848727805,3.641132419091559,64.55627364397664
182.3537965,0.3161322501173674,27.14291770626842,3.7493477579253716,66.47509614468827
182.3820745,0.31608199717448826,27.13660892905186,3.81070677746871,67.56317349478512
182.4102995,0.31603183614159125,27.13031261475933,3.765290218992944,66.75813873944449
182.4385015,0.31598171369859956,27.12402206673815,3.8023556724011573,67.41549946928694
182.466856,0.3159313179057967,27.117698141711283,3.641139420261623,64.55733412090629
182.49507749999998,0.3158811561796562,27.111404513807333,3.881051934000945,68.81117744647486
182.5232605,0.31583106056051086,27.105120101177825,3.662393818036826,64.93454938413684
182.551615,0.3157806577405499,27.098798079431457,3.765471932191143,66.76232691617415
182.58000800000002,0.31573018409977816,27.092468107951333,3.638585155594214,64.5127948525621
182.6084125,0.3156796876152707,27.08613620600328,3.7526766639371427,66.5358522469572
182.63667149999998,0.3156294473990235,27.079837365583693,3.7322400615852453,66.17369800946074
182.6651215,0.3155788651853303,27.07349658161779,3.6286755289512342,64.33765637743761
182.693343,0.31552868680838175,27.067207346981316,3.8977478674341977,69.10860067749296
182.7215145,0.31547859491379104,27.060929871505138,3.6645728675748153,64.9745039088099
182.7499605,0.31542801246351865,27.054591852207253,3.71363045396643,65.84450863525255
182.77817399999998,0.3153778409817141,27.04830625273967,3.840041565498316,68.08603715982419
182.8063225,0.31532778263181,27.04203574477882,3.7812136038740265,67.0431786335604
182.83456999999999,0.3152775457435847,27.03574379415115,3.796669258427025,67.31741152320004
182.8626655,0.31522757670249707,27.02948630602782,3.9092566934468436,69.31385946106472
182.8909365,0.3151772930191094,27.023190337914425,3.6938930415487916,65.49550085056663
182.9195315,0.3151264304859086,27.016822833143195,3.7014622124197953,65.62990031086795
182.947943,0.3150758917709749,27.010496804026122,3.834730347805885,67.99304950120194
182.976057,0.31502587971033363,27.00423761620221,3.921550641884318,69.5326479863118
183.004183,0.3149758437588323,26.997976352945138,3.8444084063779114,68.16504276906889
183.03256449999998,0.3149253506816021,26.991658814310327,3.7646405369577027,66.75087628413829
183.0608315,0.3148750587067407,26.98536736262367,3.932600712154074,69.72918179847899
183.08861,0.31482563331563784,26.979185219137612,4.096630970518686,72.6378191520391
183.116755,0.3147755532377122,26.972922096854457,3.6589099324062677,64.87672599784253
183.1453845,0.3147246083764721,26.96655176217803,3.7275482329762384,66.09395688720494
183.17370449999999,0.31467421157948344,26.960250891362175,3.8384654948223984,68.06085230062048
183.201544,0.3146246672472359,26.95405750339007,4.035328693059056,71.55169029871875
183.229193,0.31457545936450954,26.947907060210618,3.948200623465054,70.00699343735975
183.257521,0.3145250403700031,26.941606157308257,3.553957362970331,63.01670467205855
183.2859975,0.314474354331452,26.9352728159069,3.8283049642734865,67.88147502585885
183.314074,0.3144243775603779,26.929029016077774,3.8004737670069275,67.38818105954694
183.342524,0.3143737332002902,26.922702740225073,3.5523308160678266,62.98841289899501
183.3708135,0.3143233717896504,26.916412735907166,3.8827485112620557,68.84743815867611
183.39871449999998,0.31427369928415916,26.91020967901915,3.7900970558203664,67.20476972040738
183.42674499999998,0.31422379350622565,26.903978396228858,3.7845463079002544,67.10653864964632
