T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
270.5,0.084,5.384478701694496,4.293688541654697,0.2652702353043267,77.14456806482744
271.5,0.084,5.384478701694496,4.292151228064108,0.17789237933979382,77.11694719950951
272.5,0.084,5.384478701694496,4.291541054884977,0.14086276499814632,77.10598423703748
273.5,0.084,5.384478701694496,4.289903065160585,0.11562362987538014,77.0765545267646
274.5,0.084,5.384478701694496,4.288067364368359,0.11355058056808824,77.04357254790455
275.5,0.084,5.384478701694496,4.287234444756897,0.1129807506788857,77.0286075072325
276.5,0.084,5.384478701694496,4.286434913386745,0.11758848881679834,77.01424235205035
277.5,0.084,5.384478701694496,4.285030764772976,0.10501554995643145,76.9890140577162
278.5,0.084,5.384478701694496,4.284482119556393,0.09065802127957574,76.97915656622759
279.5,0.084,5.384478701694496,4.2852647658535385,0.09491555648397063,76.99321834782984
280.5,0.084,5.384478701694496,4.286042585878506,0.09145352375852789,77.00719341595044
281.5,0.084,5.384478701694496,4.287269849771059,0.08303571011570257,77.02924362801731
282.5,0.084,5.384478701694496,4.289337275934146,0.08877144876502925,77.0663890093858
283.5,0.084,5.384478701694496,4.291915164474699,0.10523748049683267,77.11270585236379
284.5,0.084,5.384478701694496,4.294707529409638,0.11973377920699702,77.16287618602804
285.5,0.084,5.384478701694496,4.2974550059099155,0.12158640383261067,77.21224001058727
286.5,0.084,5.384478701694496,4.300292963974743,0.10927972844263949,77.26322951459373
287.5,0.084,5.384478701694496,4.302769987297941,0.1108441923534883,77.3077341153585
288.5,0.084,5.384478701694496,4.3045122558227265,0.15303026661275915,77.33903739958454
289.5,0.084,5.384478701694496,4.305498167195415,0.2274679897225395,77.3567512384572
290.5,0.084,5.384478701694496,4.305385607978874,0.2665540770801504,77.35472889052545
291.5,0.084,5.384478701694496,4.3046114944677445,0.2462991736179468,77.34082041722334
