index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
5596,99031.5,103.620795,103.651205,-0.732604,-0.08930000000000005,,
5597,99049.2,103.623282,103.651923,-0.739459,-0.09516599999999997,,
5598,99066.9,103.62583,103.652762,-0.743374,-0.09775499999999993,,
5599,99084.6,103.626593,103.65354,-0.744675,-0.10872499999999996,,
5600,99102.3,103.628271,103.65386,-0.747286,-0.11733700000000002,,
5601,99120.0,103.630713,103.654791,-0.745648,-0.114375,,
5602,99137.7,103.632758,103.65621,-0.738454,-0.101526,,
5603,99155.4,103.634283,103.655844,-0.741396,-0.0958150000000001,,
5604,99173.1,103.636313,103.6565,-0.743678,-0.09677399999999992,,
5605,99190.8,103.63851,103.658087,-0.75216,-0.10859600000000003,,
5606,99208.5,103.639914,103.658759,-0.756402,-0.11117699999999997,,
5607,99226.2,103.642218,103.659476,-0.759337,-0.12244900000000003,,
5608,99243.9,103.643561,103.660422,-0.761944,-0.13505699999999998,,
5609,99261.6,103.645422,103.661047,-0.763573,-0.13136199999999998,,
5610,99279.3,103.647467,103.66152,-0.757691,-0.12515699999999996,,
5611,99297.0,103.64971,103.662115,-0.76128,-0.12408599999999992,,
5612,99314.7,103.651388,103.663138,-0.758335,-0.11482199999999998,,
5613,99332.4,103.652869,103.66442,-0.765838,-0.125,,
5614,99350.1,103.654349,103.665091,-0.766487,-0.12465800000000005,,
5615,99367.8,103.6565,103.665625,-0.763218,-0.11573299999999997,,
5616,99385.5,103.658164,103.666769,-0.772355,-0.12854200000000005,,
5617,99403.2,103.659979,103.6677,-0.776269,-0.13113200000000003,,
5618,99420.9,103.661673,103.66825,-0.78247,-0.138339,,
5619,99438.6,103.662909,103.669134,-0.784751,-0.149621,,
5620,99456.3,103.664862,103.670416,-0.788008,-0.150223,,
5621,99474.0,103.666739,103.671133,-0.786044,-0.15092899999999998,,
5622,99491.7,103.668631,103.671332,-0.78441,-0.15863000000000005,,
5623,99509.4,103.670462,103.672873,-0.779175,-0.1440729999999999,,
5624,99527.1,103.672079,103.673102,-0.780154,-0.13207500000000005,,
5625,99544.8,103.67356,103.674567,-0.788308,-0.14523200000000003,,
5626,99562.5,103.67565,103.675375,-0.792875,-0.14814300000000002,,
5627,99580.2,103.677237,103.675879,-0.796791,-0.15573100000000006,,
5628,99597.9,103.679694,103.676993,-0.800702,-0.15831700000000004,,
5629,99615.6,103.680792,103.677573,-0.80527,-0.16455700000000006,,
5630,99633.3,103.682669,103.678748,-0.798078,-0.1633659999999999,,
5631,99651.0,103.684058,103.679465,-0.797747,-0.16404299999999994,,
5632,99668.7,103.685614,103.679617,-0.794481,-0.15578899999999996,,
5633,99686.4,103.687674,103.681433,-0.796755,-0.15540999999999994,,
5634,99704.1,103.689063,103.682425,-0.805892,-0.15556400000000004,,
5635,99721.8,103.690588,103.682974,-0.809154,-0.162829,,
5636,99739.5,103.692236,103.684271,-0.812084,-0.166767,,
5637,99757.2,103.693732,103.685339,-0.811751,-0.16610599999999998,,
5638,99774.9,103.695273,103.686011,-0.811746,-0.16577799999999998,,
5639,99792.6,103.696356,103.686957,-0.805863,-0.17388599999999999,,
