T(K),cp(J/gK)
241,3.65222620722715
242.597989949749,3.66574882184568
244.195979899498,3.68026833582322
245.793969849246,3.69569553836766
247.391959798995,3.71193349365292
248.989949748744,3.72887988574527
250.587939698492,3.74642887486543
252.185929648241,3.76447254299372
253.78391959799,3.78290200365523
255.381909547739,3.80160833070816
256.979899497487,3.8204945055462
258.577889447236,3.83948754878358
260.175879396985,3.85851880374144
261.773869346734,3.87752143713597
263.371859296482,3.89643053684822
264.969849246231,3.91518314524269
266.56783919598,3.93371824019877
268.165829145729,3.95197667746395
269.763819095477,3.96990109751673
271.361809045226,3.98744206077229
272.959798994975,4.00459066463103
274.557788944724,4.02135501000352
276.155778894472,4.03774509652371
277.753768844221,4.05377265256283
279.35175879397,4.0694509886698
280.949748743719,4.08479485580189
282.547738693467,4.09982030957884
284.145728643216,4.1145445817239
285.743718592965,4.12898568157069
287.341708542714,4.14315497491711
288.939698492462,4.15705628984958
290.537688442211,4.1706936453528
292.13567839196,4.18407159201164
293.733668341709,4.19719513718071
295.331658291457,4.21006967787892
296.929648241206,4.22270094045173
298.527638190955,4.23509492622156
300.125628140703,4.24725758796097
