T(K),latentHeat(J/g)
241.92,258.517702983234
241.93,258.547068214221
241.94,258.576426948765
241.95,258.605779191239
241.96,258.635124946013
241.97,258.664464217453
241.98,258.693797009927
241.99,258.723123327796
242,258.752443175426
242.01,258.781756557175
242.02,258.811063477404
242.03,258.840363940469
242.04,258.869657950728
242.05,258.898945512533
242.06,258.928226630236
242.07,258.95750130819
242.08,258.986769550742
242.09,259.01603136224
242.1,259.04528674703
242.11,259.074535709455
242.12,259.103778253858
242.13,259.133014384579
242.14,259.162244105956
242.15,259.191467422328
242.16,259.220684338029
242.17,259.249894857393
242.18,259.279098984752
242.19,259.308296724437
242.2,259.337488080775
242.21,259.366673058095
242.22,259.39585166072
242.23,259.425023892975
242.24,259.454189759182
242.25,259.48334926366
242.26,259.512502410728
242.27,259.541649204702
242.28,259.570789649898
242.29,259.599923750629
242.3,259.629051511206
242.31,259.658172935939
242.32,259.687288029137
242.33,259.716396795105
242.34,259.745499238149
242.35,259.774595362572
242.36,259.803685172675
242.37,259.832768672758
242.38,259.861845867118
242.39,259.890916760052
242.4,259.919981355855
242.41,259.949039658818
242.42,259.978091673234
242.43,260.007137403392
242.44,260.036176853578
242.45,260.06521002808
242.46,260.094236931182
242.47,260.123257567166
242.48,260.152271940312
242.49,260.181280054901
242.5,260.210281915209
242.51,260.239277525512
242.52,260.268266890085
242.53,260.297250013199
242.54,260.326226899125
242.55,260.355197552132
242.56,260.384161976486
242.57,260.413120176455
242.58,260.4420721563
242.59,260.471017920285
242.6,260.499957472669
242.61,260.528890817711
242.62,260.557817959667
242.63,260.586738902794
242.64,260.615653651344
242.65,260.644562209569
242.66,260.673464581719
242.67,260.702360772043
242.68,260.731250784786
242.69,260.760134624194
242.7,260.78901229451
242.71,260.817883799975
242.72,260.846749144828
242.73,260.875608333308
242.74,260.904461369652
242.75,260.933308258093
242.76,260.962149002864
242.77,260.990983608196
242.78,261.019812078319
242.79,261.04863441746
242.8,261.077450629845
242.81,261.106260719699
242.82,261.135064691243
242.83,261.163862548699
242.84,261.192654296285
242.85,261.221439938219
242.86,261.250219478717
242.87,261.278992921991
242.88,261.307760272254
242.89,261.336521533717
242.9,261.365276710588
242.91,261.394025807075
242.92,261.422768827381
242.93,261.451505775711
242.94,261.480236656267
242.95,261.508961473247
242.96,261.537680230852
242.97,261.566392933277
242.98,261.595099584717
242.99,261.623800189365
243,261.652494751412
243.01,261.681183275048
243.02,261.709865764462
243.03,261.738542223838
243.04,261.767212657362
243.05,261.795877069217
243.06,261.824535463582
243.07,261.853187844637
243.08,261.881834216561
243.09,261.910474583528
243.1,261.939108949713
243.11,261.967737319288
243.12,261.996359696423
243.13,262.024976085287
243.14,262.053586490048
243.15,262.08219091487
243.16,262.110789363918
243.17,262.139381841352
243.18,262.167968351335
243.19,262.196548898022
243.2,262.225123485572
243.21,262.253692118139
243.22,262.282254799877
243.23,262.310811534936
243.24,262.339362327467
243.25,262.367907181617
243.26,262.396446101533
243.27,262.424979091359
243.28,262.453506155238
243.29,262.482027297311
243.3,262.510542521717
243.31,262.539051832593
243.32,262.567555234076
243.33,262.596052730299
243.34,262.624544325395
243.35,262.653030023494
243.36,262.681509828725
243.37,262.709983745215
243.38,262.738451777089
243.39,262.766913928471
243.4,262.795370203483
243.41,262.823820606244
243.42,262.852265140873
243.43,262.880703811487
243.44,262.9091366222
243.45,262.937563577126
243.46,262.965984680375
243.47,262.994399936058
243.48,263.022809348282
243.49,263.051212921153
243.5,263.079610658775
243.51,263.108002565252
243.52,263.136388644683
243.53,263.164768901168
243.54,263.193143338805
243.55,263.221511961689
243.56,263.249874773913
243.57,263.27823177957
243.58,263.30658298275
243.59,263.334928387541
243.6,263.363267998031
243.61,263.391601818304
243.62,263.419929852444
243.63,263.448252104532
243.64,263.476568578648
243.65,263.504879278871
243.66,263.533184209275
243.67,263.561483373936
243.68,263.589776776928
243.69,263.618064422319
243.7,263.64634631418
243.71,263.674622456579
243.72,263.702892853581
243.73,263.731157509249
243.74,263.759416427647
243.75,263.787669612835
243.76,263.815917068871
243.77,263.844158799812
243.78,263.872394809713
243.79,263.900625102629
243.8,263.92884968261
243.81,263.957068553706
243.82,263.985281719966
243.83,264.013489185435
243.84,264.041690954159
243.85,264.069887030181
243.86,264.09807741754
243.87,264.126262120278
243.88,264.15444114243
243.89,264.182614488033
243.9,264.210782161122
243.91,264.238944165727
243.92,264.267100505881
243.93,264.29525118561
243.94,264.323396208943
243.95,264.351535579905
243.96,264.379669302518
243.97,264.407797380805
243.98,264.435919818786
243.99,264.464036620478
244,264.492147789898
244.01,264.52025333106
244.02,264.548353247978
244.03,264.576447544661
244.04,264.604536225121
244.05,264.632619293364
244.06,264.660696753395
244.07,264.688768609219
244.08,264.716834864838
244.09,264.744895524252
244.1,264.77295059146
244.11,264.801000070458
244.12,264.829043965243
244.13,264.857082279807
244.14,264.885115018141
244.15,264.913142184236
244.16,264.941163782079
244.17,264.969179815656
244.18,264.997190288953
244.19,265.025195205951
244.2,265.053194570633
244.21,265.081188386975
244.22,265.109176658957
244.23,265.137159390553
244.24,265.165136585737
244.25,265.193108248482
244.26,265.221074382757
244.27,265.249034992531
244.28,265.276990081771
244.29,265.304939654441
244.3,265.332883714504
244.31,265.360822265923
244.32,265.388755312656
244.33,265.416682858661
244.34,265.444604907894
244.35,265.472521464309
244.36,265.500432531859
244.37,265.528338114494
244.38,265.556238216163
244.39,265.584132840814
244.4,265.61202199239
244.41,265.639905674837
244.42,265.667783892095
244.43,265.695656648105
244.44,265.723523946804
244.45,265.75138579213
244.46,265.779242188016
244.47,265.807093138395
244.48,265.834938647198
244.49,265.862778718355
244.5,265.890613355792
244.51,265.918442563436
244.52,265.94626634521
244.53,265.974084705037
244.54,266.001897646836
244.55,266.029705174526
244.56,266.057507292024
244.57,266.085304003244
244.58,266.1130953121
244.59,266.140881222502
244.6,266.168661738362
244.61,266.196436863585
244.62,266.224206602078
244.63,266.251970957745
244.64,266.279729934489
244.65,266.30748353621
244.66,266.335231766806
244.67,266.362974630175
244.68,266.390712130212
244.69,266.41844427081
244.7,266.446171055861
244.71,266.473892489255
244.72,266.501608574879
244.73,266.529319316619
244.74,266.557024718361
244.75,266.584724783985
244.76,266.612419517374
244.77,266.640108922407
244.78,266.66779300296
244.79,266.695471762909
244.8,266.723145206128
244.81,266.750813336487
244.82,266.778476157858
244.83,266.806133674108
244.84,266.833785889104
244.85,266.86143280671
244.86,266.88907443079
244.87,266.916710765203
244.88,266.94434181381
244.89,266.971967580467
244.9,266.999588069031
244.91,267.027203283354
244.92,267.054813227289
244.93,267.082417904687
244.94,267.110017319395
244.95,267.137611475259
244.96,267.165200376125
244.97,267.192784025836
244.98,267.220362428233
244.99,267.247935587154
245,267.275503506438
245.01,267.303066189921
245.02,267.330623641435
245.03,267.358175864813
245.04,267.385722863886
245.05,267.413264642482
245.06,267.440801204428
245.07,267.468332553548
245.08,267.495858693665
245.09,267.523379628602
245.1,267.550895362176
245.11,267.578405898205
245.12,267.605911240507
245.13,267.633411392894
245.14,267.660906359178
245.15,267.688396143171
245.16,267.71588074868
245.17,267.743360179512
245.18,267.770834439473
245.19,267.798303532364
245.2,267.825767461989
245.21,267.853226232145
245.22,267.880679846631
245.23,267.908128309242
245.24,267.935571623773
245.25,267.963009794016
245.26,267.99044282376
245.27,268.017870716796
245.28,268.045293476909
245.29,268.072711107884
245.3,268.100123613505
245.31,268.127530997552
245.32,268.154933263806
245.33,268.182330416043
245.34,268.209722458041
245.35,268.237109393572
245.36,268.264491226408
245.37,268.291867960322
245.38,268.31923959908
245.39,268.346606146449
245.4,268.373967606195
245.41,268.401323982081
245.42,268.428675277867
245.43,268.456021497314
245.44,268.483362644178
245.45,268.510698722217
245.46,268.538029735183
245.47,268.565355686828
245.48,268.592676580904
245.49,268.619992421158
245.5,268.647303211337
245.51,268.674608955186
245.52,268.701909656449
245.53,268.729205318865
245.54,268.756495946176
245.55,268.783781542117
245.56,268.811062110425
245.57,268.838337654833
245.58,268.865608179074
245.59,268.892873686879
245.6,268.920134181974
245.61,268.947389668087
245.62,268.974640148943
245.63,269.001885628264
245.64,269.029126109771
245.65,269.056361597185
245.66,269.083592094221
245.67,269.110817604595
245.68,269.138038132022
245.69,269.165253680214
245.7,269.192464252879
245.71,269.219669853727
245.72,269.246870486464
245.73,269.274066154794
245.74,269.30125686242
245.75,269.328442613043
245.76,269.355623410363
245.77,269.382799258075
245.78,269.409970159876
245.79,269.437136119459
245.8,269.464297140516
245.81,269.491453226737
245.82,269.518604381809
245.83,269.545750609419
245.84,269.572891913251
245.85,269.600028296988
245.86,269.62715976431
245.87,269.654286318897
245.88,269.681407964424
245.89,269.708524704568
245.9,269.735636543001
245.91,269.762743483395
245.92,269.78984552942
245.93,269.816942684744
245.94,269.844034953031
245.95,269.871122337947
245.96,269.898204843153
245.97,269.925282472311
245.98,269.952355229078
245.99,269.979423117111
246,270.006486140065
246.01,270.033544301594
246.02,270.060597605347
246.03,270.087646054975
246.04,270.114689654126
246.05,270.141728406443
246.06,270.168762315573
246.07,270.195791385155
246.08,270.222815618831
246.09,270.249835020239
246.1,270.276849593015
246.11,270.303859340793
246.12,270.330864267207
246.13,270.357864375886
246.14,270.384859670461
246.15,270.411850154558
246.16,270.438835831802
246.17,270.465816705818
246.18,270.492792780225
246.19,270.519764058645
246.2,270.546730544695
246.21,270.573692241991
246.22,270.600649154147
246.23,270.627601284776
246.24,270.654548637487
246.25,270.68149121589
246.26,270.708429023592
246.27,270.735362064196
246.28,270.762290341307
246.29,270.789213858525
246.3,270.81613261945
246.31,270.843046627679
246.32,270.869955886807
246.33,270.896860400429
246.34,270.923760172137
246.35,270.95065520552
246.36,270.977545504166
246.37,271.004431071662
246.38,271.031311911592
246.39,271.05818802754
246.4,271.085059423085
246.41,271.111926101806
246.42,271.138788067281
246.43,271.165645323085
246.44,271.19249787279
246.45,271.219345719968
246.46,271.24618886819
246.47,271.273027321022
246.48,271.29986108203
246.49,271.326690154779
246.5,271.35351454283
246.51,271.380334249743
246.52,271.407149279078
246.53,271.43395963439
246.54,271.460765319234
246.55,271.487566337163
246.56,271.514362691728
246.57,271.541154386477
246.58,271.567941424959
246.59,271.594723810718
246.6,271.621501547298
246.61,271.64827463824
246.62,271.675043087083
246.63,271.701806897367
246.64,271.728566072626
246.65,271.755320616396
246.66,271.782070532207
246.67,271.80881582359
246.68,271.835556494075
246.69,271.862292547186
246.7,271.88902398645
246.71,271.915750815389
246.72,271.942473037524
246.73,271.969190656374
246.74,271.995903675456
246.75,272.022612098286
246.76,272.049315928377
246.77,272.076015169241
246.78,272.102709824387
246.79,272.129399897323
246.8,272.156085391556
246.81,272.182766310589
246.82,272.209442657925
246.83,272.236114437064
246.84,272.262781651505
246.85,272.289444304743
246.86,272.316102400275
246.87,272.342755941591
246.88,272.369404932185
246.89,272.396049375544
246.9,272.422689275156
246.91,272.449324634506
246.92,272.475955457077
246.93,272.502581746352
246.94,272.52920350581
246.95,272.555820738928
246.96,272.582433449183
246.97,272.609041640049
246.98,272.635645314997
246.99,272.662244477498
247,272.68883913102
247.01,272.715429279031
247.02,272.742014924994
247.03,272.768596072372
247.04,272.795172724626
247.05,272.821744885215
247.06,272.848312557596
247.07,272.874875745224
247.08,272.901434451553
247.09,272.927988680034
247.1,272.954538434116
247.11,272.981083717248
247.12,273.007624532874
247.13,273.034160884439
247.14,273.060692775384
247.15,273.087220209151
247.16,273.113743189176
247.17,273.140261718896
247.18,273.166775801747
247.19,273.193285441159
247.2,273.219790640564
247.21,273.246291403391
247.22,273.272787733066
247.23,273.299279633014
247.24,273.325767106659
247.25,273.352250157421
247.26,273.37872878872
247.27,273.405203003973
247.28,273.431672806596
247.29,273.458138200002
247.3,273.484599187603
247.31,273.511055772809
247.32,273.537507959027
247.33,273.563955749664
247.34,273.590399148124
247.35,273.616838157809
247.36,273.643272782119
247.37,273.669703024452
247.38,273.696128888206
247.39,273.722550376775
247.4,273.748967493551
247.41,273.775380241926
247.42,273.801788625287
247.43,273.828192647023
247.44,273.854592310519
247.45,273.880987619157
247.46,273.90737857632
247.47,273.933765185385
247.48,273.960147449731
247.49,273.986525372734
247.5,274.012898957767
247.51,274.039268208202
247.52,274.065633127409
247.53,274.091993718756
247.54,274.118349985609
247.55,274.144701931332
247.56,274.171049559288
247.57,274.197392872836
247.58,274.223731875336
247.59,274.250066570143
247.6,274.276396960614
247.61,274.302723050099
247.62,274.329044841951
247.63,274.355362339517
247.64,274.381675546146
247.65,274.407984465182
247.66,274.434289099968
247.67,274.460589453847
247.68,274.486885530156
247.69,274.513177332234
247.7,274.539464863416
247.71,274.565748127036
247.72,274.592027126426
247.73,274.618301864915
247.74,274.644572345831
247.75,274.670838572501
247.76,274.697100548249
247.77,274.723358276395
247.78,274.749611760262
247.79,274.775861003168
247.8,274.802106008428
247.81,274.828346779357
247.82,274.854583319268
247.83,274.880815631472
247.84,274.907043719277
247.85,274.933267585991
247.86,274.959487234918
247.87,274.985702669361
247.88,275.011913892621
247.89,275.038120907998
247.9,275.064323718789
247.91,275.090522328289
247.92,275.116716739792
247.93,275.142906956589
247.94,275.16909298197
247.95,275.195274819222
247.96,275.221452471632
247.97,275.247625942483
247.98,275.273795235057
247.99,275.299960352633
248,275.326121298491
248.01,275.352278075907
248.02,275.378430688154
248.03,275.404579138504
