T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K,std,std_%
274.0,0.05199999999999989,3.220733995367595,4.271654174239753,0.6729416428655937,76.8883501124831,4.271075785934267,0.05943434617157821,1.3913660550986908
275.0,0.051999999999999824,3.220733995367595,4.267485490097174,0.6730796764082525,76.8133151885897,4.2668055016452975,0.05831978613454,1.3666077194608577
276.0,0.0519999999999998,3.2207339953675946,4.2656569057690765,0.6732705186013053,76.78040128069965,4.265246005698601,0.05674946851999683,1.3303805198970915
277.0,0.0519999999999998,3.2207339953675946,4.263398556707952,0.6737065352285416,76.73975175098462,4.264066879945151,0.054942153096859424,1.2886938053308308
278.0,0.0519999999999998,3.2207339953675946,4.259989500376331,0.6737995807498542,76.67838987427665,4.26041881126308,0.05499762228852133,1.2910271793783246
279.0,0.0519999999999998,3.2207339953675946,4.260558653646961,0.674064304512423,76.68863444327842,4.2605600491011835,0.05646714368336934,1.3253459997560293
280.0,0.0519999999999998,3.2207339953675946,4.262425951561294,0.6744554569742425,76.72224518280584,4.2626722863541495,0.05726348329360749,1.3434481664750637
281.0,0.0519999999999998,3.2207339953675946,4.264288348545889,0.6749369057422431,76.75576770723298,4.264739473472138,0.058044638432167436,1.3611799598861674
282.0,0.0519999999999998,3.2207339953675946,4.264675231319736,0.6751278426607055,76.76273146809814,4.264692852577117,0.06041942511748856,1.4167415299005384
283.0,0.0519999999999998,3.2207339953675946,4.265868720222055,0.6751815868770704,76.78421387019199,4.26663888022218,0.05841938333827156,1.369460411693837
284.0,0.0519999999999998,3.2207339953675946,4.267467741642427,0.6752418434047156,76.81299572232511,4.267646821949385,0.058985012442391446,1.3822017180542245
285.0,0.0519999999999998,3.2207339953675946,4.270117293995416,0.6752528551637661,76.8606867807883,4.269533209793006,0.05806180724271791,1.359723943048676
286.0,0.0519999999999998,3.2207339953675946,4.271287925738747,0.6752244686199451,76.88175776164539,4.271087983125566,0.061411758718239354,1.4377808236286902
287.0,0.0519999999999998,3.2207339953675946,4.274827382355413,0.6754848907303531,76.9454667999827,4.274547555412903,0.06028760971013033,1.4102934298346355
288.0,0.0519999999999998,3.2207339953675946,4.278491744802909,0.6760821745012715,77.01142410160627,4.277620941282234,0.06489741775132687,1.51682933197564
289.0,0.0519999999999998,3.2207339953675946,4.280626025721376,0.6764507616650687,77.0498404461426,4.280432652503552,0.06381210933437984,1.4907190899402651
290.0,0.0519999999999998,3.2207339953675946,4.284184550798112,0.677177619524257,77.11389271039994,4.284465771289618,0.06433431292659443,1.5016699715844275
291.0,0.0519999999999998,3.2207339953675946,4.2878943520968225,0.6782633884397673,77.18066789618699,4.287987675030548,0.06319295073309268,1.4737525121669732
292.0,0.0519999999999998,3.2207339953675946,4.293351200809049,0.6801123200470645,77.27888935260236,4.29238412627012,0.06227498123994473,1.4504981849192653
293.0,0.0519999999999998,3.2207339953675946,4.2888770736904025,0.6807348375341217,77.19835655703548,4.288865314564626,0.06001490372439936,1.3993150816224957
298.0,0.0519999999999998,3.2207339953675946,4.277457941757274,0.6719400013375434,76.99281599166159,4.277368714966414,0.05929018975956228,1.386108070888584
299.0,0.0519999999999998,3.2207339953675946,4.288405233907258,0.6723268588850899,77.18986359834463,4.288289963605284,0.05677399327867675,1.3238952520107048
300.0,0.0519999999999998,3.2207339953675946,4.2948678844525086,0.6731072665620732,77.30618915221892,4.294362467299682,0.06360165871269194,1.4808757899848555
301.0,0.0519999999999998,3.2207339953675946,4.2967031665374344,0.6734514302294267,77.33922361749745,4.296940981956459,0.06525911780889569,1.5188183888785078
302.0,0.0519999999999998,3.2207339953675946,4.299721491357775,0.6739337531089066,77.39355245735044,4.2998380748957015,0.07094741465025575,1.6500467482104715
303.0,0.0519999999999998,3.2207339953675946,4.302006315872542,0.6743553986370169,77.43467853639878,4.301805949226551,0.07105268486517775,1.6516174000727075
304.0,0.0519999999999998,3.2207339953675946,4.302011006692774,0.6741987933687377,77.43476296959815,4.301893959207427,0.07105080560364324,1.6515719158576598
305.0,0.0519999999999998,3.2207339953675946,4.30206071380277,0.6739388975805622,77.43565768099572,4.303377574747602,0.06503384819969883,1.5116906181970808
306.0,0.0519999999999998,3.2207339953675946,4.304121373355788,0.6740987721237861,77.472748865514,4.304694763734032,0.06764047435136285,1.5715280421710247
307.0,0.0519999999999998,3.2207339953675946,4.305980699403381,0.6741561377724177,77.50621611409956,4.305993102126906,0.06649408024493243,1.5442261562887538
308.0,0.0519999999999998,3.2207339953675946,4.306045606553764,0.6739533195715282,77.50738442115338,4.306984469666042,0.0668238466200064,1.551861097762204
309.0,0.0519999999999998,3.2207339953675946,4.310171418318562,0.6744145024075345,77.58164765654891,4.310119527623502,0.06831973703948047,1.5850816686574527
310.0,0.0519999999999998,3.2207339953675946,4.311498266182947,0.6747790182862557,77.60553047547138,4.311102145452533,0.06793415345939291,1.5756507196635456
311.0,0.0519999999999998,3.2207339953675946,4.3125902046891165,0.6750614508019227,77.62518500431179,4.311787342304706,0.06713138019219454,1.5566371253916502
312.0,0.05199999999999985,3.220733995367595,4.311973548455799,0.6751068433997962,77.61408539782863,4.311788737218639,0.06428969676895147,1.4909575869725558
313.0,0.05199999999999993,3.220733995367595,4.3132774671934575,0.6754202852794505,77.6375555001192,4.31216824014793,0.06598096279064317,1.5297175591528858
