T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K
181.510611,0.8363011385781547,0.3176296969902293,27.33133424993163,3.098159294253301,1.8705129716828024,54.92493004016149,
181.540545,0.8362735551301645,0.3175765664117807,27.32463493574735,3.255008320433065,1.799111690628594,57.70576486788935,
181.570479,0.8362463603763772,0.3175234337391133,27.317936400640413,3.0847079691839885,1.8977326380269204,54.68679657757822,
181.5999745,0.8362187562870151,0.3174710773367551,27.31133675155302,3.576522842735256,1.6415596674595536,63.40605636752029,
181.629317,0.8361923444994386,0.3174189904699495,27.30477208269193,3.180126614194007,1.848752403120369,56.378751531045616,
181.6592125,0.8361650004166217,0.3173659198358231,27.298084456959018,3.137109916749428,1.851827242782667,55.61630179405787,
181.6892415,0.83613755534668,0.3173126100429199,27.291367740751284,3.0744042898889847,1.9061137130815609,54.50479158491581,
181.7186985,0.836109945897666,0.3172603135802698,27.284779717310418,3.577288003589377,1.678561979095335,63.42039185041208,
181.7481365,0.8360835295959459,0.3172080487276956,27.278196684200864,3.08815889081934,1.904073560790128,54.748970931206486,
181.7780055,0.8360559345655786,0.3171550164846752,27.271518024259585,3.242975441839579,1.793265656276302,57.49383926145771,
181.8077415,0.836028707325591,0.3171022181811207,27.26486985612546,3.2002667906505806,1.812979035576724,56.73684172515184,
181.837531,0.8360013358192773,0.3170493226660437,27.25821047824255,3.228873207731667,1.81384685283542,57.24417325806839,
181.8670835,0.8359739898497617,0.3169968457681159,27.25160482219853,3.4045301219558906,1.7387257665376927,60.358548963905136,
181.8968265,0.8359470334030047,0.3169440283570944,27.24495732812909,3.1037254611244385,1.8677275478622448,55.02578293596173,
181.92639,0.8359193167015739,0.3168915274591511,27.23835068850109,3.5558993459200203,1.6952429713857131,63.042540347425565,
181.956095,0.8358926701691991,0.316838773008639,27.23171316497975,3.0065908553566807,1.9283427263452744,53.30401205667829,
181.986159,0.8358646723187424,0.3167853786634496,27.22499617417162,3.282611592685308,1.7695715247554904,58.197777746866095,
182.0158565,0.8358373448200842,0.3167326329126129,27.218361807072384,3.28707041663718,1.8160847601867176,58.27700588004267,3.2574788582187826
182.045508,0.835810000576177,0.3166799665478993,27.21173844707743,3.32973584557072,1.759064457421048,59.03360739486151,3.267599735493666
182.074881,0.8357827372097913,0.3166277925529816,27.20517801449397,3.50885572440602,1.704160139526538,62.20944955206698,3.269512018704638
182.1044905,0.8357558856335408,0.3165751961446229,27.198565480911768,3.149253779747667,1.844951272329175,55.83413893319575,3.272643476197084
182.134394,0.8357281658438469,0.316522075104464,27.191888022491817,3.264862292098966,1.7618670361435853,57.883976857648506,3.266511712596631
182.1641565,0.8357007517512518,0.3164692021386835,27.18524277831917,3.2347644439280043,1.8136168599294709,57.35053549823266,3.263210997690393
182.1935945,0.8356732709856833,0.3164169032745058,27.17867070037454,3.504736774121552,1.7014281991107212,62.13717879554218,3.2695445204718223
182.2233375,0.8356464350343366,0.3163640601432722,27.172031249015404,3.0040232968339216,1.9360337536785923,53.259948808980525,3.2753341019300657
182.2531455,0.8356183704064779,0.3163110990816026,27.16537801012044,3.4495083022237902,1.7421049037625809,61.158379348798505,3.262979240352061
182.282488,0.8355913939696891,0.3162589626833304,27.158829376392408,3.3517320918274107,1.7447895186344011,59.42502545893084,3.266004146766607
182.312357,0.8355641681360073,0.3162058883174677,27.15216395422109,3.056593112338733,1.914559058972374,54.19248142037775,3.271247853826337
182.3421385,0.8355361981113609,0.3161529669327798,27.145518774572515,3.418892511695266,1.7346815037621797,60.61612625629149,3.278588975049402
182.371863,0.8355091132329643,0.3161001443331537,27.13888702462188,3.0891310411831943,1.8413762072774933,54.76970294234793,3.2785753984579364
182.4016445,0.835481227271228,0.3160472179161651,27.13224326803177,3.35917193171636,1.775861599315529,59.55765798399932,3.2745055391813462
182.431227,0.8354540162063976,0.3159946426362193,27.125644606975552,3.227366735934612,1.8130243307307048,57.22094330505804,3.2812744281365998
182.460913,0.8354264773184609,0.3159418808736581,27.119023560429,3.278131975709276,1.8077086692422533,58.12118350675571,3.2762925190720127
182.4907135,0.8353990538234741,0.3158889130337863,27.112377680628104,3.1434919443550187,1.8505358060280228,55.73418984489468,3.2831568182014905
182.5203115,0.8353712817058663,0.3158363025524358,27.10577765728938,3.442269121599357,1.7184212671877772,61.031701627224216,3.283659729442745
182.5497,0.8353442124739038,0.315784061909887,27.09922503479438,3.3200259496061,1.7797937135015678,58.86449781713186,3.282357275498273
182.5794355,0.835316807599356,0.3157312018446762,27.09259573556962,3.191177523927136,1.8259796109357664,56.58017060495711,3.282032373394724
182.609095,0.8352890741152321,0.3156784742620001,27.08598407158303,3.3680428803198703,1.7402443301074333,59.71620770582815,3.278916980680223
182.6388955,0.8352617891860277,0.3156254933624534,27.07934166960576,3.067902307381912,1.888067963473492,54.39480947703902,3.2870512698201644
182.668696,0.8352337726363911,0.3155725097883282,27.07269996074944,3.352449691318021,1.7514649519778238,59.44009971140362,3.28072522376426
182.698222,0.8352064666236659,0.3155200116058215,27.06612011187174,3.2712500594692613,1.798637103095543,58.00057745898071,3.2929229277310097
182.728022,0.8351789383894153,0.3154670235482816,27.059479888021173,3.157222709937217,1.8668705023856864,55.97899769458024,3.283112076711082
182.7579365,0.8351511021799087,0.315413829157281,27.05281484133359,3.191005708913896,1.8305919044586056,56.57815910858616,3.2957843064929415
182.787516,0.8351233397221092,0.3153612277543867,27.046225112163533,3.421261481870408,1.7372671515031315,60.660895314292326,3.287006484783591
182.81679000000003,0.835096104945938,0.315309166951746,27.039704104556087,3.449864912234802,1.7131050727582766,61.16823378213134,3.290393262589667
182.846346,0.8350688895463166,0.3152566019285922,27.033120945563905,3.228411603621839,1.800129599437564,57.24190336411476,3.2937926223321052
182.876158,0.8350411090496751,0.3152035788353574,27.02648144250783,3.2661549065518094,1.799625935601333,57.91129440042316,3.2897957263173607
182.9058515,0.83501339593619,0.3151507637159405,27.01986900380209,3.3338676856030647,1.758461112882178,59.11207098075935,3.297995806004137
182.9354115,0.8349858145525221,0.3150981832701131,27.013286959194986,3.386514437724075,1.721078073953542,60.04572085127692,3.2933955771430363
182.965117,0.834958328709297,0.3150453412034652,27.00667318286621,3.2399770257589102,1.846664273054872,57.44766545829579,3.292189190514753
182.994948,0.8349304547188184,0.3149922730387549,27.00003213477596,3.2997105748879507,1.7559810615572713,58.50697317529431,3.288877971624547
183.0247785,0.8349027134130276,0.3149392028909747,26.993391867474585,3.242786982525132,1.7800687027594555,57.49784017041421,3.2874770403115408
183.0545865,0.8348748185445872,0.3148861698866185,26.986757275304,3.318689174050069,1.7721241085815709,58.84384139498757,3.283939114980428
183.084185,0.8348470975083289,0.3148335067451258,26.980169970453847,3.402932372112968,1.7477358378217165,60.3377448098761,3.2817327857084324
183.113646,0.8348195719794812,0.3147810853951869,26.97361391538972,3.425819610505693,1.7115180302679178,60.74374429507915,3.2808765457717683
183.14358,0.8347920862073923,0.3147278194803255,26.966953262561905,3.049776726198193,1.8944973283097568,54.07623498295169,3.2810397514550536
183.1732165,0.8347636554218848,0.3146750800214841,26.9603594606707,3.649486378797511,1.6493065185935518,64.71001010815166,3.2879608920268626
183.202666,0.8347367041263952,0.3146226704349705,26.95380790666546,3.171167839444013,1.846103678300277,56.228987153661365,3.2821567376218965
183.2323785,0.8347086008379048,0.3145697898545928,26.94719849067093,3.434879109417136,1.711281743134022,60.90512128630856,3.280737430940608
183.2621215,0.8346811365366776,0.314516852010733,26.94058293885632,3.1510623641058704,1.8447744890663285,55.87283127518997,3.2844824994490516
183.291819,0.834652954092489,0.3144639921577872,26.9339781528964,3.466882537234002,1.713584622491374,61.47296077321585,3.2888077542339262
183.321467,0.8346255533735247,0.3144112174140862,26.92738501726985,3.172171343581636,1.833348182714431,56.247465993092185,3.2771719492286717
183.351317,0.834597441485872,0.3143580800594432,26.92074760619725,3.2829980471939324,1.802254561575788,58.21277177763543,3.27906258351864
183.38085,0.8345696407149018,0.3143055039913941,26.914181318167472,3.367933750533595,1.7493033507280102,59.71899768625761,3.2811761358523737
183.4104215,0.8345421008124269,0.3142528563587402,26.90760710127673,3.20276415043894,1.8016710484347216,56.79044165686638,3.280232679920568
183.4401765,0.8345142060375385,0.3141998789607502,26.90099272480311,3.186349590572985,1.819098355040985,56.4995561487174,3.275836931007511
183.4699465,0.8344863002283635,0.3141468717572186,26.89437564971608,3.165550533442268,1.8278673602530755,56.13092391067145,3.27493030087344
183.4998195,0.8344583552178173,0.3140936780246095,26.887736317697136,3.095860279712826,1.906080247871537,54.89535821060087,3.2684892182442
183.5294865,0.8344302338951122,0.3140408479879687,26.881143399269067,3.3219796603415,1.7589010173463198,58.9050545293328,3.272995419033836
183.558974,0.834402653563682,0.3139883345019843,26.874590991082485,3.245010754358264,1.794101836950543,57.54042270169289,3.2742615797326002
183.588698,0.8343748472711957,0.3139353966988769,26.86798665369317,3.162065366080558,1.8658355040282253,56.06980887914789,3.277037008262113
183.6182695,0.8343468006495824,0.3138827273503244,26.86141681915091,3.373591873551561,1.7332234217312867,59.8207828702568,3.2775475969323726
183.647654,0.8343192590452099,0.3138303879423267,26.85488913964032,3.30322108682341,1.818617420295223,58.57313948588661,3.2714691209206754
183.677321,0.8342915420319201,0.3137775421748639,26.848299318114297,3.155108441549193,1.7939213645834624,55.94695745416337,3.2736169871892127
183.7070985,0.8342634470826875,0.3137244963521923,26.84168557052845,3.222993632305423,1.8351742843120813,57.15088471246391,3.2653614579258083
183.7367195,0.8342354999805588,0.3136717261015082,26.835107195619862,3.284555039224305,1.7941758235977812,58.24268323281953,3.268145356539498
183.766207,0.8342076773566744,0.3136191904795903,26.828559074470515,3.338064371599653,1.7699847094198928,59.19170543482179,3.2659156906137605
183.796053,0.8341799595729263,0.3135660128751247,26.82193195638024,3.025644111691754,1.901482671391716,53.6519263453681,3.271410214898599
183.8256745,0.8341514391128335,0.3135132320007662,26.815355294985785,3.5141464780937195,1.6759301352969194,62.31443437470148,3.269652545328054
183.854922,0.8341241224276497,0.3134611143253403,26.808862262488216,3.300272382968781,1.7905671228787512,58.52209796263568,3.2719681059449512
183.88452,0.834096284778571,0.3134083688122261,26.80229201503927,3.234077404870432,1.8184166195217384,57.34846945562723,3.270312731121558
183.914267,0.8340682850695933,0.3133553544486432,26.795689295353544,3.184412222559114,1.829246661125097,56.46795116357308,3.2628706829648224
183.9438765,0.8340401438730236,0.3133025818102003,26.78911769405734,3.355689013165656,1.7522715420979933,59.50531724181166,3.269233812057637
183.973753,0.8340123813794001,0.3132493299239315,26.78248743739725,3.020980216364754,1.900231702775634,53.57020184487884,3.265037968931049
184.003546,0.8339837131480585,0.3131962234741852,26.77587631262437,3.452921401735579,1.7129912396927844,61.22988210391839,3.2678153210328587
