T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK),cp_SMA_1K,std,std_%
182.0,0.73969616769573,0.3167607959411499,27.001190097015712,3.1407621786371553,1.2040706013109062,55.68866389619977,3.1494654431368905,0.11073301931160384,3.525673483487161
183.0,0.7389514400896647,0.3149832854473216,26.889965059049157,3.142806700421106,1.202690648635006,55.727786326600295,3.144720354819512,0.10838469909247525,3.448659412554795
184.0,0.7381778384452489,0.31320254444824397,26.775638364145063,3.1311732574688578,1.2055570098887254,55.524392457436434,3.132054229995265,0.10777698058283366,3.4420637799505602
185.0,0.7366953790746269,0.3114179699198057,26.55668440206857,3.1283661451722877,1.2060826578380188,55.48022826041802,3.1291086749743924,0.11376112232517802,3.6364388644447776
186.0,0.735169836012585,0.30962896458586003,26.335126017745836,3.1328663421227247,1.205690867647837,55.56585316281852,3.132545392345954,0.12022871129084917,3.837658494214159
187.0,0.7336224512614934,0.30783493519741156,26.114131759346943,3.135075869045823,1.205910845345599,55.610837196951394,3.1358092353265623,0.11941313275388138,3.8089391689977
188.0,0.7320313941169897,0.3060352908928012,25.890776879448048,3.1603490831843777,1.2020699272821354,56.06515531396156,3.160507455271057,0.13724727683069374,4.342788509059352
189.0,0.7304419108613641,0.3042294416247227,25.67137652211424,3.173236225995595,1.2000096214725016,56.29952239601316,3.1738511701102436,0.137349532155132,4.328374012307858
190.0,0.7288548820274496,0.30241679664133225,25.456051024094222,3.1907734416727447,1.1969229975837736,56.61641805223637,3.18792129766847,0.12959895321497403,4.0616783229533375
191.0,0.7271981831937743,0.3005967630098679,25.235091455796454,3.1830274880151452,1.1993515538851667,56.484904568571984,3.1844872386070033,0.13040926122748248,4.09701963676105
192.0,0.7255413877813127,0.2987687441721445,25.01788652157328,3.1821782159860996,1.2005601758072884,56.475676800371616,3.1809795504010525,0.13149738023131194,4.132307221849398
193.0,0.7238335960237545,0.2969321385221438,24.797829081606356,3.170457885066245,1.204104072338471,56.273785298416115,3.16879389824023,0.12578877604216437,3.9675271081399677
194.0,0.7220983999783962,0.29508633799652173,24.578265436806664,3.167114574418058,1.2061967200896238,56.220384060225705,3.1648502021719795,0.12319914658363584,3.889949153679515
195.0,0.7203587391731013,0.29323072666942335,24.361961307922325,3.1475698111618766,1.2116271390356248,55.87932448965343,3.152957988053851,0.11967928625574152,3.8022758329723514
196.0,0.7185589226040345,0.29136467934340693,24.142119992118868,3.1615350394946544,1.2091661721939075,56.13335307753375,3.158613827663021,0.12321968109513327,3.8974637179674887
197.0,0.7167486858498026,0.2894875601285893,23.92503359350226,3.16609522721301,1.2082911628697357,56.2203513325714,3.164218575487752,0.13376995097066754,4.225076675549649
198.0,0.7148750544590107,0.2875987210023984,23.70446121520683,3.175202142294423,1.2057696328962906,56.38836112289008,3.176127804581552,0.13627846288942708,4.291961795885894
199.0,0.7129603026411304,0.2856975003424541,23.48310396968884,3.1902282193637803,1.200299082783828,56.6614230572916,3.1933222863782045,0.13531075297886952,4.241412954646054
200.0,0.7110580014231291,0.2837832214252322,23.267252280913507,3.222552722068956,1.1914315721143387,57.241676077379516,3.2193437474914743,0.13543694987514363,4.202784610710414
201.0,0.7090845064107666,0.28185519088317856,23.04753820763359,3.220681447605981,1.1908554049675173,57.214749300645266,3.2246106532001977,0.13433339800722083,4.170961959217496
202.0,0.7070674174840909,0.27991269711297245,22.827225680455463,3.235707727150446,1.185952675274415,57.48806136663254,3.236887328014607,0.11865271810478069,3.666978853163392
203.0,0.7049415591189006,0.2779550086275582,22.599526922247502,3.235521755007078,1.1855746360200645,57.4914711542434,3.236132726727768,0.118764481920819,3.670643899613006
204.0,0.7028287313216506,0.27598137234450526,22.377679337232994,3.2497398746770707,1.1827795978785822,57.75066240647084,3.247254806827517,0.11996617949744112,3.6915625288120104
205.0,0.7007320338330679,0.27399101180313085,22.161802163239734,3.257793677276755,1.180598378132697,57.90028196311573,3.2571120075196878,0.12465708658316686,3.82642668418983
206.0,0.6984896031202104,0.27198312530269514,21.935549411174833,3.2731909561268906,1.177752082308608,58.18070909813944,3.2692461940854103,0.12687214512319958,3.876099708931286
207.0,0.6962293700156629,0.26995688395382705,21.71206815808689,3.276516791799329,1.176973406668645,58.246570805261044,3.273945531601014,0.12749575851752348,3.8911980807370754
208.0,0.6938768204329903,0.2679114296352212,21.48419740999431,3.2934733251873856,1.1716187088505132,58.55502300310195,3.2944558493807943,0.12929130700088584,3.9256825313297377
209.0,0.6914965487570972,0.26584587284749067,21.25852872858034,3.3144877435449436,1.1666333152615105,58.935675816212516,3.3153055802298814,0.13128637740218246,3.9609854541736143
210.0,0.6890902787529888,0.2637592904559865,21.035236106804568,3.31882560955523,1.165162719017743,59.01977650211764,3.3184345688205252,0.12242840349151717,3.6889073996245405
211.0,0.6865829868357481,0.2616507233143531,20.80732801274398,3.328922583419711,1.161399139929128,59.2064819806931,3.3289576154552076,0.12151935978488462,3.650411108691242
212.0,0.68400100468188,0.25951917376060923,20.57784915102081,3.35097802701052,1.155706172046859,59.60602007636301,3.351628893447419,0.12070876457169187,3.602195048690868
213.0,0.6813440802819909,0.25736360297771854,20.346955599006005,3.355245599645523,1.1541546206837237,59.689335010546266,3.355005378187415,0.11670751427938005,3.47835980447184
214.0,0.6786459145233227,0.25518292821087923,20.117672841411224,3.346138997044623,1.154281157983903,59.53473176855558,3.34730108865966,0.12297917080684377,3.6752558968847806
215.0,0.6758160959100581,0.25297601983429524,19.882775798288222,3.3537230373201936,1.1511022132036177,59.677282352553256,3.352877758886303,0.1314472331371455,3.9194421147602867
216.0,0.6729760010954552,0.2507416982609224,19.652497394489494,3.3523163583444093,1.1490983777326507,59.659717234979745,3.3509832756957185,0.13356123248921536,3.984147622486815
217.0,0.6699919346906917,0.2484787306898044,19.41616395953001,3.3393115728297413,1.15016595484913,59.43600846912784,3.338850043951349,0.13329521398716837,3.9916974226580977
218.0,0.6668552593902959,0.24618582768714417,19.173858735246913,3.3309008291878217,1.1505588403358191,59.29428185223467,3.3300753108806775,0.13390479646742875,4.0200775506150075
219.0,0.6637033630186523,0.24386163959933677,18.936399157595893,3.324015957124686,1.1513580841112094,59.1795240462472,3.323631730124823,0.13266287356744072,3.991042019009912
220.0,0.6603937466975359,0.241504752798992,18.6932249613503,3.3174845345117205,1.152398572866458,59.071366868880446,3.3202368720885276,0.1283789861066547,3.8697689400246142
221.0,0.6570182981979532,0.23911368576862801,18.45165378700683,3.334771677624356,1.148661606852626,59.387374553647305,3.3375340853472517,0.1279053894031179,3.83550664836628
222.0,0.6534685332068717,0.23668688503148091,18.20435694826433,3.350100604621547,1.1452040014622829,59.66873941582882,3.351494913194607,0.130540222217152,3.896606031385103
223.0,0.6497892354350697,0.23422272094499327,17.954785058087047,3.348269299334533,1.1460584245426115,59.64453438839274,3.3507622641911756,0.14100509061075772,4.211282845103959
224.0,0.6460254540266109,0.23171948338034123,17.706570595487268,3.3574863776225303,1.1440399917970792,59.81718231381251,3.3574879249480962,0.13567511560153436,4.040972928611174
225.0,0.6421132685203811,0.2291753773212247,17.455763180956186,3.356133557553769,1.1446525913035595,59.80167183035056,3.354669189179084,0.14453242805286046,4.306515982582284
226.0,0.6380436377738287,0.22658851842753114,17.202314653670822,3.3279657158421503,1.1520191244091722,59.30851351786394,3.330978111147932,0.14911482418626254,4.480659866068621
227.0,0.633743321009206,0.22395692862492655,16.942294799984968,3.3356984238147795,1.1508302055801722,59.45558238418568,3.3352251361383782,0.14803709902074055,4.4379641146168725
228.0,0.6292533749886582,0.2212785318005776,16.679283987713486,3.337115128608193,1.1514163586493644,59.49001408975793,3.3368342428233824,0.14178541048542143,4.248741952890182
229.0,0.6246387623699654,0.2185511497087317,16.41727893673239,3.3372373609910473,1.1529709376998711,59.50146876555069,3.335919006142421,0.1425037837366629,4.270112321118929
230.0,0.6222607619621363,0.215772498218633,16.282295865057446,3.3394908691055285,1.1531363575600215,59.54642476699269,3.3408944655099577,0.13657336600346265,4.089646337019133
231.0,0.6198914102708974,0.2129401840720513,16.15038601376362,3.3620685989420824,1.1483671136038636,59.95359323597273,3.36206283326858,0.1264335749632823,3.7605887935500846
