index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
6091,107793.0,112.779837,110.471106,-3.601586,-2.2369790000000003,,
6092,107810.7,112.809851,110.48345,-3.627915,-2.2683079999999998,,
6093,107828.4,112.839713,110.496115,-3.659809,-2.298896,,
6094,107846.1,112.868842,110.508124,-3.690166,-2.335188,,
6095,107863.8,112.898291,110.521384,-3.718004,-2.362032,,
6096,107881.5,112.92774,110.534186,-3.741512,-2.382969,,
6097,107899.2,112.957068,110.546591,-3.768434,-2.4060610000000002,,
6098,107916.9,112.986609,110.559317,-3.797201,-2.4331949999999996,,
6099,107934.6,113.016135,110.572485,-3.834004,-2.474368,,
6100,107952.3,113.045599,110.585883,-3.864599,-2.503655,,
6101,107970.0,113.074896,110.599249,-3.895499,-2.534824,,
6102,107987.7,113.104285,110.612707,-3.922054,-2.566053,,
6103,108005.4,113.133246,110.625891,-3.95078,-2.600398,,
6104,108023.1,113.16181,110.639365,-3.97361,-2.620026,,
6105,108040.8,113.191687,110.652304,-3.99645,-2.640935,,
6106,108058.5,113.220648,110.66619,-4.023902,-2.6664489999999996,,
6107,108076.2,113.250555,110.680884,-4.048848,-2.6916559999999996,,
6108,108093.9,113.279089,110.694342,-4.081253,-2.720562,,
6109,108111.6,113.30892,110.707724,-4.111487,-2.7504380000000004,,
6110,108129.3,113.337927,110.722067,-4.141997,-2.7821569999999998,,
6111,108147.0,113.367331,110.736334,-4.174048,-2.8063000000000002,,
6112,108164.7,113.396674,110.750754,-4.198974,-2.8283519999999998,,
6113,108182.4,113.426566,110.76467,-4.221745,-2.8532850000000005,,
6114,108200.1,113.456274,110.778921,-4.241717,-2.8732060000000006,,
6115,108217.8,113.485785,110.793356,-4.26168,-2.8947010000000004,,
6116,108235.5,113.514929,110.807761,-4.28906,-2.9298859999999998,,
6117,108253.2,113.544562,110.822577,-4.323224,-2.968399,,
6118,108270.9,113.574072,110.83692,-4.352449,-2.996954,,
6119,108288.6,113.603934,110.851843,-4.378558,-3.014538,,
6120,108306.3,113.633231,110.866614,-4.409612,-3.037395,,
6121,108324.0,113.663367,110.881735,-4.433539,-3.0612759999999994,,
6122,108341.7,113.69361,110.896353,-4.453461,-3.0777039999999998,,
6123,108359.4,113.722418,110.911612,-4.477683,-3.1069069999999996,,
6124,108377.1,113.752463,110.926428,-4.495736,-3.12743,,
6125,108394.8,113.782126,110.942252,-4.524563,-3.1574659999999994,,
6126,108412.5,113.812109,110.957068,-4.54724,-3.1822920000000003,,
6127,108430.2,113.842154,110.97254,-4.573595,-3.2117370000000003,,
6128,108447.9,113.87229,110.987952,-4.600565,-3.238352,,
6129,108465.6,113.901694,111.003607,-4.633078,-3.2620500000000003,,
6130,108483.3,113.932455,111.019156,-4.66034,-3.285513,,
6131,108501.0,113.962424,111.03533,-4.688499,-3.3117550000000002,,
6132,108518.7,113.992575,111.05068,-4.712051,-3.3352699999999995,,
6133,108536.4,114.02262,111.067099,-4.733708,-3.352507,,
6134,108554.1,114.052542,111.082892,-4.751371,-3.377014,,
6135,108571.8,114.082541,111.099387,-4.769005,-3.392731,,
6136,108589.5,114.112479,111.115424,-4.795906,-3.4249039999999997,,
6137,108607.2,114.14231,111.131323,-4.822189,-3.4542779999999995,,
6138,108624.9,114.172842,111.147574,-4.855239,-3.482285,,
6139,108642.6,114.202612,111.164023,-4.879331,-3.5022769999999994,,
6140,108660.3,114.232367,111.180396,-4.910512,-3.527786,,
6141,108678.0,114.262381,111.197241,-4.931803,-3.548732,,
6142,108695.7,114.291937,111.213461,-4.955268,-3.574656,,
6143,108713.4,114.321936,111.229773,-4.97071,-3.595371,,
6144,108731.1,114.351218,111.246725,-4.98705,-3.6107370000000003,,
6145,108748.8,114.380713,111.263205,-5.012341,-3.637237,,
6146,108766.5,114.410574,111.280585,-5.046221,-3.679506,,
6147,108784.2,114.4401,111.29769,-5.075788,-3.7074750000000005,,
6148,108801.9,114.46929,111.314108,-5.101369,-3.730828,,
6149,108819.6,114.498846,111.331305,-5.120755,-3.740818,,
6150,108837.3,114.527808,111.348303,-5.146303,-3.7688229999999994,,
6151,108855.0,114.557288,111.365302,-5.167841,-3.791257,,
6152,108872.7,114.58631,111.38291,-5.190891,-3.8136459999999994,,
6153,108890.4,114.615713,111.400519,-5.20439,-3.826794,,
6154,108908.1,114.644812,111.417166,-5.221001,-3.8495990000000004,,
6155,108925.8,114.673346,111.434729,-5.243421,-3.8716739999999996,,
6156,108943.5,114.702368,111.452078,-5.274462,-3.908594,,
6157,108961.2,114.731268,111.469595,-5.303334,-3.9343090000000007,,
6158,108978.9,114.760794,111.487021,-5.324202,-3.9448609999999995,,
6159,108996.6,114.789465,111.504614,-5.347213,-3.9690779999999997,,
6160,109014.3,114.818701,111.523215,-5.368025,-3.9886090000000003,,
6161,109032.0,114.847449,111.541342,-5.388542,-4.010649,,
6162,109049.7,114.876379,111.558829,-5.402006,-4.023453,,
6163,109067.4,114.905127,111.57688,-5.415445,-4.042765,,
6164,109085.1,114.934683,111.594626,-5.440883,-4.068786,,
6165,109102.8,114.963507,111.612601,-5.466612,-4.095409,,
6166,109120.5,114.992407,111.631338,-5.490768,-4.119531,,
