T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
267.5,0.1,6.524050913693332,4.261465093979521,0.32748322415937337,76.49594054529068
268.5,0.1,6.524050913693332,4.2616047035805495,0.32032018264709233,76.49844662418708
269.5,0.1,6.524050913693332,4.26640594058598,0.36620768462329834,76.58463180520151
270.5,0.1,6.524050913693332,4.275199623781341,0.3973387768746951,76.74248387064182
271.5,0.1,6.524050913693332,4.284901038202151,0.42854675162640077,76.91663027437231
272.5,0.1,6.524050913693332,4.294443651435854,0.39491187977877584,77.08792609833748
273.5,0.1,6.524050913693332,4.301900711607933,0.30890842984072536,77.2217849518036
274.5,0.1,6.524050913693332,4.306888176914327,0.25281501911225146,77.31131304628185
275.5,0.1,6.524050913693332,4.310442379958387,0.19816080279050838,77.37511319452862
276.5,0.1,6.524050913693332,4.311308875666166,0.16651875344671727,77.3906673297106
277.5,0.1,6.524050913693332,4.310731162288947,0.13999722009161109,77.38029701640723
278.5,0.1,6.524050913693332,4.310302739921307,0.11874175918243499,77.37260656928622
279.5,0.1,6.524050913693332,4.30945106624056,0.11210059027150841,77.35731849867912
280.5,0.1,6.524050913693332,4.308196734582765,0.10154852955299937,77.33480246773608
281.5,0.1,6.524050913693332,4.307254215610489,0.10148522208478682,77.31788366782196
282.5,0.1,6.524050913693332,4.306471244030563,0.10370795943532958,77.3038288425199
283.5,0.1,6.524050913693332,4.306753107519617,0.11319327958272754,77.30888846690378
284.5,0.1,6.524050913693332,4.308286578364991,0.12479321508228941,77.33641521933018
285.5,0.1,6.524050913693332,4.310403055137053,0.1384638081411541,77.37440728960429
286.5,0.1,6.524050913693332,4.313348432836589,0.1485666180901074,77.42727864544514
287.5,0.1,6.524050913693332,4.316663261338162,0.1370369633006843,77.48678187224203
288.5,0.1,6.524050913693332,4.319091846327332,0.16632546649818294,77.53037647852034
289.5,0.1,6.524050913693332,4.31993702323191,0.265838959490709,77.54554792796719
290.5,0.1,6.524050913693332,4.318843410849934,0.32868465078128206,77.52591690767105
291.5,0.1,6.524050913693332,4.316909310324078,0.3120368164886231,77.4911986040896
