T(K),Fc,X,m(mol/kg),cp(J/gK),cp_err(%),cpm(J/molK)
184.5,0.8339732517447894,0.3123107738190744,26.665798743793182,3.4998111889163033,7.504758648431996,62.06453466409137
185.5,0.8330218387417055,0.3105240582563934,26.444538221034353,3.497709810584479,7.633084258401459,62.033655141152906
186.5,0.8320570555485599,0.30873261486452813,26.22384054658114,3.5036211991878297,7.942855693055806,62.144909979849814
187.5,0.8310783018611813,0.3069358517886358,26.003633524072836,3.5174956612753463,8.434968340179132,62.39746387442754
188.5,0.8300849557307602,0.30513317876719015,25.783846625201583,3.5284706275369997,8.752953056908401,62.5986500406318
189.5,0.8290763716940198,0.30332400558756445,25.564410780665376,3.5343303860159305,8.640894286668347,62.70914171286751
190.5,0.8280518788059505,0.3015077405897709,25.345258184064427,3.543509322299916,8.769710998838853,62.87857858241883
191.5,0.8270107785615344,0.29968378920729705,25.126322107059043,3.5518418730105825,8.97803231747708,63.033056972317006
192.5,0.82595234269205,0.2978515525348265,24.90753672428471,3.5548483418851147,8.918473325898844,63.09306683599836
193.5,0.8248758108205856,0.29601042591339943,24.68883694668115,3.561744174251759,8.641082518722024,63.222157786579004
194.5,0.8237803879601742,0.2941597975241202,24.470158262021013,3.5798938127441833,8.668071018984566,63.551089457300826
195.5,0.8226652418366008,0.2922990469820288,24.251436581543402,3.608162222604668,9.239314366507214,64.05977695335093
196.5,0.8215295000163284,0.2904275439221055,24.032608091693596,3.6332170524305525,9.609474729557387,64.51155143759436
197.5,0.82037224681813,0.2885446465696598,23.813609110056156,3.6472898479497373,9.336848145690135,64.76844575702277
198.5,0.8191925199849329,0.28664970028757186,23.59437594464396,3.6664122004195394,8.800720012020522,65.1151189374602
199.5,0.8179893070899477,0.2847420360929833,23.374844755769008,3.679908060165321,8.073152991182479,65.36197714046769
200.5,0.8167615416484363,0.28282096913609656,23.154951419776197,3.665184290993229,7.491888280695906,65.10765031198481
201.5,0.8155080989033386,0.2808857971337816,22.93463139397259,3.654448367727871,7.59660690790119,64.92416552845002
202.5,0.8142277912494521,0.27893579875064967,22.713819582127467,3.652265188022051,7.740525931614687,64.89265678319151
203.5,0.8129193632568189,0.27697023192018827,22.492450199958657,3.6428447693624144,8.090908409609455,64.73259317330474
204.5,0.8115814862494095,0.2749883320984494,22.27045664005722,3.658360509756542,9.145067149439107,65.01571321502564
205.5,0.8102127523899826,0.2729893104426859,22.047771335741007,3.6841829309277285,9.344667303519925,65.4821498698321
206.5,0.808811668216077,0.2709723519071454,21.824325623357563,3.6891815255744453,8.818971657233854,65.57859732725083
207.5,0.8073766475653424,0.26893661324813967,21.60004960259878,3.7137837456111744,8.85967539883205,66.02364954106996
208.5,0.8059060038207352,0.2668812209303388,21.3748719944255,3.753085536405419,9.004666571667094,66.73023902991326
209.5,0.804397941397303,0.26480526892613293,21.148719996243983,3.768393545396051,9.63015245038205,67.0104105179544
210.5,0.802850546382262,0.26270781639984986,20.921519134028756,3.794129812438989,10.50269666941683,67.4761900230672
211.5,0.801261776228587,0.26058788526859644,20.693193111143593,3.835686617924973,10.462138756367413,68.2235600822357
212.5,0.7996294483891705,0.25844445763156887,20.463663653682836,3.859276828238289,10.10693347393551,68.65160050828948
213.5,0.7979512277635391,0.25627647305993334,20.232850352245862,3.884400773849591,9.9758812072364,69.10712828431848
214.5,0.796224612811763,0.25408282573971613,20.000670500157906,3.9309529971406625,10.122379203674313,69.94414705074853
215.5,0.7944469201702947,0.2518623614608195,19.767038928287114,3.9744134361793972,10.426662780171638,70.72646381485629
216.5,0.7926152675815067,0.24961387444614774,19.531867836762753,4.0037144831924145,10.394879367820781,71.2570875953319
217.5,0.7907265549222572,0.24733610401618214,19.29506662410353,4.028385187265317,9.608084783287055,71.70554625183888
218.5,0.7887774430862762,0.24502773108609116,19.056541714504153,4.04319608544084,9.149992703475823,71.97871797353797
219.5,0.7867643304398524,0.24268737449492986,18.816196384334468,4.052256200074865,10.128359987877197,72.14970050582265
220.5,0.7846833265294767,0.2403135871696421,18.57393058927085,4.066155092094265,11.020736055126926,72.40703040989759
221.5,0.7825302226727565,0.23790485213078288,18.32964079393457,4.0762485963977255,10.493573095712797,72.59680058830783
222.5,0.780300459009025,0.2354595783522802,18.083219806465276,4.069920542257917,9.604485723294289,72.4942688117756
223.5,0.7779890875223326,0.23297609649445877,17.834556621130893,4.0592428806749306,9.492860301970389,72.31437691215466
224.5,0.7755907304754002,0.23045265453833694,17.583536272894744,4.049047062025534,10.22428729358585,72.1431812801054
225.5,0.7730995336069023,0.2278874133602655,17.33003970885099,4.0325180446456645,11.20876905059491,71.85924831953416
226.5,0.7705091133440155,0.22527844229982155,17.073943682632343,4.044889593564248,11.953349361247396,72.09049169167704
227.5,0.7678124971650805,0.22262371479108045,16.815120679324508,4.091920977222046,12.306501651233447,72.93981347047439
228.5,0.7650020561106043,0.21992110414863714,16.553438880126702,4.141257073540763,12.525245621247588,73.83068152278601
229.5,0.7620694282811981,0.2171683796257684,16.28876217801394,4.176870865638912,12.96642072625799,74.47735564815329
230.5,0.7590054319744185,0.21436320289381888,16.020950258028343,4.1999332003147565,13.153273815984324,74.90061616318852
231.5,0.7557999668939656,0.2115031251300005,15.749858758575119,4.205080303840987,12.708183195249124,75.00469743325566
