T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
120.5,0.0,0.0,1.060130766358711,0.9581789792601103,19.13832869892054
121.5,0.0,0.0,1.0656334741126547,0.8686425025520494,19.237667981460934
122.5,0.0,0.0,1.0713084616707562,0.8352591761811275,19.34011739684983
123.5,0.0,0.0,1.0770791462103908,0.8968571993319754,19.444294410706945
124.5,0.0,0.0,1.0835732919295882,0.9638517017978467,19.561531924546472
125.5,0.0,0.0,1.0906554931990537,1.0006306490121248,19.68938548762388
126.5,0.0,0.0,1.0980695005102121,1.0567062633643,19.82322907881076
127.5,0.0,0.0,1.1056031531718935,1.038673784492229,19.95923260358156
128.5,0.0,0.0,1.112912062784928,0.9781608052336119,20.09117888704375
129.5,0.0,0.0,1.1198883269079165,0.9004931557190609,20.217119988003237
130.5,0.0,0.0,1.1263228444219668,0.8006758437202702,20.333281045780886
131.5,0.0,0.0,1.1324927549040296,0.7887428628014945,20.444665205731468
132.5,0.0,0.0,1.1385658993780023,0.7954754710722859,20.5543024682912
133.5,0.0,0.0,1.1442396469412293,0.7722332301766442,20.656729498300624
134.5,0.0,0.0,1.1501990122670067,0.8081378634097374,20.76431272865382
135.5,0.0,0.0,1.1570936961006293,0.8832832929736665,20.888781076965444
136.5,0.0,0.0,1.1642102671097732,0.9747391565745592,21.017255110079315
137.5,0.0,0.0,1.1714501809946394,1.0288504331913468,21.147955827460027
138.5,0.0,0.0,1.179469829776705,1.0195985426281096,21.292732942992902
139.5,0.0,0.0,1.187809684954293,0.9982138055901091,21.443290680542862
140.5,0.0,0.0,1.1955361509986098,0.9753876393282679,21.582775026747704
141.5,0.0,0.0,1.203221975226834,0.9729960689424435,21.72152567437499
142.5,0.0,0.0,1.2113050935656913,0.9640984467709599,21.867448593122713
143.5,0.0,0.0,1.219249820949257,0.9559018230412126,22.01087316763275
144.5,0.0,0.0,1.2269645596192984,0.9628076527232404,22.15014580189527
145.5,0.0,0.0,1.234605888931043,0.910379514906165,22.288093191694333
146.5,0.0,0.0,1.2415619354393412,0.796760351295314,22.41366930809934
147.5,0.0,0.0,1.2479737450610244,0.7174002278550838,22.529420424837664
148.5,0.0,0.0,1.2545569449632894,0.7528948553109934,22.64826561603327
149.5,0.0,0.0,1.2610844365822798,0.8162725488220282,22.766105116732582
150.5,0.0,0.0,1.2674259682005393,0.8427452339031466,22.8805875187307
151.5,0.0,0.0,1.2740304234706266,0.8122825841092909,22.999816428830528
152.5,0.0,0.0,1.2806512661683176,0.7280148859774271,23.119341177883406
153.5,0.0,0.0,1.2863554732073919,0.6770363857495265,23.222318086718406
154.5,0.0,0.0,1.2912630268093106,0.6217912745632546,23.310913170383124
155.5,0.0,0.0,1.2965394219955884,0.6416463813248927,23.406166877401958
156.5,0.0,0.0,1.3025625434060861,0.7646910871190885,23.514901083601394
157.5,0.0,0.0,1.3094305101940567,0.940669466725414,23.638887114431267
158.5,0.0,0.0,1.317381834394668,1.0972729137182784,23.782430779960062
159.5,0.0,0.0,1.3267547000651714,1.1448974657369446,23.951637249336528
160.5,0.0,0.0,1.3373994145102714,1.2249181698483633,24.14380415027103
161.5,0.0,0.0,1.3480037913987244,1.2583461281324642,24.33524284536289
162.5,0.0,0.0,1.3566908779856586,1.1256535860913897,24.492069082099498
163.5,0.0,0.0,1.364564092816234,0.9659634483118028,24.634202654792908
164.5,0.0,0.0,1.374040314654253,1.0490658945255746,24.805274992390302
165.5,0.0,0.0,1.3844896298836487,1.3716854379160035,24.993914390363535
166.5,0.0,0.0,1.3943182124408995,1.5464964595602069,25.17134782555307
167.5,0.0,0.0,1.4042733874446676,1.3822735461364921,25.351066608861096
168.5,0.0,0.0,1.4152207693311887,1.1182547985568714,25.548697504582083
169.5,0.0,0.0,1.4257358435288368,1.1604322523021169,25.738524036057385
170.5,0.0,0.0,1.4339868412717462,1.3686523154090051,25.887477648110583
171.5,0.0,0.0,1.4424576033138699,1.5032071621302652,26.040398621104632
172.5,0.0,0.0,1.450679758745969,1.4773909959038007,26.18883154868923
173.5,0.0,0.0,1.4576742182872586,1.3223932419724769,26.315101127896224
