T(K),X,m,cp(J/gK),cp_err(%),dev%,cpm(J/molK)
145.5,0.0,0.0,1.1897772557358945,0.87732356587174,3.631007562580334,21.47881084234896
146.5,0.0,0.0,1.1962315231188492,0.7676699980766032,3.65107942073396,21.59532844055996
147.5,0.0,0.0,1.2021587409590353,0.6910633802154394,3.671151278887584,21.702331318785273
148.5,0.0,0.0,1.208248448743447,0.7251038262141611,3.691223137041209,21.812267595475703
149.5,0.0,0.0,1.2142818730022207,0.7859782665704469,3.7112949951948337,21.92118779693449
150.5,0.0,0.0,1.2201336557323736,0.8112993175871106,3.7313668533484585,22.026828860205395
151.5,0.0,0.0,1.2262359529682356,0.7818103008022255,3.7514387115020833,22.136992411744966
152.5,0.0,0.0,1.2323513683043499,0.7005577276041215,3.771510569655708,22.24739278172477
153.5,0.0,0.0,1.2375822451260967,0.651365993117572,3.791582427809333,22.3418247548124
154.5,0.0,0.0,1.2420445443048784,0.5980907407966205,3.8116542859629576,22.42238174942711
155.5,0.0,0.0,1.2468595819942052,0.6170602491788888,3.831726144116583,22.50930666182499
156.5,0.0,0.0,1.2523904653808504,0.7352367311018971,3.851798002270208,22.60915459342742
157.5,0.0,0.0,1.258731064926659,0.9042479691570631,3.871869860423832,22.723620168907992
158.5,0.0,0.0,1.2661101011889009,1.0545676914226263,3.891941718577457,22.85683243474299
159.5,0.0,0.0,1.2748518760687042,1.1001089214376654,3.912013576731082,23.014645948293104
160.5,0.0,0.0,1.2848117269260797,1.1767533409024995,3.9320854348847063,23.194449143851134
161.5,0.0,0.0,1.2947285612465265,1.2086143098578115,3.952157293038332,23.373475770471295
162.5,0.0,0.0,1.3028000074387502,1.08094004620323,3.972229151191956,23.519187974290272
163.5,0.0,0.0,1.310086586765564,0.9273992798149413,3.992301009345581,23.650731133561376
164.5,0.0,0.0,1.3189086938805652,1.0069734592114428,4.012372867499206,23.80999486888707
165.5,0.0,0.0,1.328660850826195,1.3163729808222118,4.032444725652831,23.986048607795134
166.5,0.0,0.0,1.3378132356506984,1.4838244340685498,4.052516583806456,24.15127478055493
167.5,0.0,0.0,1.3470831117740747,1.3259792334602656,4.072588441960081,24.318622000235017
168.5,0.0,0.0,1.3573005907458073,1.0724884283622178,4.092660300113706,24.50307610461591
169.5,0.0,0.0,1.3670991470000824,1.112706781886782,4.11273215826733,24.67996748096309
170.5,0.0,0.0,1.3747229755007195,1.3120885975469434,4.132804016420955,24.81759893211939
171.5,0.0,0.0,1.3825541295048815,1.4407808345492803,4.15287587457458,24.95897318912573
172.5,0.0,0.0,1.3901436506442322,1.4157402418367024,4.172947732728205,25.095985296350197
173.5,0.0,0.0,1.3965536527432403,1.2669450342680735,4.193019590881829,25.21170378224317
174.5,0.0,0.0,1.400920571042372,1.2535845579350218,4.213091449035455,25.290538884913737
175.5,0.0,0.0,1.4083243593382946,1.6193012283075943,4.23316330718908,25.424197994262368
176.5,0.0,0.0,1.418829929418629,1.9968489671771525,4.253235165342704,25.613852949808628
177.5,0.0,0.0,1.4281651501890906,1.9840730635332404,4.273307023496329,25.782379823333617
178.5,0.0,0.0,1.4368774325400304,1.846706530154869,4.293378881649954,25.93966091415866
179.5,0.0,0.0,1.445489070093262,1.5163306076769925,4.313450739803579,26.095125084579642
180.5,0.0,0.0,1.452102901466966,1.3776965195367408,4.333522597957203,26.214523259602846
181.5,0.0,0.0,1.4567813695263194,1.530375549124675,4.353594456110828,26.29898270778474
182.5,0.0,0.0,1.4672506740956812,1.7672810885796324,4.373666314264453,26.487982969314515
183.5,0.0,0.0,1.4804910558952156,1.9373321209921406,4.393738172418078,26.72700893386515
184.5,0.0,0.0,1.4907914963512203,1.7371467191973076,4.413810030571703,26.912960725329313
185.5,0.0,0.0,1.498196657926848,1.4733232092069783,4.433881888725328,27.046644626221802
186.5,0.0,0.0,1.5048083225725812,1.2996069774220749,4.453953746878953,27.166003685738296
187.5,0.0,0.0,1.507927477776623,1.2811136973812667,4.474025605032577,27.22231317080582
188.5,0.0,0.0,1.5063623325656177,1.4700779095373029,4.494097463186202,27.194057917340587
189.5,0.0,0.0,1.5098021314043801,1.8309090678489433,4.514169321339827,27.256155917816997
190.5,0.0,0.0,1.5199603096788517,2.4653832789329337,4.534241179493452,27.439539478570374
191.5,0.0,0.0,1.5261808676994228,2.9824628504286212,4.554313037647076,27.551837968404143
192.5,0.0,0.0,1.5284940916805432,3.0160467997962703,4.574384895800701,27.593598138290513
193.5,0.0,0.0,1.5357461401618873,2.7206351416606176,4.594456753954327,27.724517919114522
194.5,0.0,0.0,1.540178837887361,2.3275747829364435,4.614528612107951,27.804540524612953
195.5,0.0,0.0,1.5383655428073992,2.352997661501486,4.634600470261576,27.771805471193417
196.5,0.0,0.0,1.539463260870021,2.5200946577269394,4.6546723284152005,27.791622355834317
197.5,0.0,0.0,1.5453812543027057,2.3258034252159594,4.674744186568826,27.898458707675886
198.5,0.0,0.0,1.556375635642325,2.4173547127701536,4.69481604472245,28.096938075123767
199.5,0.0,0.0,1.5681159105661617,2.7340828821136096,4.714887902876075,28.308882910268807
200.5,0.0,0.0,1.5733377681489438,2.7426469609306907,4.7349597610297,28.403152060839254
201.5,0.0,0.0,1.5815889619062395,2.705224603117068,4.755031619183325,28.552109211500962
202.5,0.0,0.0,1.590010965949348,2.6371378284891165,4.775103477336949,28.70414996609039
203.5,0.0,0.0,1.5860728404044913,2.4147353053174943,4.795175335490574,28.633055773254203
204.5,0.0,0.0,1.5825884517039774,2.1768097485662317,4.815247193644199,28.570152800921566
205.5,0.0,0.0,1.5882359909665011,2.0063523911608896,4.835319051797824,28.672106697720054
206.5,0.0,0.0,1.5967163974976184,2.1123188178317136,4.855390909951449,28.825201780745008
