T(K),dev%
100.0,2.717738016590405
100.5,2.727773945667217
101.0,2.7378098747440296
101.5,2.747845803820842
102.0,2.7578817328976544
102.5,2.767917661974467
103.0,2.777953591051279
103.5,2.7879895201280918
104.0,2.798025449204904
104.5,2.8080613782817165
105.0,2.8180973073585287
105.5,2.8281332364353413
106.0,2.838169165512154
106.5,2.848205094588966
107.0,2.8582410236657787
107.5,2.868276952742591
108.0,2.8783128818194035
108.5,2.8883488108962156
109.0,2.8983847399730283
109.5,2.9084206690498404
110.0,2.918456598126653
110.5,2.9284925272034656
111.0,2.938528456280278
111.5,2.9485643853570904
112.0,2.9586003144339026
112.5,2.968636243510715
113.0,2.9786721725875274
113.5,2.98870810166434
114.0,2.998744030741152
114.5,3.0087799598179648
115.0,3.0188158888947774
115.5,3.0288518179715895
116.0,3.038887747048402
116.5,3.0489236761252143
117.0,3.058959605202027
117.5,3.068995534278839
118.0,3.0790314633556517
118.5,3.089067392432464
119.0,3.0991033215092765
119.5,3.109139250586089
120.0,3.1191751796629013
120.5,3.129211108739714
121.0,3.139247037816526
121.5,3.1492829668933386
122.0,3.159318895970151
122.5,3.1693548250469634
123.0,3.1793907541237756
123.5,3.189426683200588
124.0,3.199462612277401
124.5,3.209498541354213
125.0,3.2195344704310256
125.5,3.2295703995078378
126.0,3.2396063285846504
126.5,3.2496422576614625
127.0,3.259678186738275
127.5,3.2697141158150873
128.0,3.2797500448919
128.5,3.2897859739687125
129.0,3.2998219030455247
129.5,3.3098578321223373
130.0,3.3198937611991495
130.5,3.329929690275962
131.0,3.3399656193527743
131.5,3.350001548429587
132.0,3.360037477506399
132.5,3.3700734065832116
133.0,3.3801093356600243
133.5,3.3901452647368364
134.0,3.400181193813649
134.5,3.410217122890461
135.0,3.420253051967274
135.5,3.430288981044086
136.0,3.4403249101208986
136.5,3.4503608391977107
137.0,3.4603967682745234
137.5,3.470432697351336
138.0,3.480468626428148
138.5,3.4905045555049607
139.0,3.500540484581773
139.5,3.5105764136585855
140.0,3.5206123427353977
140.5,3.5306482718122103
141.0,3.5406842008890225
141.5,3.550720129965835
142.0,3.5607560590426477
142.5,3.57079198811946
143.0,3.5808279171962725
143.5,3.5908638462730846
144.0,3.6008997753498972
144.5,3.6109357044267094
145.0,3.620971633503522
145.5,3.631007562580334
146.0,3.641043491657147
146.5,3.6510794207339594
147.0,3.6611153498107716
147.5,3.671151278887584
148.0,3.6811872079643964
148.5,3.691223137041209
149.0,3.701259066118021
149.5,3.7112949951948337
150.0,3.721330924271646
150.5,3.7313668533484585
151.0,3.741402782425271
151.5,3.7514387115020833
152.0,3.761474640578896
152.5,3.771510569655708
153.0,3.7815464987325207
153.5,3.791582427809333
154.0,3.8016183568861455
154.5,3.8116542859629576
155.0,3.8216902150397702
155.5,3.831726144116583
156.0,3.841762073193395
156.5,3.8517980022702076
157.0,3.86183393134702
157.5,3.8718698604238324
158.0,3.8819057895006446
158.5,3.891941718577457
159.0,3.9019776476542694
159.5,3.912013576731082
160.0,3.9220495058078946
160.5,3.9320854348847067
161.0,3.9421213639615194
161.5,3.9521572930383315
162.0,3.962193222115144
162.5,3.9722291511919563
163.0,3.982265080268769
163.5,3.992301009345581
164.0,4.002336938422394
164.5,4.012372867499206
165.0,4.022408796576019
165.5,4.032444725652831
166.0,4.042480654729643
166.5,4.052516583806456
167.0,4.0625525128832685
167.5,4.072588441960081
168.0,4.082624371036893
168.5,4.092660300113706
169.0,4.102696229190518
169.5,4.11273215826733
170.0,4.122768087344143
170.5,4.132804016420955
171.0,4.142839945497768
171.5,4.15287587457458
172.0,4.162911803651393
172.5,4.172947732728205
173.0,4.182983661805017
173.5,4.193019590881829
174.0,4.203055519958642
174.5,4.2130914490354545
175.0,4.223127378112267
175.5,4.23316330718908
176.0,4.243199236265892
176.5,4.253235165342704
177.0,4.263271094419516
177.5,4.273307023496329
178.0,4.2833429525731415
178.5,4.293378881649954
179.0,4.303414810726767
179.5,4.313450739803579
180.0,4.323486668880391
180.5,4.333522597957203
181.0,4.343558527034016
181.5,4.353594456110828
182.0,4.363630385187641
182.5,4.373666314264453
183.0,4.383702243341266
183.5,4.393738172418078
184.0,4.40377410149489
184.5,4.413810030571703
185.0,4.423845959648515
185.5,4.4338818887253275
186.0,4.44391781780214
186.5,4.453953746878953
187.0,4.463989675955765
187.5,4.474025605032577
188.0,4.48406153410939
188.5,4.494097463186202
189.0,4.5041333922630145
189.5,4.514169321339827
190.0,4.52420525041664
190.5,4.534241179493452
191.0,4.544277108570264
191.5,4.554313037647076
192.0,4.564348966723889
192.5,4.574384895800701
193.0,4.584420824877514
193.5,4.594456753954327
194.0,4.604492683031139
194.5,4.614528612107951
195.0,4.624564541184763
195.5,4.634600470261576
196.0,4.644636399338388
196.5,4.6546723284152005
197.0,4.664708257492014
197.5,4.674744186568826
198.0,4.684780115645638
198.5,4.69481604472245
199.0,4.704851973799263
199.5,4.714887902876075
200.0,4.7249238319528875
200.5,4.7349597610297
201.0,4.744995690106512
201.5,4.755031619183325
202.0,4.765067548260137
202.5,4.775103477336949
203.0,4.785139406413762
203.5,4.795175335490574
204.0,4.805211264567387
