T(K),j_total,j_sum,c_melt,c_heat,l_heat,l_mix
176.5,30.635756476617335,30.63575647661733,0.23247239301744843,5.47070173630488,24.929797447535158,0.0027848997598450822
177.5,31.34527209187157,31.34527209187157,0.24925537868918834,5.491612589046056,25.601563641295343,0.002840482840983865
178.5,30.401445947457617,30.401445947457614,0.2664261797260982,5.512406815298817,24.6197136505573,0.0028993018753988623
179.5,23.500790108522725,23.500790108522725,0.2840094881215942,5.533080281149128,17.680738861393113,0.002961477858891073
180.5,13.75367901699731,13.75367901699731,0.3020308778132421,5.553768251921109,7.894852741988471,0.003027145274488578
181.5,9.371440256182588,9.371440256182586,0.3205169220059842,5.574465877517623,3.473361004036397,0.003096452622583042
182.5,8.982140609071644,8.982140609071644,0.3394953136260578,5.595028928413125,3.0444468039563777,0.0031695630760834098
183.5,9.01858474431818,9.018584744318181,0.3589949901462402,5.615452687044844,3.040890411864323,0.003246655262772748
184.5,9.080059184649459,9.080059184649459,0.37904626400066627,5.63573226093541,3.061952735534267,0.003327924179115765
185.5,9.139908792604004,9.139908792604004,0.3996809598307991,5.655862569116428,3.080951681414647,0.0034135822421294693
186.5,9.1981717125,9.198171712499999,0.42093255981370986,5.675838327871487,3.0978969643271834,0.0035038604876198357
187.5,9.24646819716872,9.246468197168719,0.44283635839658425,5.69565403570386,3.1043787931426796,0.0035990099255962366
188.5,9.294773008195303,9.294773008195303,0.4654296278293189,5.715303957429401,3.110340119870802,0.0036993030657806176
189.5,9.357473266140218,9.357473266140218,0.48875179597670526,5.734782107289328,3.1301343272457602,0.003805035628424375
190.5,9.442504820367876,9.442504820367875,0.5128446380187281,5.754223973929237,3.1715196799615017,0.003916528458408507
191.5,9.529544627523112,9.529544627523112,0.5377524837934687,5.773622475862178,3.21413553820395,0.004034129663516012
192.5,9.611363264705314,9.611363264705314,0.5635224426854425,5.792828824801264,3.2508537802179465,0.004158217000661501
193.5,9.709427149595532,9.709427149595532,0.5902046481852958,5.811835820949016,3.303097479923341,0.004289200537880171
194.5,9.799667621205703,9.799667621205705,0.6178525244509819,5.830635909407998,3.3467516617231627,0.0044275256235613795
195.5,9.846286405489213,9.846286405489213,0.6465230774715199,5.849221154633009,3.3459684971854986,0.004573676199186929
196.5,9.887263848131742,9.887263848131742,0.6762772137426145,5.867583212876108,3.338675243015869,0.0047281784971496665
197.5,9.951003996927966,9.951003996927966,0.7071800896873032,5.885713302416769,3.3532189996529342,0.004891605170959029
198.5,10.030072002937208,10.030072002937208,0.7393014954762545,5.903602171347385,3.382103756201182,0.005064579912385522
199.5,10.127899043990755,10.127899043990755,0.7727162773323276,5.921240062659316,3.4286949213814193,0.005247782617693036
200.5,10.22499592626156,10.224995926261558,0.807504802944223,5.938754578198,3.473294589944752,0.005441955174585011
201.5,10.325654264060095,10.325654264060095,0.8437534751890015,5.956134191575372,3.5201186893439935,0.005647907951728544
202.5,10.41574247215909,10.41574247215909,0.8815553000666394,5.973229250414585,3.5550913945925386,0.0058665270853278835
203.5,10.466246275337056,10.466246275337054,0.9210105155188577,5.990027534156582,3.5491094429904577,0.006098782671157989
204.5,10.504127475789677,10.504127475789677,0.9622272887151677,6.006516089086411,3.529038360000884,0.00634573798721446
205.5,10.583560814657167,10.583560814657167,1.0053224904263962,6.022681169846603,3.5489485944928574,0.006608559891310067
206.5,10.682086123786595,10.682086123786595,1.0504225563021825,6.038508175406018,3.5862668615178683,0.0068885305605270175
207.5,10.781429840851303,10.781429840851303,1.0976644462381195,6.053981578859101,3.6225967549885887,0.0071870607654916235
208.5,10.906191846041974,10.906191846041974,1.1471967146350417,6.069084850351258,3.6824045761521194,0.007505704903554586
209.5,11.027592433349376,11.027592433349378,1.1991807061733943,6.0838003723354594,3.736765176789843,0.007846178050680374
210.5,11.135714782222646,11.135714782222646,1.2537918938659165,6.098231873895114,3.7754806391273545,0.008210375334261113
211.5,11.236182789348991,11.236182789348991,1.311221378639007,6.112358534466925,3.8040024822640737,0.008600393978984454
212.5,11.339261353043138,11.339261353043138,1.3716775725403554,6.126036066239291,3.8325291558274026,0.009018558436090188
213.5,11.447290016592834,11.447290016592836,1.4353880910413612,6.139241422446291,3.863193054029358,0.009467449075825488
214.5,11.57256557824537,11.57256557824537,1.502601883754642,6.151949890705529,3.9080638687813347,0.009949935003866045
215.5,11.700882692969952,11.700882692969952,1.5735916374483,6.164134938279373,3.952686905583069,0.010469211659209192
216.5,11.842448110882126,11.842448110882128,1.6486564904996635,6.175768040136307,4.0069947362816425,0.011028843964513315
217.5,12.001521256721878,12.001521256721878,1.7281251041089976,6.18681848759748,4.074944849080577,0.011632815934823083
218.5,12.165710843037363,12.165710843037361,1.812359142827219,6.197253175033818,4.143812937365874,0.012285587810451921
219.5,12.334658414811244,12.334658414811244,1.9017572253684156,6.207036361709127,4.212872665764804,0.012992161968897385
220.5,12.49348476072804,12.493484760728037,1.9967594166097797,6.2162364181853516,4.266730766837198,0.013758159095709058
221.5,12.640540027966102,12.640540027966102,2.097852343277687,6.224810604643805,4.3032871736839,0.014589906360709906
222.5,12.791996888260783,12.791996888260783,2.2055750294460763,6.232606178415612,4.3383211407365545,0.01549453966254029
223.5,12.952422731249998,12.952422731249998,2.320525564005727,6.23957378219362,4.375843262670477,0.016480122380172966
224.5,13.118088970040446,13.118088970040446,2.4433687310750316,6.245659717864774,4.411504737585205,0.017555783515436515
225.5,13.308630515610554,13.308630515610554,2.574844756504442,6.2508054679588065,4.464248412508604,0.01873187863870205
226.5,13.534981383070106,13.534981383070104,2.7157793497170086,6.254947154985153,4.5442347006930985,0.020020177674845027
227.5,13.770015206365562,13.77001520636556,2.867095250887132,6.258014929543729,4.623470941629701,0.021434084304999643
228.5,13.99993899483821,13.999938994838212,3.0298255297936523,6.259932276632692,4.687192295780745,0.022988892631121954
229.5,14.248100481086285,14.248100481086285,3.205128925542504,6.260615227863707,4.75765423990552,0.024702087774553228
230.5,14.504222585920644,14.504222585920644,3.39430756713172,6.2600643807619285,4.8232569397455,0.02659369828149506
231.5,14.75623619127504,14.75623619127504,3.598827475028481,6.25817683881307,4.870545167821147,0.028686709612340665
232.5,15.021956823565105,15.021956823565104,3.8203423155912244,6.2547469613806035,4.915859996966668,0.03100754962660986
233.5,15.311082955710711,15.311082955710711,4.060720965713037,6.249650525993975,4.967124805134388,0.033586658869311295
234.5,15.616363694857474,15.616363694857476,4.322079548002117,6.242749900076914,5.0150750861243045,0.036459160654139386
235.5,15.968199270502696,15.968199270502698,4.60681872146339,6.2338922876212,5.087822612957523,0.03966564846058378
236.5,16.370069052917945,16.370069052917945,4.9176671652388695,6.222907714168551,5.186241062444737,0.0432531110657864
237.5,16.79132043665254,16.791320436652537,5.257732382322046,6.209606706967427,5.2767053281720955,0.047276019190971505
238.5,17.234279788135595,17.234279788135595,5.6305601888046795,6.193777619289568,5.358144378674932,0.0517976013664159
239.5,17.714395326483054,17.714395326483054,6.040204560772998,6.175183538278113,5.442115886029174,0.05689134140276773
240.5,18.221033730161786,18.221033730161782,6.491309912860405,6.153634890654228,5.51344619101456,0.06264273563259128
241.5,18.75616576300077,18.756165763000766,6.98920842078812,6.128831102338325,5.568974884331241,0.06915135554308244
242.5,19.347501286248075,19.347501286248075,7.540035736013435,6.100358571766876,5.630573706903234,0.07653327156453164
243.5,19.999170952349772,19.999170952349772,8.150869465375129,6.06783691876052,5.695540659893064,0.0849239083210603
244.5,20.718246177966098,20.718246177966098,8.829896237357149,6.030835594532709,5.763032922680836,0.09448142339540368
245.5,21.514213842690676,21.514213842690676,9.586615248674297,5.988866058777375,5.8333418001166,0.10539073512240393
246.5,22.410733549470347,22.41073354947035,10.432089171195315,5.941372502215556,5.91940349890641,0.11786837715306543
247.5,23.423265089830508,23.423265089830508,11.379257622220361,5.887720762096123,6.0241182662555115,0.13216843925851257
248.5,24.55847340901386,24.558473409013864,12.443334671427124,5.827184959806187,6.139363796744467,0.14858998103608181
249.5,25.810963998844365,25.810963998844365,13.642320959163026,5.758931221877618,6.24222531666969,0.16748650113403052
250.5,27.17511856494953,27.175118564949532,14.99767422428806,5.682056472615386,6.306109525067927,0.18927834297815474
251.5,28.709727520265403,28.709727520265407,16.535201306129704,5.595442261664333,6.364614584955879,0.21446936751548792
252.5,30.461543338366713,30.461543338366717,18.286262934289386,5.497727990699397,6.433882516977121,0.24366989640080858
253.5,32.44341340847458,32.44341340847458,20.28942450964407,5.3873868554189235,6.488973106704488,0.2776289367071009
254.5,34.72628910072226,34.726289100722255,22.592749263594513,5.2626122719114194,6.5536473435225835,0.3172802216937462
255.5,37.37433466651579,37.37433466651579,25.25702766611656,5.121246467742275,6.6322515811059155,0.3638089515510422
256.5,40.375814021725745,40.37581402172575,28.36039149159974,4.960683925063431,6.635988757258264,0.41874984780431124
257.5,43.82974781186444,43.82974781186444,32.00501340679872,4.777738592619119,6.562862544238095,0.4841332682085124
258.5,47.79023138725927,47.79023138725927,36.32701864096318,4.568457969133182,6.3320481750179685,0.5627066021449356
259.5,52.31772037110994,52.31772037110994,41.51147725802566,4.327857637243929,5.8201087306234225,0.6582767452169331
260.5,57.46152308385071,57.46152308385071,47.815685122722684,4.049569063942118,4.820015195357854,0.7762537018280515
261.5,63.21844857388119,63.21844857388119,55.6064561363651,3.7251794192355083,2.962271887828145,0.9245411304524398
262.5,69.59289309252526,69.59289309252526,65.42208238208231,3.343347450558436,-0.28758856150378476,1.115051821388299
263.5,76.42781361932965,76.42781361932967,78.07981493347035,2.888437015392621,-5.906844548551865,1.366406219018553
264.5,83.38525006509234,83.38525006509234,94.87211890211735,2.3380786173925694,-15.533951845705609,1.7090043912880237
265.5,89.77094842832794,89.77094842832793,117.94792574223575,1.6589360865361211,-32.0311149559403,2.1952015554963706
