T(K),X,m,cp(J/gK),cpm(J/molK)
175.148154,0.32890293526329034,28.776784272577082,-18.853715387631134,-334.0261280953877
175.197123,0.3288161015527457,28.76546492640226,-18.651939520867852,-330.45297507740946
175.2461685,0.3287291367582658,28.754131427685103,-18.411684567041146,-326.1980584114985
175.29465349999998,0.32864317022121436,28.742930910534458,-18.296064199360593,-324.1512305285733
175.3432375,0.32855703246525025,28.731710962032153,-17.861385373806197,-316.45160115583633
175.391955,0.3284706622698203,28.720463626974457,-17.64246604709811,-312.57454683984656
175.4403365,0.32838489189151,28.709297264314,-17.257921400369273,-305.76301695701136
175.489237,0.32829820553153904,28.698014548422314,-16.854820035327254,-298.62265968524787
175.5382255,0.3282113672189434,28.686714974506472,-16.501206326358894,-292.3590278192925
175.5870845,0.3281247624099309,28.675448693657913,-16.08287808263985,-284.9487481465624
175.6360345,0.3280380001685938,28.66416484468918,-15.661088009972033,-277.4770616177582
175.6846525,0.32795183013601775,28.652960899088367,-15.245840149627272,-270.1212040284569
175.7333855,0.32786545994543587,28.64173381145794,-14.765695160739957,-261.6154428432269
175.7822825,0.3277788027010757,28.630472309701634,-14.32129647945778,-253.74294973158464
175.8309885,0.3276924874618681,28.619258139009798,-13.828393459821417,-245.01097495883394
175.8799195,0.32760577692554466,28.607995509816867,-13.349011472268224,-236.51848498261793
175.92886950000002,0.32751903608611366,28.596731850581705,-12.849460654401808,-227.66855627733173
175.97748,0.3274329001002043,28.585549609120566,-12.329851333881077,-218.463130242466
176.02610249999998,0.32734674600782215,28.574367881828977,-11.812394501908434,-209.295751435212
176.074862,0.3272603522538283,28.563157925374494,-11.257032690854276,-199.45666850316667
176.123648,0.3271739145588527,28.55194514840064,-10.726671256802392,-190.06045702237728
176.17231600000002,0.32708768885334144,28.540762740938458,-10.128836703823476,-179.4686216707746
176.2206825,0.3270020001278806,28.529652811855318,-9.529145010923258,-168.84376969649273
176.269812,0.3269149624139405,28.51837087624449,-9.039552862552444,-160.16965223394885
176.31914,0.3268275757764086,28.50704664768675,-8.290758318008919,-146.90268298488365
176.3675715,0.32674177991436004,28.495931423886965,-7.524587039252625,-133.32767052611516
176.41607900000002,0.3266558519084326,28.484801919374622,-6.876000897486715,-121.83601839796306
176.464594,0.32656991302815813,28.47367384713645,-5.972501067385342,-105.82740854159732
176.513365,0.32648352302227235,28.462490221671867,-5.266635684250561,-93.3205664669254
176.5621095,0.3263971822296079,28.451315833272933,-4.059714121996874,-71.93524112385596
176.610594,0.32631130414668186,28.44020417090576,-3.076786860986303,-54.518740521560176
176.6595825,0.32622453547489716,28.428980153067027,-1.847178355748448,-32.73100995076952
176.7084605,0.32613796456372357,28.417784597288357,-0.21820027410481657,-3.8664111531224905
176.757109,0.3260518020794818,28.406644716141546,1.5617467689350608,27.6735909362326
176.805956,0.32596528989869333,28.395462488402543,3.487048050478408,61.78954530250683
176.854582,0.3258791709098878,28.384333933697125,6.053624030517145,107.26910796848941
176.903143,0.3257931687340916,28.373223311123024,8.194584823249182,145.20726081444482
176.95189499999998,0.3257068299185182,28.362072048903602,10.837551625837987,192.04133635886404
177.000441,0.3256208574619902,28.350970941698293,13.442016763118925,238.19362057447566
177.04908949999998,0.32553470494255404,28.339849423010293,15.787664117403425,279.7600705682213
177.0977155,0.32544859364927614,28.328736065052937,18.453803772731824,327.0061385972779
177.1461625,0.3253628006391629,28.317666605436767,20.77333696831326,368.1106831370712
177.1948955,0.3252765023859397,28.3065347966735,22.47643051891149,398.2920691739174
177.24365849999998,0.32519015215664215,28.29539913315963,24.70850867295967,437.84763946773353
177.29222299999998,0.3251041544975226,28.28431176894164,26.156815227708712,463.5146842171105
177.340567,0.32501854827438603,28.273277677101095,27.796189394175908,492.56782352941076
177.388739,0.32493324751602054,28.26228574124437,28.41986437985778,503.6222554673578
177.437159,0.32484750843074117,28.251240121122414,28.624421953794336,507.24968362258534
177.4858845,0.32476122913710165,28.24012773850105,28.50709956108571,505.1731418486778
177.53432350000003,0.3246754578249493,28.22908359600002,29.26501019750004,518.6066099625697
177.5826935,0.3245898092807656,28.21805806043303,28.534091294294022,505.65645918593987
177.6315215,0.32450335027690497,28.206931030147878,28.43147602937655,503.840512057177
177.6802925,0.3244169926439975,28.195819889017198,28.9447510423593,512.938926845438
177.7290365,0.32433068318213887,28.18471778364396,29.48371462461379,522.4926681501881
177.777342,0.3242451504391815,28.173718386518033,31.670325285377185,561.2452358286141
177.82555250000001,0.3241597861118241,28.162743423312484,32.48611713788801,575.7051135811734
177.8745065,0.3240731054293535,28.151602057949283,33.90466745057701,600.8470602015688
177.92310550000002,0.32398705338113026,28.14054431926282,37.42144227237654,663.1734456702907
177.971476,0.3239014059017197,28.129541362886545,38.90482946034547,689.4650673518553
178.0199455,0.3238155830252484,28.11851866950971,42.08543938000944,745.8350102699673
178.0682815,0.3237299963537509,28.107529099365035,44.16101636458136,782.6220924042967
178.1166595,0.3236443350609194,28.096532732529678,47.0306803019762,833.4824296527875
178.165213,0.3235583626849042,28.085499232091887,48.720638538432226,863.4363188254
178.21376650000002,0.32347238990069704,28.07446848353756,51.99568651122819,921.4819025858151
178.262133,0.3233867477523003,28.063482944309914,54.05531851794531,957.987999620868
178.3105835,0.32330095630817823,28.052481042440846,56.52864846696204,1001.8262072350365
178.35905300000002,0.32321513058658713,28.041477535771694,58.55920538009514,1037.8177882493428
178.4074655,0.32312940508723126,28.030489663906792,61.01520552851229,1081.3496907074345
178.456019,0.3230434291278841,28.01947248439197,62.12005837798798,1100.936042218554
178.50401549999998,0.3229584386257833,28.008584334060306,66.46687272378254,1177.9791628566024
178.55228649999998,0.32287296112346087,27.99763655085126,64.270917041839,1139.0662906331647
178.60109549999999,0.32278652992021484,27.986569429654114,67.04122161878799,1188.170010280038
178.64944300000002,0.3227009148577417,27.975609596263006,67.15155392623207,1190.131301713451
178.697802,0.3226152782752002,27.964649779509802,67.27270388566578,1192.284336817308
178.746119,0.3225297148398857,27.953702091411824,66.27467482600632,1174.6019106931833
178.7946455,0.322443779095205,27.942709550072173,64.16913636438828,1137.2905836619125
178.84331350000002,0.3223575913730127,27.931687577151976,61.90064866279181,1097.0908858329228
178.8912795,0.32227264540495076,27.920827146957024,61.219520633227795,1085.024284806987
178.9393905,0.3221874411381222,27.909936427563487,55.90337535374713,990.8084413629731
178.9882875,0.3221008432466532,27.898870381754776,53.26139689759728,943.9878142691334
179.0368145,0.32201489894171875,27.88789065048633,51.55479450933276,913.7450715938219
179.085551,0.32192858182616985,27.87686609261763,47.695039429477774,845.3398855672012
179.134524,0.3218418439799307,27.865790625363903,46.13506334636318,817.6951870935632
179.182822,0.32175629974404363,27.854870343588576,44.84248796700567,794.7895756757886
179.2310165,0.32167093686431975,27.843975958680723,42.12672173065743,746.6589294764838
179.2794475,0.32158515304569235,27.833030613631877,40.25746933967558,713.531610799697
179.3284475,0.3214983592182444,27.821959216087187,37.148511077707035,658.4310939839223
179.37722250000002,0.3214119616981406,27.810941184176148,37.14253150500987,658.3283892648686
179.425589,0.3213262854971373,27.800017910288403,34.64804797182549,614.1182453087696
179.47396300000003,0.32124059366958774,27.789095402424966,33.90342061611553,600.9230895541978
179.5224515,0.32115469658870327,27.77814949987633,31.44055632868011,557.2726722073216
179.57142449999998,0.3210679386818377,27.767096713377118,30.134473398632057,534.1254884644529
179.620577,0.3209808601427211,27.75600591905419,28.463783100288435,504.5154819855434
179.6691995,0.3208947178744271,27.74503717178885,28.508374508274663,505.3083660559609
179.717509,0.32080912742397094,27.734141444774878,26.581838425929273,471.1630125635504
179.76637499999998,0.32072254819437523,27.723122638987274,25.274530718055246,447.9932230112564
179.8153175,0.3206358305046564,27.712089026840484,24.287613509559918,430.50218299176566
179.864016,0.3205495421662297,27.70111283917462,23.58020173876957,417.96526509950957
179.91292399999998,0.3204628795559312,27.690091848475788,22.03155953569797,390.5171265013144
179.961649,0.32037653808809186,27.679114492951395,21.971554788672986,389.4554597089683
180.01026000000002,0.320290395448479,27.66816519543551,20.44043998958261,362.3175765264912
180.0590155,0.3202039934773387,27.65718572267019,20.072736503778323,355.8016104924112
180.1074085,0.32011823060285527,27.64629022242612,19.34487019361718,342.90142733924546
180.155859,0.32003236245281613,27.635384101264123,18.470125677723367,327.39758625193355
180.2046455,0.3199458953310805,27.624404687698192,17.44769489073531,309.27573341986704
180.25337100000002,0.319859532760664,27.6134413364316,17.155928687579983,304.1054348531763
180.3021415,0.3197730867920714,27.602470186009544,16.06974252320658,284.853153620825
180.350859,0.31968673105830886,27.591513271392884,15.969052506308806,283.0697258386256
180.3998705,0.31959985037197036,27.580492556885343,14.55599188763074,258.02290189603906
180.448874,0.3195129799683723,27.569475960355398,14.81668353809103,262.645297990857
180.497603,0.31942659224238945,27.558523364274716,13.80269395998278,244.67221096997542
180.5463665,0.319340139348521,27.547565289239188,13.735934581365788,243.49002025844496
180.594893,0.3192541025819922,27.536662722394606,13.075408705693016,231.78235897229152
180.6437325,0.31916750671839345,27.52569208927988,12.458842346904529,220.8538446950026
180.69244650000002,0.3190811291522224,27.51475189160835,12.30376406329654,218.10590835506355
180.741164,0.3189947410892773,27.503813140240766,11.586293921791873,205.38850800466915
180.79030849999998,0.31890759142939773,27.492780764560912,11.061398934681751,196.0847576987159
180.83930800000002,0.3188206944081739,27.481783181386387,10.971265892044343,194.48794879355663
180.888121,0.3187341235949665,27.4708296724644,10.491669203775466,185.9870524580501
180.9367545,0.31864786655354127,27.45991863234665,10.437498177965224,185.02767625432637
180.98510199999998,0.31856211216791097,27.44907391357616,10.106947270455152,179.16881796177987
181.0340065,0.31847536509043317,27.438106433151656,9.266727128640847,164.27481051258056
181.0830445,0.31838837635398914,27.427111202937922,9.368177734595477,166.07409683680856
181.131781,0.31830191755924925,27.416185736988954,8.974476996491072,159.09557135261133
181.1805825,0.3182153384963845,27.40524784997388,8.738619188259918,154.91516119278248
181.2293155,0.31812887593690253,27.394327453331073,8.506772105216003,150.8058093666802
181.27809000000002,0.3180423346496629,27.38339988609883,8.215789140687658,145.64806672075989
181.32711999999998,0.31795533481187577,27.372417212864452,7.796132544637508,138.20916135021443
181.3759825,0.3178686269166663,27.361474181236577,7.899881990651182,140.04912244247814
181.4246355,0.31778228548312304,27.350580163209646,7.534975225981534,133.58071941129384
181.473498,0.3176955668659965,27.339641329770192,7.305301343026665,129.50968744573368
181.522181,0.31760916136545553,27.328744758574484,7.301440142449476,129.44188002989566
181.570986,0.31752253379898465,27.317822952493035,6.8156677284869644,120.83058028985866
181.6201615,0.3174352429288039,27.30682032279174,6.626317805028867,117.47430856417519
181.669127,0.31734831909323885,27.295866752283917,6.658168609366211,118.0395651569066
181.718054,0.31726145781552184,27.284923851033778,6.334173943224991,112.29617705711506
181.7668595,0.31717480640385737,27.274010162974633,6.445172535980609,114.26459983575245
181.81537100000003,0.3170886711255658,27.26316422645009,6.27011356429394,111.16158180845889
181.8642905,0.3170018054423383,27.25222908971437,5.831528582405111,103.38651451238938
181.9133895,0.31691461491812095,27.241255856972476,5.875519609922713,104.16694995023545
181.9623055,0.3168277432125908,27.230325534273568,5.714175796019133,101.30699646320681
182.010947,0.31674135283867627,27.21945852978499,5.838216224784138,103.50663269936683
182.059752,0.31665466583048796,27.20855697365116,5.357406152593817,94.98275157769957
182.1089955,0.3165671935469139,27.197559466325732,5.2691711636323255,93.4188830365708
182.1581325,0.3164799039453783,27.186587732775052,5.222502249956589,92.59194019676836
182.2069645,0.3163931496613079,27.175686061371838,5.286797993707965,93.73233514657781
182.255629,0.31630668643707677,27.16482371771036,5.164218065587192,91.55950939791295
182.304396,0.3162200345001926,27.15394042220925,5.02562213090916,89.1027041888569
182.3532085,0.3161332950303063,27.143048894952102,4.9385009217393145,87.55851017547383
182.40195699999998,0.3160466625409841,27.13217355824966,4.903616402687784,86.94044957514511
182.4507815,0.31595988816027704,27.121283170787798,4.724798372100144,83.7704492271389
182.49975799999999,0.3158728366961897,27.110360784624653,4.642757437249536,82.31628034441492
182.548735,0.3157857773227009,27.09944018571906,4.5927268814566204,81.4296450886117
182.597483,0.3156991179669626,27.08857252404642,4.663142377053587,82.67853390049132
182.6463835,0.315612180381573,27.077672735982386,4.333878967111413,76.84100664236007
182.69554,0.3155247803980033,27.06671776577824,4.349914760917276,77.12571466758575
182.7445435,0.31543764512134387,27.05579875932214,4.315480526867998,76.51556626315417
182.79306250000002,0.315351364078338,27.044989536305927,4.572989517544279,81.08172893313628
182.841639,0.3152649734597811,27.03416931500409,4.160246752563953,73.763930046865
182.890597,0.3151778968793897,27.023265941152072,4.191622655068409,74.3206185259605
182.939467,0.31509096925051866,27.01238398371386,4.115585465962318,72.97278759928675
182.988478,0.31500378315529654,27.001472444618994,3.9927010189755756,70.79429882219048
183.0375885,0.31491641229035666,26.990540567286555,3.9513662258827025,70.06174729546908
183.0866035,0.3148292035012923,26.979631749197605,3.969138387784229,70.37721951501538
183.135645,0.31474193966752334,26.96871882488063,3.835064510735853,68.00028314353881
183.18429,0.3146553734887416,26.95789589278434,4.180410120749191,74.12404385050876
183.2328015,0.3145690370023282,26.94710440084798,3.8488847282820853,68.24601212903947
183.2817745,0.31448187112936143,26.936211998585957,3.773539159487762,66.91036781225175
183.3308735,0.3143944728019682,26.92529332915115,3.714377278054477,65.86167284198287
183.379801,0.3143073715233058,26.914414539213347,3.828604245107037,67.88743496308172
183.4286065,0.314220479176383,26.903564597975024,3.7351783369527918,66.23117195880955
183.4778235,0.31413284578343587,26.89262490935179,3.4767982018102344,61.649956616299406
183.5266555,0.31404588947609813,26.881772507376834,3.9439635673958158,69.9339987779835
183.5754,0.3139590805409513,26.870941241996867,3.50145579335381,62.0878022630782
183.624346,0.3138719041987626,26.86006689292345,3.7589623667035212,66.6542427854431
183.6730865,0.3137850852768478,26.84923987431398,3.5817552839919387,63.512309353379884
183.722113,0.3136977481999347,26.838351001464925,3.5314946378611047,62.62139396494002
183.771212,0.3136102731357483,26.8274477024564,3.500272741281785,62.06807192487715
183.820235,0.3135229245827715,26.816562945097164,3.54517997298982,62.86469922787255
183.868933,0.31343614624485794,26.80575198647603,3.6940331744251256,65.50455758018346
183.91803199999998,0.31334864432098003,26.794853649400384,3.2262166192039574,57.209274492086514
183.9671425,0.31326111277499785,26.783954401569193,3.648675265288119,64.70089961542665
184.0156805,0.31317459257896463,26.77318381506892,3.5670496137212844,63.25377097415468
184.0645355,0.31308749817864223,26.76234448824438,3.4023331482472035,60.33318991550299
184.11357750000002,0.31300006111452955,26.75146527977591,3.412891585543842,60.5207264116616
184.1624745,0.31291287322784195,26.740619831885166,3.4707593558467935,61.54720342975598
184.211173,0.3128260299427446,26.7298199853885,3.5326633779133916,62.64526499165803
184.26030250000002,0.3127384085441637,26.718926138717514,3.1458606926405417,55.786314919613034
184.3093365,0.3126509478653635,26.708055043912562,3.5576617769447205,63.08920192215845
